Question,A,B,C,D,Correct Option,Subject,Topic,Category
"What kind of sentence is this?
Please cut up the watermelon.",interrogative,imperative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Does Regan prefer pizza or pasta?",declarative,interrogative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Mr. Vincent gave a lecture on water conservation, during which he stressed the importance of not watering lawns during a drought.",exclamatory,declarative,interrogative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Maureen felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.",exclamatory,declarative,interrogative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Max usually eats oatmeal for breakfast.",declarative,exclamatory,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Please stand up when you hear your name.",imperative,interrogative,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
How nice to finally be on vacation again!",interrogative,exclamatory,declarative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Moss often hangs from the branches of the bald cypress, a tree that grows in swamps in the South.",interrogative,exclamatory,declarative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Mr. Boyer gave a lecture on water conservation, during which he stressed the importance of not watering lawns during a drought.",declarative,interrogative,exclamatory,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Martin campaigned tirelessly in support of his neighbor's bid for elective office.",declarative,interrogative,exclamatory,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Do you usually prefer your orange juice with pulp or without pulp?",interrogative,declarative,imperative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
How many articles did Clarence write before his publisher offered him a book contract?",declarative,exclamatory,interrogative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
I feel like a completely new person now that my fever has broken!",interrogative,declarative,exclamatory,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Reagan considers Paris the most romantic city in the world.",interrogative,exclamatory,declarative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
That was the most spectacular acrobatic feat I have ever seen!",declarative,interrogative,exclamatory,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Does Cora have any hobbies?",declarative,interrogative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
At the museum, we saw statues from China.",declarative,exclamatory,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Marvin campaigned tirelessly in support of his neighbor's bid for elective office.",interrogative,exclamatory,declarative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Please take some time to think about my offer before you respond.",exclamatory,interrogative,imperative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
What made Isabelle so upset?",exclamatory,interrogative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Give Hakim a tour of the building and then take him to Mr. Coleman's office.",interrogative,exclamatory,imperative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Don't overlook Arianna when choosing the new principal.",imperative,exclamatory,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
I never thought I'd enjoy the opera so much!",exclamatory,declarative,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Do you know Marco from soccer camp, or do you have another connection with him?",declarative,interrogative,exclamatory,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Larry campaigned tirelessly in support of his neighbor's bid for elective office.",declarative,interrogative,exclamatory,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Don't overlook Jayla when choosing the new principal.",exclamatory,imperative,interrogative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Which local reservoirs supply our town with its fresh water?",declarative,exclamatory,interrogative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
In 2013, former vice president Al Gore decided to give up eating all animal products, including meat, dairy, and eggs.",declarative,interrogative,exclamatory,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Please let me know how I can be of service.",imperative,exclamatory,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Keenan has never tried chocolate ice cream before, which I find astounding!",exclamatory,interrogative,declarative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
That huge cruise ship even has a small amusement park on it!",exclamatory,declarative,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
What made Maggie so upset?",interrogative,imperative,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
This sauce is so spicy that it made me cry!",interrogative,exclamatory,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Jamie usually eats oatmeal for breakfast.",declarative,exclamatory,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Does Jeanette prefer pizza or pasta?",interrogative,imperative,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
May I have a second serving of dessert?",exclamatory,interrogative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Meet me at my house at noon.",interrogative,imperative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Besides being the seat of our national government, Washington, D.C., is home to an impressive array of free museums.",declarative,interrogative,exclamatory,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Kiera felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.",declarative,exclamatory,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Leah considers Paris the most romantic city in the world.",interrogative,declarative,exclamatory,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"Would you find the word deep on a dictionary page with the following guide words?
dangle - drench",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
oar - orphan",ought,oh,,,B,Language science,Reference-skills,Reference skills
"Would you find the word wade on a dictionary page with the following guide words?
weary - world",yes,no,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
few - freight",fortress,family,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
ticket - tyrant",tend,toss,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
geese - gun",grateful,gave,,,A,Language science,Reference-skills,Reference skills
"Would you find the word blot on a dictionary page with the following guide words?
beef - bolt",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
gasp - goblin",gruff,geranium,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
scan - swung",spent,sacrifice,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
garment - guide",gym,gesture,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
battle - bluff",behalf,brow,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
led - log",laugh,lime,,,B,Language science,Reference-skills,Reference skills
"Would you find the word bare on a dictionary page with the following guide words?
bent - burn",yes,no,,,B,Language science,Reference-skills,Reference skills
"Would you find the word even on a dictionary page with the following guide words?
engineer - except",no,yes,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
ill - inspector",is,impose,,,B,Language science,Reference-skills,Reference skills
"Would you find the word partner on a dictionary page with the following guide words?
plastic - prance",no,yes,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
cause - clump",cork,cent,,,B,Language science,Reference-skills,Reference skills
"Would you find the word steadily on a dictionary page with the following guide words?
solo - support",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
whisper - wrote",warrior,wipe,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
equal - everyday",escape,elevator,,,A,Language science,Reference-skills,Reference skills
"Would you find the word lily on a dictionary page with the following guide words?
lawn - local",no,yes,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
badger - bright",burglar,bead,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
igloo - injury",itch,impose,,,B,Language science,Reference-skills,Reference skills
"Would you find the word ticket on a dictionary page with the following guide words?
too - treasure",yes,no,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
vast - vinegar",velvet,volcano,,,A,Language science,Reference-skills,Reference skills
"Would you find the word buck on a dictionary page with the following guide words?
being - blind",no,yes,,,A,Language science,Reference-skills,Reference skills
"Would you find the word rock on a dictionary page with the following guide words?
regret - ruffle",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
plus - puff",patrol,poke,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
paper - porch",peril,praise,,,A,Language science,Reference-skills,Reference skills
"Would you find the word wealthy on a dictionary page with the following guide words?
wand - what",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
dairy - dog",distance,drop,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
octopus - owl",ox,orbit,,,B,Language science,Reference-skills,Reference skills
"Would you find the word pulp on a dictionary page with the following guide words?
pledge - precious",yes,no,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
plus - prospect",pest,pot,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
whole - wrinkle",worth,want,,,A,Language science,Reference-skills,Reference skills
"Would you find the word upset on a dictionary page with the following guide words?
unhappy - usual",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
tarpaulin - transport",twine,tile,,,B,Language science,Reference-skills,Reference skills
"Would you find the word unite on a dictionary page with the following guide words?
umbrella - usual",yes,no,,,A,Language science,Reference-skills,Reference skills
"Would you find the word toil on a dictionary page with the following guide words?
tax - trot",no,yes,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
pen - popular",physical,presence,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
distinct - dreadful",dare,donkey,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
clutch - curse",capitol,criminal,,,B,Language science,Reference-skills,Reference skills
"Would you find the word doubt on a dictionary page with the following guide words?
dandy - dust",no,yes,,,B,Language science,Reference-skills,Reference skills
"Would you find the word spoon on a dictionary page with the following guide words?
satisfy - stripe",no,yes,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
relief - royal",range,right,,,B,Language science,Reference-skills,Reference skills
"Would you find the word admiral on a dictionary page with the following guide words?
absorb - art",yes,no,,,A,Language science,Reference-skills,Reference skills
"What does this Works Cited entry indicate about the cited work?
Onishi, Kristine H., and Renée Baillargeon. ""Do 15-Month-Old Infants Understand False Beliefs?"" Science 308.5719 (2005): 255–258. Web. 15 Dec. 2012.",It is a book.,It is a poem.,It is a journal article.,,C,Language science,Reference-skills,Research skills
"Would you find the word sit on a dictionary page with the following guide words?
shimmer - splinter",no,yes,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
dessert - drift",dip,dug,,,A,Language science,Reference-skills,Reference skills
"Would you find the word tidy on a dictionary page with the following guide words?
thaw - trunk",no,yes,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
make - moment",my,mess,,,B,Language science,Reference-skills,Reference skills
"Would you find the word anybody on a dictionary page with the following guide words?
ally - ascent",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
flee - frontier",foolish,face,,,A,Language science,Reference-skills,Reference skills
"Would you find the word mill on a dictionary page with the following guide words?
marry - moment",no,yes,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
catch - clench",chatter,crowd,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
above - asphalt",auction,afraid,,,B,Language science,Reference-skills,Reference skills
"Would you find the word side on a dictionary page with the following guide words?
skirt - stories",no,yes,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
all - aunt",age,animal,,,B,Language science,Reference-skills,Reference skills
"Would you find the word streak on a dictionary page with the following guide words?
serpent - skirt",yes,no,,,B,Language science,Reference-skills,Reference skills
"Would you find the word began on a dictionary page with the following guide words?
blade - bob",no,yes,,,A,Language science,Reference-skills,Reference skills
"Would you find the word doze on a dictionary page with the following guide words?
depth - drink",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
refuse - rub",rig,rascal,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
general - gossip",glare,grind,,,A,Language science,Reference-skills,Reference skills
"Would you find the word go on a dictionary page with the following guide words?
given - guest",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
tentacle - torpedo",tundra,those,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
shot - suit",service,stockade,,,B,Language science,Reference-skills,Reference skills
"Would you find the word strain on a dictionary page with the following guide words?
shape - spray",yes,no,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
threw - trumpet",temper,tilt,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
academy - apparent",affair,aviator,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
terrify - trousers",twig,theme,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
mayor - mist",mosquito,mechanic,,,B,Language science,Reference-skills,Reference skills
"Would you find the word volley on a dictionary page with the following guide words?
vain - violet",yes,no,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
dad - distant",drive,deserve,,,B,Language science,Reference-skills,Reference skills
"Would you find the word different on a dictionary page with the following guide words?
demand - drink",yes,no,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
leaves - look",limp,language,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
celebrate - cobbler",chair,crocodile,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
week - winter",wonder,whisper,,,B,Language science,Reference-skills,Reference skills
"Would you find the word ring on a dictionary page with the following guide words?
ran - return",no,yes,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
plunge - proper",pitcher,pottery,,,B,Language science,Reference-skills,Reference skills
"Would you find the word clam on a dictionary page with the following guide words?
calves - comb",no,yes,,,B,Language science,Reference-skills,Reference skills
"Would you find the word furnace on a dictionary page with the following guide words?
faster - fort",no,yes,,,A,Language science,Reference-skills,Reference skills
"Would you find the word compass on a dictionary page with the following guide words?
cabin - crate",no,yes,,,B,Language science,Reference-skills,Reference skills
"Would you find the word long on a dictionary page with the following guide words?
level - lion",yes,no,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
care - criminal",county,curtsy,,,A,Language science,Reference-skills,Reference skills
"Would you find the word decay on a dictionary page with the following guide words?
distinct - draw",no,yes,,,A,Language science,Reference-skills,Reference skills
"Would you find the word sapling on a dictionary page with the following guide words?
snack - synonym",no,yes,,,A,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
hidden - hurdle",haul,hornet,,,B,Language science,Reference-skills,Reference skills
"Which word would you find on a dictionary page with the following guide words?
rat - rigid",rehearse,roast,,,A,Language science,Reference-skills,Reference skills
"Would you find the word migrate on a dictionary page with the following guide words?
material - mourn",yes,no,,,A,Language science,Reference-skills,Reference skills
"Would you find the word traitor on a dictionary page with the following guide words?
thirteen - tinsel",yes,no,,,B,Language science,Reference-skills,Reference skills
"Which tense does the sentence use?
Akiko teaches Rosanne about customs in Japan.",past tense,future tense,present tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
William invited Barbara to his house.",future tense,past tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Our guests will stay for three days and two nights.",present tense,future tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
In the darkness, Kimi strained her eyes.",past tense,present tense,future tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The friends collect old baseball cards.",present tense,future tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Both men and women work in the field.",future tense,present tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Scientists will measure the rainfall in Lancaster.",past tense,future tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mom and Dad walk in the apple orchard.",past tense,present tense,future tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The hospital stayed open all day and night.",present tense,future tense,past tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Kate needs a new pair of shoes.",future tense,past tense,present tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mrs. Murphy will reply to Grayson's question about space.",past tense,future tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Molly will exercise with Owen in the morning.",future tense,past tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Tracy and Paul skated in the park.",present tense,future tense,past tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
I will pack my clothes this afternoon.",future tense,past tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Hannah and Alice will plant the seeds.",future tense,present tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Judith will sweep the sidewalk in front of her store.",future tense,present tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Jenna orders a roast beef sandwich.",present tense,past tense,future tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Maria throws the ball into the hoop.",present tense,future tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
My family arrives at the airport on time.",future tense,present tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mr. Kramer will coach the girls' basketball team.",future tense,present tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Jim will pop the popcorn.",future tense,present tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mr. Benton will repeat the numbers to the class.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Colin will make cookies with his friends.",present tense,future tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
In the morning, Mrs. Harper shoveled the snow.",present tense,future tense,past tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
His dog chased the chipmunk up a tree.",future tense,past tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Kate and Lucy win the game every time.",future tense,past tense,present tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Cole reads an exciting mystery story.",present tense,future tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Philip will wash the dishes after dinner.",past tense,future tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
For Thanksgiving, Mom will cook a turkey.",past tense,present tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Evelyn will sweep the sidewalk in front of her store.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The man will type the note on his computer.",present tense,future tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The basketball game will begin in a minute.",future tense,present tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
In the darkness, Amelia strained her eyes.",past tense,future tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The friends will visit Frank in Middletown.",future tense,past tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mr. Cho signed his name on the letter.",present tense,future tense,past tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mom will pitch the ball to Mitchell.",present tense,future tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The Swifts will stay at an inn on the island.",present tense,future tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
I tell Katy my opinions about her music.",present tense,past tense,future tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Quinn will sweep the sidewalk in front of her store.",past tense,future tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The cook puts beans in the soup.",present tense,past tense,future tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Erica and Vicky win the game every time.",past tense,future tense,present tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mr. Atkinson will deliver the envelope to Trent.",future tense,past tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Lester and Carla will help the neighbors.",future tense,past tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Uncle Brett will cook dinner for us.",past tense,present tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Dylan will make cookies with his friends.",future tense,present tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Tim will dust off the shelf with a rag.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
We will whisper in the library.",past tense,future tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The cook will freeze the meat for another time.",past tense,present tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
They will fix the car engine.",past tense,present tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Passengers will board the plane shortly.",past tense,future tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mom will pitch the ball to Vijay.",past tense,future tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Maggie parked her scooter in front of the store.",present tense,future tense,past tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The children will exchange gifts at the event.",past tense,future tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Scientists will measure the rainfall in Danville.",past tense,future tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Liz throws the ball into the hoop.",past tense,future tense,present tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
In the morning, Mrs. Petersen shoveled the snow.",future tense,past tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Julia and Sofia race down the hill.",present tense,future tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Christine chops onions for the tomato sauce.",future tense,present tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Adam and Lisa will help the neighbors.",past tense,present tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Hannah towers over her older sister.",present tense,future tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The Pattons will stay at an inn on the island.",past tense,present tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Janelle baked banana bread with nuts.",future tense,past tense,present tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mr. Griffith signed his name on the letter.",past tense,present tense,future tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Cows eat the grass on the hill.",future tense,present tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mr. Woodard will send a message to the teacher.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
In the morning, Grandpa will make eggs.",past tense,present tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
I will explain my idea to you with a drawing.",future tense,past tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
They will track the bear through the woods.",future tense,present tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Uncle Danny will cook dinner for us.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Dad will love your surprise gift!",future tense,past tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Akiko teaches Emily about customs in Japan.",present tense,past tense,future tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mr. Boyd signed his name on the letter.",present tense,future tense,past tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The bird will build a nest.",future tense,present tense,past tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Two hawks rest in the tree.",present tense,past tense,future tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Kelly and Sarah win the game every time.",past tense,present tense,future tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The doctor will use a stethoscope for this part.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mason will count the coins in his collection.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mom will pitch the ball to Bernie.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Emily and Scott will spend the afternoon at the beach.",present tense,future tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Mr. Carson explained the idea to his son.",future tense,present tense,past tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Evan folded the wool blanket on his bed.",future tense,present tense,past tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Victor folded the wool blanket on his bed.",future tense,present tense,past tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
We will camp for two nights.",past tense,present tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Kirk will dust off the shelf with a rag.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Victoria learns about her ancestors in the book.",present tense,past tense,future tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Megan will ride horses on the ranch.",future tense,past tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Dale will read his book before bed.",present tense,future tense,past tense,,B,Language science,Verbs,Verb tense
"Which tense does the sentence use?
Dean stirred the sauce on the stove.",past tense,future tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
I will move the boxes myself.",future tense,past tense,present tense,,A,Language science,Verbs,Verb tense
"Which tense does the sentence use?
The janitor will clean the floors in the evening.",present tense,past tense,future tense,,C,Language science,Verbs,Verb tense
"Read the following excerpt from a student essay. How can the writer best improve his or her word choice?
If I could invent something, I would create a really nice bicycle. My bike would have a good seat and great tires so that I could ride it anywhere. It would also have a bell and special pockets for carrying things. A special top would be wonderful, so I could ride it in the rain but also enjoy the sun. I would choose a fun color to reflect my personality. Inventing a new bike would be cool.",by reducing repetitive language,by using more specific language,,,B,Language science,Writing-strategies,Editing and revising
"Complete the sentence so that it uses personification.
The heavy door () as Arianna pushed it open.",creaked,protested,,,B,Language science,Writing-strategies,Creative techniques
