Question,A,B,C,D
"A year ago, there were 12 companies that made motorized scooters. But over the past month, 5 of those companies went out of business. What probably happened to the overall supply of motorized scooters?",The supply probably went down.,The supply probably went up.,,
"Which figure of speech is used in this text?
Clare gazed at the ancient pug that seemed to sleep all day and noted, ""You're an energetic puppy!""",pun,verbal irony,,
Is a newspaper a good or a service?,a service,a good,,
"Which word would you find on a dictionary page with the following guide words?
mat - movies",mustard,minute,,
"The city of Dayton has been one of the world's biggest makers of cough drops for many years. But last month, Dayton's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,
"What is the source of the allusion in the sentence below?
Caleb described the situation he was facing with his boss as a catch-22.",literature,a poem,,
"Which logical fallacy is used in the text?
The two authors of this study claim that social media can be healthy for adolescents. However, neither author attended a top-ranked medical school, so you can't trust their research.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,circular reasoning: an argument that supports a claim with the claim itself,"ad hominem: an attack against the person making the argument, rather than the argument itself",
"Which figure of speech is used in this text?
Is this a dagger which I see before me,
The handle toward my hand? Come, let me clutch thee. . .
—William Shakespeare, Macbeth",antithesis,apostrophe,,
"Which logical fallacy is used in the text?
Ronald, you drive a beat-up car from the 1980s. For this reason, we can never allow you to be a lifeguard at the community pool.",false dichotomy: an argument that presents only two choices when more options exist,ad hominem: a personal attack against one's opponent,,
"Complete the sentence so that it uses personification.
Against all odds, the () train eventually reached the crest of the hill.",run-down,wheezing,,
"Which figure of speech is used in this text?
Although Zach hasn't worked in years, his mother prefers to say that he's between jobs right now.",oxymoron,euphemism,,
"Which figure of speech is used in this text?
In business, we should consider competition not a threat but a challenge.",chiasmus,antithesis,,
"Which tense does the sentence use?
A tiny creature creeps along the vine.",past tense,future tense,present tense,
"Is this a run-on sentence?
In 1960, American pilot Francis Gary Powers was shot down and captured by the Soviets as he flew over the Ural Mountains on an intelligence mission for the CIA, nearly two years later, Powers was released in exchange for Rudolf Abel, a KGB spy who had been caught in the United States.",no,yes,,
"Which logical fallacy is used in the text?
Did you ever notice that every successful CEO has an expensive car? I guess I should get one if I'm ever going to progress in my job.",appeal to nature: the assumption that natural things are always good,guilt by association: a negative association intended to discredit someone or something,"false causation: the assumption that because two things happened together, one caused the other",
"Which type of sentence is this?
Latrell took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound-complex,complex,simple,compound
"What kind of sentence is this?
Oscar usually eats oatmeal for breakfast.",declarative,interrogative,,
"Which figure of speech is used in this text?
The Thompson family is going to spend two weeks in Ocean City, but for Darell it will be a working vacation, since he'll be checking in with the office every day.",oxymoron,euphemism,,
"Which figure of speech is used in this text?
Amanda's phone slipped out of her pocket, landing in the toilet with a plop.",onomatopoeia,verbal irony,,
"Which word would you find on a dictionary page with the following guide words?
rail - right",ready,rooster,,
"Which type of sentence is this?
Darrell always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",simple,compound-complex,compound,complex
"What is the source of the allusion in the sentence below?
By the time Ruth had finished explaining to Mr. Dickerson what had happened, her friends were laughingly referring to her as Scheherazade.",Greek history,ancient legend,,
"Read the following excerpt from a student essay. How can the writer best improve his or her grammar and mechanics?
Everyone agree that recess is important for children in elementary school, but what about middle school students? I believe that students in middle school needs time to relax and have fun during the school day. A period of free time in the afternoons give students the opportunity to go outside and enjoy some fresh air. Studies shows that exercise benefits students' attention spans. Exercise can also reduce stress, which many middle school students face on a daily basis. Therefore, middle school students in our country deserves recess, too.",by fixing subject-verb agreement errors,by adding missing commas,,
Suppose Bridgette decides to see the anacondas. Which result would be a cost?,Bridgette will give up the chance to see the lemurs. She would have enjoyed seeing them more than the anacondas.,"Bridgette will save some time. The anacondas are close by, but she would have had to walk to the the other side of the zoo to see the lemurs.",,
"What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Lola, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""",Lola thinks the storm will cause major flooding.,Lola wants to protect her possessions.,,
"Which logical fallacy is used in the text?
Our study looked at people who were successful, as defined by their level of income. Our findings show that successful people consistently make more money than unsuccessful people.","false causation: the assumption that because two things happened together, one caused the other",circular reasoning: an argument that supports a claim with the claim itself,"ad hominem: an attack against the person making the argument, rather than the argument itself",
"Which tense does the sentence use?
Lucy and Carly will plant the seeds.",past tense,future tense,present tense,
"Read the following excerpt from a student essay. How can the writer best improve his or her sentence fluency?
Getting involved in high school sports is a great way for students to build a variety of important skills. When students play on teams, for example, they learn the importance of teamwork. Teamwork is developed when players work together to achieve success. Players have to balance schoolwork with time spent on practice and games, so they learn how to budget their time well. Sports also provide an opportunity to build confidence. When players practice diligently and see improvement, they feel a sense of accomplishment, which builds self-esteem.",by simplifying the last sentence,by using longer sentences,by adding a transition between two sentences,
"Which word would you find on a dictionary page with the following guide words?
nibble - nugget",narrow,nostril,,
"Which logical fallacy is used in the text?
If the government is allowed to start blocking websites, then soon they'll start banning books, and all we'll have to read is propaganda.",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,appeal to nature: the assumption that natural things are always good,circular reasoning: an argument that supports a claim with the claim itself,
"Would you find the word nation on a dictionary page with the following guide words?
near - notify",yes,no,,
"What does the verbal irony in this text suggest?
""This is the best day of my life,"" Mr. Lopez mumbled after his car broke down on the way to an important job interview.",Mr. Lopez liked fixing cars.,Mr. Lopez was having a bad day.,,
"Which word would you find on a dictionary page with the following guide words?
magic - money",middle,museum,,
"Which logical fallacy is used in the text?
I had to speak out against the proposed noise pollution ordinance. Citizens would obviously prefer a thriving city over a silent, stagnant one.",circular reasoning: an argument that supports a claim with the claim itself,bandwagon fallacy: the assumption that the popular choice is automatically correct,false dichotomy: an argument that presents only two choices when more options exist,
"Which tense does the sentence use?
Bob stirred the sauce on the stove.",present tense,past tense,future tense,
"What is the source of the allusion in the sentence below?
Mrs. McKenzie decided not to argue with the name her daughter had chosen for their new kitten, figuring it was a matter of a rose by any other name.",U.S. history,Shakespeare,,
"What does the verbal irony in this text suggest?
According to Mr. Hancock's kids, his snoring is as quiet as a jackhammer.",The snoring is subtle.,The snoring is loud.,,
"What does the hyperbole in this text suggest?
After he finished the marathon, Dean collapsed into a chair and declared that he could no longer move a single muscle.",Dean was very tired and sore.,Dean became paralyzed.,,
What is the text's most likely purpose?,to persuade,to inform,to entertain,
"Which type of sentence is this?
The maple leaf, which i Canada's national emblem, has been associated with the country since the 1700s.",compound-complex,compound,complex,simple
"What is the source of the allusion in the sentence below?
Mrs. Lowery decided not to argue with the name her daughter had chosen for their new kitten, figuring it was a matter of a rose by any other name.",Shakespeare,U.S. history,,
"Is this a run-on sentence?
Because penguins are frightened by humans and difficult to approach, researchers from the University of Strasbourg used remote-controlled rovers outfitted as baby penguins to study their subjects.",no,yes,,
"Which logical fallacy is used in the text?
Mr. Castro argues that we need to do more to prevent workplace injuries and fatalities. I doubt that someone so socially awkward would know a thing about office safety.",ad hominem: a personal attack against one's opponent,appeal to nature: the assumption that natural things are always good,,
"Is this a sentence fragment?
A new detective series by J. K. Rowling published under the pseudonym of Robert Galbraith after she completed her seven-volume Harry Potter series.",yes,no,,
"Which logical fallacy is used in the text?
Don't feed the dog any scraps. Next thing you know, you'll be setting a place for the dog at the dinner table.",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,"ad hominem: an attack against the person making the argument, rather than the argument itself","false causation: the assumption that because two things happened together, one caused the other",
"What does this Works Cited entry indicate about the cited work?
Encyclopedia of Indiana. New York: Somerset Publishers, 1993. Print.",Somerset is the place of publication.,It has no author.,It was published in 1983.,
"Which figure of speech is used in this text?
Mia, please stay away from the ocean. You shouldn't go in the water until you know how to swim.",oxymoron,paradox,,
"Which logical fallacy is used in the text?
Helen's shoes are superior, because they're made from one hundred percent snakeskin, not synthetic materials.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,appeal to nature: the assumption that natural things are always good,,
"Which figure of speech is used in this text?
Maria, please stay away from the ocean. You shouldn't go in the water until you know how to swim.",paradox,oxymoron,,
"What kind of sentence is this?
How well does Roger play the guitar?",imperative,interrogative,,
"What is the source of the allusion in the sentence below?
Valeria was known among her coworkers for her spartan ways.",Greek history,the Bible,,
"Which word would you find on a dictionary page with the following guide words?
baseball - bottom",blow,brown,,
"Which type of sentence is this?
Aaron has an unconventional swing, but he manages to drive the ball farther than some professional golfers.",simple,complex,compound-complex,compound
"Does the sentence use a simile or a metaphor?
Jayla went down the slide face-first, like a penguin.",metaphor,simile,,
"Which figure of speech is used in this text?
Although Billy hasn't worked in years, his mother prefers to say that he's between jobs right now.",euphemism,oxymoron,,
Suppose Gina decides to eat the almonds. Which result would be a cost?,Gina will give up the chance to eat the fudge. Gina thinks fudge would have tasted better than almonds will.,Gina will get to eat the almonds. The almonds will be healthier than the fudge would have been.,,
"What is the source of the allusion in the sentence below?
Alana thinks Mr. Cline is a Luddite because he doesn't own a cell phone.",the Bible,British history,,
"Which figure of speech is used in this text?
Sandeep's leaving his job? That's old news. He's been planning that for months.",chiasmus,oxymoron,,
"Which type of sentence is this?
Antonio took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",simple,compound-complex,complex,compound
"Which word would you find on a dictionary page with the following guide words?
common - current",craft,chilly,,
"Which logical fallacy is used in the text?
Did you really vote for Ken as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?",guilt by association: a negative association intended to discredit someone or something,false dichotomy: an argument that presents only two choices when more options exist,,
"What does the personification in this text suggest?
Ten thousand daffodils saw I at a glance,
Tossing their heads in sprightly dance.
—William Wordsworth, ""I wandered lonely as a Cloud""",The daffodils were moving in the wind.,The daffodils were bent over.,,
"What kind of sentence is this?
Amelia considers Paris the most romantic city in the world.",declarative,interrogative,exclamatory,
"Would you find the word tablet on a dictionary page with the following guide words?
then - tin",yes,no,,
"What kind of sentence is this?
Jenna put a bandage on my cut.",declarative,exclamatory,,
"What does the personification in this text suggest?
Dan tried to ignore his unfinished essay, but it glared at him from across the room.",The essay was printed in large type.,It bothered Dan that the essay wasn't finished.,,
Suppose Jennifer decides to join the Photography Club. Which result would be a cost?,Jennifer will spend more time in the Photography Club than she would have spent in the Theater Club.,Jennifer will have more fun in the Photography Club than she would have had in the Theater Club.,,
"Complete the sentence so that it uses personification.
The wind () dispersed the leaves that Erik had spent so long raking.",lightly,carelessly,,
"Which figure of speech is used in this text?
Parting is such sweet sorrow. . .
—William Shakespeare, Romeo and Juliet",assonance,oxymoron,,
"What does the allusion in this text suggest?
When Pamela claimed she had loaded the dishwasher before turning on Dancing with the Stars, her mother replied, ""Your nose is growing!""",Pamela was lying.,Pamela was goofy.,,
"Complete the sentence so that it uses personification.
The ancient car () whenever someone tries to use it.",throws a fit,produces thick smoke,,
"Which logical fallacy is used in the text?
Tons of people still believe the Earth is flat! Maybe there's something to their argument?",guilt by association: a negative association intended to discredit someone or something,bandwagon fallacy: the assumption that the popular choice is automatically correct,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,
"What does this Works Cited entry indicate about the cited work?
Allawi, Ali A. Faisali of Iraq. New Haven: Yale University Press, 2014. Print.",Ali is the author's last name.,Allawi is the author's last name.,Faisali is the author's last name.,
"Which figure of speech is used in this text?
In the 1950s, there was great societal pressure on women to stay at home and raise children. Many women enjoyed doing so, but for others home was a prison they yearned to escape.",simile,metaphor,,
Suppose Kyle decides to get the peach ice cream. Which result would be a cost?,Kyle will get to eat the peach ice cream. He likes this flavor more than chocolate almond.,Kyle will give up the chance to get a free waffle cone. He would have enjoyed the waffle cone.,,
"Which figure of speech is used in this text?
The Olsen family is going to spend two weeks in Ocean City, but for Ivan it will be a working vacation, since he'll be checking in with the office every day.",oxymoron,hyperbole,,
"What is the source of the allusion in the sentence below?
Before Allie had even met her future husband in person, she knew about his reputation as a Romeo.",British history,literature,,
"What is the source of the allusion in the sentence below?
Shannon warned her youngest son not to cry wolf while wrestling with his older brother.",a fable,U.S. history,,
"Which logical fallacy is used in the text?
Mr. Kemp argues that we need to do more to prevent workplace injuries and fatalities. I doubt that someone so socially awkward would know a thing about office safety.",ad hominem: a personal attack against one's opponent,bandwagon fallacy: the assumption that the popular choice is automatically correct,,
"What does the idiom in this text suggest?
Mr. and Mrs. Hartman usually see eye to eye, but not when it comes to the controversial mayoral race.",Mr. and Mrs. Hartman are not politically active.,Mr. and Mrs. Hartman usually agree.,,
"Is this a run-on sentence?
At the Morbid Anatomy Museum in Brooklyn, students can take taxidermy workshops in which they learn how to skin and stuff dead mice.",no,yes,,
"Which word would you find on a dictionary page with the following guide words?
smother - spoon",snap,steak,,
"Which logical fallacy is used in the text?
Mrs. Cooper, you point out that childhood obesity rates have skyrocketed, but are you aware that rainforests provide critical habitats for some of the world's rarest plants and animals?",false dichotomy: an argument that presents only two choices when more options exist,red herring: the use of a completely unrelated topic or idea,,
"Which logical fallacy is used in the text?
Vincent, you didn't vote in the last election, so you clearly have no regard for the democracy in which we live.",false dichotomy: an argument that presents only two choices when more options exist,ad hominem: a personal attack against one's opponent,,
"What is the source of the allusion in the sentence below?
Ling had her fifteen minutes when her video of kayaking with dolphins went viral.",modern history,a song,,
"What is the source of the allusion in the sentence below?
From the look on her face, Kiera is carrying an albatross around her neck.",a poem,the Bible,,
"Which tense does the sentence use?
My family arrives at the airport on time.",future tense,present tense,past tense,
"Which figure of speech is used in this text?
""Your new hairstyle is so boring!"" Diego remarked when his sister showed up with a pink-and-blue mohawk.",verbal irony,pun,,
"Complete the sentence so that it uses personification.
""You might think you'll always be young,"" Mrs. Sheppard counseled, ""but time ()"".",affects everyone,creeps up on you,,
Suppose Trent decides to join the Photography Club. Which result would be a cost?,Trent will save some time. He would have spent more time in the Theater Club than in the Photography Club.,Trent will give up the chance to be in the Theater Club. He would have had more fun in the Theater Club than in the Photography Club.,,
"Which word would you find on a dictionary page with the following guide words?
dad - disgust",drum,desert,,
Suppose Maria decides to bake lemon muffins. Which result would be a cost?,Maria will give up the chance to eat apple muffins. She thinks apple muffins are tastier than lemon muffins.,Maria will get to eat more muffins. She can make more lemon muffins than apple muffins.,,
"Complete the sentence so that it uses personification.
The alarm () the burglar, scaring him away.",blared at,screamed at,,
"Which tense does the sentence use?
Derek shops for fruit and vegetables.",future tense,past tense,present tense,
"What is the source of the allusion in the sentence below?
Scarlett told her friends that Kevin was a typical Peter Pan type.",literature,Greek mythology,,
"Which tense does the sentence use?
Mom will open the jar of jelly.",past tense,future tense,present tense,
"Which figure of speech is used in this text?
It's an open secret that Bryce is writing a book based on his experiences living in Singapore. He never talks about it, but almost all his friends know.",hyperbole,oxymoron,,
Is fixing a computer a good or a service?,a service,a good,,
"Which word would you find on a dictionary page with the following guide words?
sincere - swim",sand,stories,,
"Would you find the word electricity on a dictionary page with the following guide words?
effort - ember",no,yes,,
"What is the source of the allusion in the sentence below?
Rudy picked up his pace on the trail as his spidey sense began to tingle.",a comic book,Italian history,,
Suppose Pablo decides to plant the birch tree. Which result would be a cost?,Pablo will get to look at the birch tree. He thinks it will look more beautiful than the hydrangeas would have looked.,The birch tree will use up more space than the hydrangeas would have used up.,,
"What is the source of the allusion in the sentence below?
By the time Wanda had finished explaining to Mr. Blake what had happened, her friends were laughingly referring to her as Scheherazade.",ancient legend,the Bible,,
Is there a surplus or shortage of chocolate chip cookies?,surplus,shortage,,
"Which figure of speech is used in this text?
Lindsey's Boutique claims to have ""something for everyone,"" but it is generally understood that their target market is women of a certain age.",euphemism,paradox,,
"The city of Princeton has been one of the world's biggest makers of cough drops for many years. But last month, Princeton's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,
"Does the sentence use a simile or a metaphor?
The new blanket was as soft as a kitten's fur.",simile,metaphor,,
"Which figure of speech is used in this text?
Trent's '64 Impala groaned as he turned the ignition. Yet again he resolved to refurbish it over the summer.",personification,metaphor,,
"Which tense does the sentence use?
Noah finds old clothes in the attic.",present tense,future tense,past tense,
"What kind of sentence is this?
How many articles did Walter write before his publisher offered him a book contract?",interrogative,imperative,declarative,
"What kind of sentence is this?
The author finally received recognition for his great work after his children found his old manuscript in the attic and published it.",interrogative,exclamatory,declarative,
"What is the source of the allusion in the sentence below?
By the time Bonnie had finished explaining to Mr. Wilkinson what had happened, her friends were laughingly referring to her as Scheherazade.",ancient legend,Greek history,,
Eli Whitney invented the cotton gin in 1793. The cotton gin is a machine that makes it easier to harvest cotton quickly. What happened to the overall supply of cotton after 1793?,The supply went up.,The supply went down.,,
"Which word would you find on a dictionary page with the following guide words?
ill - inspector",is,impose,,
"Which word would you find on a dictionary page with the following guide words?
plump - prevail",poetry,person,,
"What is the source of the allusion in the sentence below?
Ronald persisted despite his friends' attempts to tell him that this was a Gordian knot.",U.S. history,ancient legend,,
"Which figure of speech is used in this text?
Harry's leaving his job? That's old news. He's been planning that for months.",oxymoron,euphemism,,
"Does the sentence use a simile or a metaphor?
On that winter morning, Linda's hands were as cold as ice.",simile,metaphor,,
"Which figure of speech is used in this text?
""This mattress is as soft as concrete,"" Luke complained as he tested the bed in his hotel room.",pun,verbal irony,,
"Would you find the word pouch on a dictionary page with the following guide words?
picture - profit",yes,no,,
"Which tense does the sentence use?
Myra will play the guitar after dinner.",past tense,future tense,present tense,
Suppose Helen decides to bake cranberry muffins. Which result would be a cost?,Helen will get to eat more muffins. She can make more cranberry muffins than chocolate muffins.,Helen will give up the chance to eat chocolate muffins. She thinks chocolate muffins are tastier than cranberry muffins.,,
"Which tense does the sentence use?
Tony carefully spelled the word aloud.",present tense,past tense,future tense,
"Which figure of speech is used in this text?
Five years have passed;
Five summers, with the length of
Five long winters! And again I hear these waters . . .
—William Wordsworth, ""Tintern Abbey""",anaphora,euphemism,,
"Which word would you find on a dictionary page with the following guide words?
passage - pigeon",puppet,phantom,,
Is teaching school a good or a service?,a service,a good,,
Suppose Anne decides to go on the spinning teacups. Which result would be a cost?,Anne will give up the chance to go on the scrambler. She would have had more fun on that ride.,Anne will save some ride tickets. She needs fewer tickets to go on the spinning teacups than on the scrambler.,,
"Which logical fallacy is used in the text?
The school requires us to be on time. If you can't even obey this rule, then what's to stop you from doing something worse, like stealing?",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,appeal to nature: the assumption that natural things are always good,bandwagon fallacy: the assumption that the popular choice is automatically correct,
"What kind of sentence is this?
She has a huge collection of marbles.",declarative,interrogative,,
"What is the source of the allusion in the sentence below?
When I learned the details of Sophia's Faustian bargain, I was in disbelief.",literature,Roman mythology,,
"Which word would you find on a dictionary page with the following guide words?
gate - goggles",genuine,griddle,,
"What kind of sentence is this?
Bridget felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.",exclamatory,interrogative,declarative,
"Which figure of speech is used in this text?
Study without thought is vain; thought without study is dangerous.
—Confucius, Analects",chiasmus,assonance,,
"Which word would you find on a dictionary page with the following guide words?
couch - cupboard",crane,chilly,,
"Does the sentence use a simile or a metaphor?
Mrs. Leonard is kind, and her heart is gold.",metaphor,simile,,
Suppose Troy decides to see the otters. Which result would be a cost?,"Troy will save some time. The otters are close by, but he would have had to walk to the the other side of the zoo to see the lemurs.",Troy will give up the chance to see the lemurs. He would have enjoyed seeing them more than the otters.,,
"Which word would you find on a dictionary page with the following guide words?
pond - purple",pretty,people,,
"Which figure of speech is used in this text?
""Your new hairstyle is so boring!"" Daniel remarked when his sister showed up with a pink-and-blue mohawk.",pun,verbal irony,,
"Complete the sentence so that it uses personification.
Audrey finally found her phone () under the bed.",missing,hiding,,
"Would you find the word children on a dictionary page with the following guide words?
carriage - cloak",no,yes,,
"Is this a run-on sentence?
Overcome with joy, Mrs. Cohen told her husband the exciting news about her promotion.",no,yes,,
"Which tense does the sentence use?
Matt will pop the popcorn.",future tense,present tense,past tense,
"Which word would you find on a dictionary page with the following guide words?
get - goes",group,gnaw,,
"Which word would you find on a dictionary page with the following guide words?
leap - lucky",lay,lord,,
"What is the source of the allusion in the sentence below?
Wayne described the situation he was facing with his boss as a catch-22.",literature,a song,,
"What does the metaphor in this text suggest?
When Ted lost his job, he was devastated. The only light in the sea of darkness was the prospect of pursuing a new career.",There was a benefit to Ted's job loss.,Having to pursue a new career was the worst part of Ted's job loss.,,
"Which figure of speech is used in this text?
Blue Moon, you saw me standing alone
Without a dream in my heart,
Without a love of my own.
—Lorenz Hart, ""Blue Moon""",apostrophe,antithesis,,
"Which word would you find on a dictionary page with the following guide words?
dad - distant",drive,deserve,,
"Which logical fallacy is used in the text?
How do I know that Beth is the most intelligent person in our geometry class? I know because she's so smart.",circular reasoning: an argument that supports a claim with the claim itself,hasty generalization: a very broad claim based on very little evidence,,
Suppose Omar decides to take a trip to Minnesota. Which result would be a cost?,Omar will enjoy his trip to Minnesota more than he would have enjoyed a trip to New York.,Omar will spend more money. Plane tickets for Omar to get to Minnesota are more expensive than tickets to New York.,,
"Which logical fallacy is used in the text?
Don't let your children stay up till midnight on New Year's Eve. Before you know it, they'll be demanding to stay up till midnight every night.",circular reasoning: an argument that supports a claim with the claim itself,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,appeal to nature: the assumption that natural things are always good,
Suppose Ruben decides to get the peach ice cream. Which result would be a cost?,Ruben will get to eat the peach ice cream. He likes this flavor more than strawberry cheesecake.,Ruben will give up the chance to get a free waffle cone. He would have enjoyed the waffle cone.,,
"Would you find the word his on a dictionary page with the following guide words?
hang - heard",yes,no,,
"The city of Kingwood has been one of the world's biggest makers of cough drops for many years. But last month, Kingwood's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,
"Which word would you find on a dictionary page with the following guide words?
oats - onion",over,offer,,
"Which word would you find on a dictionary page with the following guide words?
threw - trumpet",temper,tilt,,
"Which type of sentence is this?
As Scott sat down on the rickety old chair, it abruptly collapsed beneath him.",complex,compound-complex,compound,simple
"Which tense does the sentence use?
Mom and Dad walk in the apple orchard.",past tense,present tense,future tense,
"What is the source of the allusion in the sentence below?
Much to our shock, Tyrone chose to turn the other cheek when Ruth insulted him in a meeting.",a song,the Bible,,
"What kind of sentence is this?
Max usually eats oatmeal for breakfast.",declarative,exclamatory,,
"What is the source of the allusion in the sentence below?
""Kathleen is such a Pollyanna!"" Aaron announced with a sigh.",literature,a fable,,
Which invitation is more formal?,We invite you to celebrate with us.,Come join us.,,
"What kind of sentence is this?
Seth campaigned tirelessly in support of his neighbor's bid for elective office.",exclamatory,interrogative,declarative,
"Which logical fallacy is used in the text?
Two of my best friends are really introverted, shy people, and they both have cats. That leads to me believe that most cat lovers are really shy.","ad hominem: an attack against the person making the argument, rather than the argument itself",guilt by association: a negative association intended to discredit someone or something,hasty generalization: a broad claim based on too few observations,
"Which word would you find on a dictionary page with the following guide words?
chisel - court",carve,circular,,
"Which figure of speech is used in this text?
Dr. Cameron is unhappy with her new assistant because simple tasks, like fetching coffee, take him years to finish.",hyperbole,oxymoron,,
"Which logical fallacy is used in the text?
Mr. Carlson argues that we need to do more to prevent workplace injuries and fatalities. I doubt that someone so socially awkward would know a thing about office safety.",ad hominem: a personal attack against one's opponent,false dichotomy: an argument that presents only two choices when more options exist,,
"Would you find the word deep on a dictionary page with the following guide words?
dangle - drench",yes,no,,
"Which logical fallacy is used in the text?
Alana's shoes are superior, because they're made from one hundred percent snakeskin, not synthetic materials.",red herring: the use of a completely unrelated topic or idea,appeal to nature: the assumption that natural things are always good,,
"Complete the sentence so that it uses personification.
The gardener struggled to tame the () vines.",overwhelming,merciless,,
"Which logical fallacy is used in the text?
Hazel has no school spirit—she never comes to any of our football games.",red herring: the use of a completely unrelated topic or idea,false dichotomy: an argument that presents only two choices when more options exist,,
"Weather forecasters expect a hot, dry summer in the parts of Africa where bananas grow. Bananas do not grow well in hot and dry weather. What will probably happen to the overall supply of bananas?",The supply will probably go up.,The supply will probably go down.,,
"Complete the sentence so that it uses personification.
Cindy groaned as her shrill alarm clock ().",went off,sprang to life,,
"Which figure of speech is used in this text?
Kendrick's leaving his job? That's old news. He's been planning that for months.",anaphora,oxymoron,,
Is a pair of scissors a good or a service?,a service,a good,,
"Read the following excerpt from a student essay. How can the writer best improve his or her word choice?
If I could invent something, I would create a really nice bicycle. My bike would have a good seat and great tires so that I could ride it anywhere. It would also have a bell and special pockets for carrying things. A special top would be wonderful, so I could ride it in the rain but also enjoy the sun. I would choose a fun color to reflect my personality. Inventing a new bike would be cool.",by reducing repetitive language,by using more specific language,,
"Which logical fallacy is used in the text?
We have no choice but to invite your manager to the party, because failing to invite her isn't a valid option.",hasty generalization: a broad claim based on too few observations,false dichotomy: an argument that presents only two choices when more options exist,circular reasoning: an argument that supports a claim with the claim itself,
Is a motorcycle a good or a service?,a service,a good,,
Which expression of thanks is more formal?,Thank you for taking the time to speak with me.,It was super nice talking with you. Thanks for fitting me in!,,
"What does the allusion in this text suggest?
Troy seems to have the Midas touch. Without any special experience or training, he launched a thriving business and then established a well-respected charity.",Troy is lazy and uninformed.,Troy is successful at all that he does.,,
"Would you find the word ninety on a dictionary page with the following guide words?
nap - neither",no,yes,,
"Which figure of speech is used in this text?
Sofia asked her mother if she could adopt a cat, and her mother replied, ""It's a definite maybe,"" so Sofia didn't want to get her hopes up.",oxymoron,euphemism,,
"Complete the sentence so that it uses personification.
""I can't believe I tripped,"" Aiden remarked. ""The curb must have ()"".",jumped out in front of me,had an uneven surface,,
"Which logical fallacy is used in the text?
Don't be deceived by Emily Campbell's articles on rural, blue-collar workers. Her husband is a fancy investment banker, so she can't possibly understand their situation.",guilt by association: a negative association intended to discredit someone or something,circular reasoning: an argument that supports a claim with the claim itself,bandwagon fallacy: the assumption that the popular choice is automatically correct,
"Which tense does the sentence use?
They will track the bear through the woods.",future tense,present tense,past tense,
"Which word would you find on a dictionary page with the following guide words?
dive - dune",desk,drape,,
"What does the verbal irony in this text suggest?
""That fits you well,"" Aiden remarked after Debbie's cap fell over her eyes for the tenth time.",The cap was too big.,The cap was a good fit.,,
"Which figure of speech is used in this text?
I've heard that Judith & Co. is downsizing, so I'm happy to see that their store in downtown Greenville will remain open for now.",euphemism,hyperbole,,
"Would you find the word anybody on a dictionary page with the following guide words?
ally - ascent",yes,no,,
"Which figure of speech is used in this text?
Dr. Todd is unhappy with her new assistant because simple tasks, like fetching coffee, take him years to finish.",oxymoron,hyperbole,,
"Would you find the word balcony on a dictionary page with the following guide words?
bitter - blame",no,yes,,
"What does this Works Cited entry indicate about the cited work?
Kulligan, Ian K. ""First of Kate Brown's Ethics Bills Sent to Senate Floor."" The Oregonian 28 Apr. 2015: n. pag. Web. 2 May 2015.",It is a newspaper article.,It is a short story.,It is a poem.,
"Which tense does the sentence use?
Nellie learns about her ancestors in the book.",past tense,present tense,future tense,
"Which figure of speech is used in this text?
Hello darkness, my old friend
I've come to talk with you again
Because a vision softly creeping
Left its seeds while I was sleeping
—Paul Simon, ""The Sound of Silence""",apostrophe,anaphora,,
Suppose Mona decides to go on the super starship. Which result would be a cost?,Mona will have more fun on the super starship than she would have had on the pirate ship.,Mona will spend more ride tickets on the super starship than she would have spent on the pirate ship.,,
"Last year, 50,000 people lived in the city of Richmond. But since then, 8,000 people have moved away. What probably happened to the overall supply of houses for sale in Richmond?",The supply probably went down.,The supply probably went up.,,
"Which word would you find on a dictionary page with the following guide words?
very - volcano",vanish,visit,,
"Which word would you find on a dictionary page with the following guide words?
plea - prefer",purpose,pop,,
"Which figure of speech is used in this text?
Reggie's '64 Impala groaned as he turned the ignition. Yet again he resolved to refurbish it over the summer.",metaphor,personification,,
Is a hockey puck a good or a service?,a good,a service,,
"What is the source of the allusion in the sentence below?
Wesley spoke at the city council meeting, claiming the new recycling regulations were draconian.",Greek history,a fairy tale,,
"Complete the sentence so that it uses personification.
He had wasted too many opportunities, and now his last chance was ().",nearly gone,walking out the door,,
