Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
"Rain, snow, sleet, and hail are all examples of what?",temperature,erosion,precipitation,liquids,C,Earth Sciences,Geography,C,C,1,1
"The most common substance on earth, water, is primarily present in what state?",solid,gas,freshwater,liquid,D,Earth Sciences,Geography,D,D,1,1
"What global cycle takes place on, above, and below earth’s surface?",water flow,aqua cycle,water cycle,water wheel,C,Earth Sciences,Geography,C,C,1,1
What do we call scientists who study and forecast the weather?,TV hosts,Climate predictors,forecasters,meteorologists,D,Earth Sciences,Geography,D,D,1,1
What causes high winds and monsoon storms in the desert?,high summer temperature,and-12 summer temperature,moderate spring temperature,low winter temperature,A,Earth Sciences,Geography,A,A,1,1
The soil beneath a deciduous forest is called what?,pedalfer,cocklebur,forest floor,trichina,A,Earth Sciences,Geography,A,A,1,1
What type of climates are found around the equator?,arid,tropical,tundras,arctics,B,Earth Sciences,Geography,B,B,1,1
"When a mountain stream flows onto flatter land and comes to a stop rapidly, what do the deposits form?",conical fan,vertical fan,alluvial fan,upstream fan,C,Earth Sciences,Geography,C,C,1,1
Which feature in maps allows users to make corrections between magnetic north and true north?,inset,double compass rose,scale,key,B,Earth Sciences,Geography,B,B,1,1
Why do people build dams and levees?,to horde the water,prevent flooding,increase flooding,store drinking water,B,Earth Sciences,Geography,B,B,1,1
What line of latitude is an equal distance from both the north and south poles?,divider,meridian,mid-part,equator,D,Earth Sciences,Geography,D,D,1,1
"Marshes, swamps, and bogs are types of what?",rivers,grasslands,ponds,wetlands,D,Earth Sciences,Geography,D,D,1,1
Chemical elements and water are recycled through what cycle?,evaporation,biogenic,dynamical,biogeochemical,D,Earth Sciences,Geography,D,D,1,1
Snow and rain are forms of what weather?,precipitation,evaporation,sediment,cold fronts,A,Earth Sciences,Geography,A,A,1,1
"When sand is deposited along a shoreline, what is created?",dunes,beach,island,bay,B,Earth Sciences,Geography,B,B,1,1
What appears in autumn when cool air moves over a warm lake?,feature fog,misty fog,movement fog,steam fog,D,Earth Sciences,Geography,D,D,1,1
"Only a small percent of earth's water is what type, as opposed to saltwater?",runoff,groundwater,rainwater,fresh,D,Earth Sciences,Geography,B,D,0,1
Where does most water evaporate from?,seas,rivers,lakes,oceans,D,Earth Sciences,Geography,D,D,1,1
What is the main reason for weather change?,climate change,moving energy masses,seasons,moving air masses,D,Earth Sciences,Geography,B,D,0,1
What event occurs between the two solstices?,Christmas,summer,equinox,Leap Year,C,Earth Sciences,Geography,C,C,1,1
What is the most important factor in determining the type of soil that forms in a particular area?,landscape,climate,altitude,migration,B,Earth Sciences,Geography,B,B,1,1
What season is it in the southern hemisphere when it's winter in the northern?,Spring,summer,Winter,autumn,B,Earth Sciences,Geography,A,B,0,1
"Which type of weathering causes changes int he rocks materials, chemical or mechanical?",liquid,nuclear,mineral,chemical,D,Earth Sciences,Geology,D,D,1,1
What is the most common type of volcano?,cinder cone,geyser,block cone,flat,A,Earth Sciences,Geology,A,A,1,1
"If hot water becomes trapped, pressure may build up. when the water breaks free, it creates what?",steam,groundwater,geyser,glacier,C,Earth Sciences,Geology,C,C,1,1
Why does water infiltrate the ground?,prolonged drought conditions,because soil and rocks are porous,gravity,run-off from flooding,B,Earth Sciences,Geology,B,B,1,1
What are the three main types of rocks?,"sedimentary, igneous and metamorphic","limestone , igneous and metamorphic","plutonic, igneous and metmorphic","crystalline , igneous and metamorphic",A,Earth Sciences,Geology,A,A,1,1
Which country is formed by a hotspot along the mid-atlantic ridge?,iceland,norway,finland,Switzerland,A,Earth Sciences,Geology,A,A,1,1
What kind of volcanic eruptions are less deadly?,non-dormant,serial eruptions,non-explosive,explosive,C,Earth Sciences,Geology,C,C,1,1
What area beneath the earth's surface do magma collects?,magma chambers,hot chambers,underneath chambers,erosion chambers,A,Earth Sciences,Geology,A,A,1,1
Which mineral do native americans use to decorate items?,Tanzanite,turquoise,Topaz,Amethyst,B,Earth Sciences,Geology,B,B,1,1
In what country can some of the largest natural crystals be found?,spain,mexico,germany,canada,B,Earth Sciences,Geology,B,B,1,1
What is the term for a fold that arches upward?,tailslide,underlain,tailplane,anticline,D,Earth Sciences,Geology,D,D,1,1
"The geologic time scale is divided into eons, eras, periods, and?",epochs,tropics,cultures,zones,A,Earth Sciences,Geology,A,A,1,1
What do convergent plate boundaries with trenches have?,geysers,volcanoes,caves,earthquakes,B,Earth Sciences,Geology,B,B,1,1
What are the deepest places on earth?,deep sea diversions,deep sea trenches,deep sea caves,deep sea resonances,B,Earth Sciences,Geology,B,B,1,1
"When magma cools slowly, what texture does it have?",large gases,large squares,small circles,large crystals,D,Earth Sciences,Geology,D,D,1,1
What is the term for dating a rock based on composition decay?,fuel dating,radioactive dating,carbon dating,safe dating,B,Earth Sciences,Geology,B,B,1,1
What term is defined as the preserved remains or traces of organisms that lived during earlier ages?,waste,fossils,bones,deposits,B,Earth Sciences,Geology,B,B,1,1
What were the first forms of life on earth?,aniryotes,eukaryotes,prokaryotes,protists,C,Earth Sciences,Geology,C,C,1,1
What type of stratified deposit is formed where lakes are covered by ice in the winter?,telomeres,varves,glacier,tangles,B,Earth Sciences,Geology,B,B,1,1
Scientists found that the youngest rocks on the seafloor were where?,mid-ocean ridges,mid - ocean sediments,trenches.,mid - ocean glaciers,A,Earth Sciences,Geology,A,A,1,1
What does continental crust grade into at continental margins?,storm crust,ocean floor,remnants crust,oceanic crust,D,Earth Sciences,Geology,B,D,0,1
Ash that enters the air naturally as a result of a volcano eruption is classified as what kind of pollutant?,thick pollutant,secondary pollutant,natural pollutant,primary pollutant,D,Earth Sciences,Geology,C,C,0,0
On what type of land does runoff cause more erosion?,grassy,bare,metallic,mountainous,B,Earth Sciences,Geology,B,B,1,1
An aquifer is an underground layer of rock that is saturated with what?,wastewater,ocean water,oil,groundwater,D,Earth Sciences,Geology,D,D,1,1
What kind of chain is formed by subduction of oceanic crust beneath a continental or oceanic plate?,volcano,chain reaction,tsunami,mountain,A,Earth Sciences,Geology,D,A,0,1
How many major massive extinctions have been since life began on earth?,four,five,three,one,B,Earth Sciences,Geology,B,B,1,1
What type of mining is used to recover ores that are deeper into earth’s surface?,explosive mining,deep mining,underwater mining,underground,D,Earth Sciences,Geology,B,,0,0
"Volcanoes are termed active, dormant, or extinct depending on the possibility of the presence of what in chamber structures?",magma,coal,sulpher,water,A,Earth Sciences,Geology,A,A,1,1
What direction are sediments deposited?,diagonally,magnetic poles,horizontally,vertically,C,Earth Sciences,Geology,C,C,1,1
What measurement of the wave is used to determine the magnitude of an earthquake?,diameter,length,height,width,C,Earth Sciences,Geology,C,C,1,1
In what type of mining must tunnels be blasted into the rock so that miners and equipment can get to the ore?,strip mining,open-pit mining,gold mining,underground mining,D,Earth Sciences,Geology,D,D,1,1
What is the first classification of igneous rocks?,composition,size,color,weight,A,Earth Sciences,Geology,A,A,1,1
What is the term for materials that have been left behind by organisms that once lived?,skulls,detritis,bones,fossils,D,Earth Sciences,Geology,D,D,1,1
Convection in which part of the earth drives the movement of the plates of lithosphere over the earth’s surface?,mantle,ocean,atmosphere,upper crust,A,Earth Sciences,Geology,A,A,1,1
"What is a thick, dark brown or black liquid found in rock layers of the earth's crust?",oil,fossil fuel,propane,coal,A,Earth Sciences,Geology,B,A,0,1
Why are two different minerals considered different though they have the same chemical composition?,different molecular structures,different linear structures,different crystal structures,different rods structures,C,Earth Sciences,Geology,C,C,1,1
"When hot water gently rises to the surface, it creates a what?",steam cloud,volcano,fissure,hot spring,D,Earth Sciences,Geology,D,D,1,1
What is the term for the small particles that rocks are worn down to by water and wind?,fragments,pebbles,organisms,sediments,D,Earth Sciences,Geology,D,D,1,1
What are the two types of earth crust?,micro and continental,reflective and continental,oceanic and continental,amorphous and continental,C,Earth Sciences,Geology,C,C,1,1
What allowed life to expand and diversify during the early cambrian period?,"hot, dry climate","cool, dry climate","warm, humid climate","cool, humid climate",C,Earth Sciences,Geology,C,C,1,1
What force is responsible for erosion by flowing water and glaciers?,electromagnetic,gravity,kinetic,weight,B,Earth Sciences,Geology,B,B,1,1
Which process causes rocks at the earth's surface to change form?,remodeling,bleaching,eroding,weathering,D,Earth Sciences,Geology,C,D,0,1
Abrasion is a process of what type of weathering?,molecular,mechanical,geological,environmental,B,Earth Sciences,Geology,B,B,1,1
Soil that forms in place over a very long period is called what?,antique soil,residual soil,leakage soil,resultant soil,B,Earth Sciences,Geology,B,B,1,1
Groundwater dissolves minerals and carries the ions in a what?,mixture,solution,transition,jet stream,B,Earth Sciences,Geology,B,B,1,1
Physical features on the earth's surface are known as ______,atmospheres,landforms,diversity,biospheres,B,Earth Sciences,Geology,B,B,1,1
What is lava called before it reaches the surface of the earth?,pyrite,crust,rock,magma,D,Earth Sciences,Geology,D,D,1,1
Lots of volcanoes form along which boundaries?,basalt plate boundaries,subduction plate boundaries,deposit plate bounderies,geyser plate boundaries,B,Earth Sciences,Geology,B,B,1,1
What term is used to describe the tendency of a mineral to break along certain planes?,cleavage,tooth decay,porosis,erosion,A,Earth Sciences,Geology,A,A,1,1
Most fossils form when a dead organism is buried in what?,soil,sediment,ash,sand,B,Earth Sciences,Geology,B,B,1,1
What works through chemical reactions that change the rock?,chemical breakdown,gradual weathering,rock weathering,chemical weathering,D,Earth Sciences,Geology,A,D,0,1
What type of dating determines which of two fossils is older or younger than the other but not their age in years?,relative,constant,normative,normal,A,Earth Sciences,Geology,A,A,1,1
What branch of biology uses fossils to study life’s history?,entomology,morphology,gerontology,paleontology,D,Earth Sciences,Geology,D,D,1,1
What is the hardest type of coal?,anthracite,Bituminous,lignite,peat,A,Earth Sciences,Geology,A,A,1,1
What type of coal is formed at lower temperatures?,bituminous,clean,calcareous,limestones,A,Earth Sciences,Geology,A,A,1,1
Supercontinents have formed at least how many times in earth history?,twenty,five,nine,two,B,Earth Sciences,Geology,D,B,0,1
What theory brings together continental drift and seafloor spreading?,theory of water tectonics,theory of order tectonics,theory of plate tectonics,theory of front tectonics,C,Earth Sciences,Geology,C,C,1,1
Why do effusive eruptions rarely kill anyone?,They are minor,They occur rarely,they move slowly,They are low temperature,C,Earth Sciences,Geology,C,C,1,1
Why is a synthetic diamond not considered a mineral?,Minerals must not occur naturally.,minerals must be created naturally,fluctuations must be created naturally,interactions must be created naturally,B,Earth Sciences,Geology,B,B,1,1
"When the energy of the earthquake reaches shore, it forms a huge wave called?",a typhoon,a surge,a tidal wave,a tsunami,D,Earth Sciences,Geology,D,D,1,1
What is another term for hydraulic fracturing?,fracking,permeating,erupting,drilling,A,Earth Sciences,Geology,A,A,1,1
"What helps deposit the material in caves as stalactites, stalagmites, and columns",wastewater,groundwater,gas,precipitation,B,Earth Sciences,Geology,B,B,1,1
Transform faults are the site of massive what?,vibrations,storms,tornadoes,earthquakes,D,Earth Sciences,Geology,D,D,1,1
A small scale version of what type of map displays individual rock units?,geographic map,geologic map,seismic map,polar map,B,Earth Sciences,Geology,B,B,1,1
Solid bedrock vibrates less and therefore does less of what to bedrock?,dampen,block,butress,damage,D,Earth Sciences,Geology,D,D,1,1
Which layer is found below the lithosphere?,troposphere,magnetosphere,asthenosphere,stratosphere,C,Earth Sciences,Geology,C,C,1,1
What are the mineral deposits that fill in underground cracks called?,veins,currents,cores,motherlode,A,Earth Sciences,Geology,A,A,1,1
What kind of rock is gypsum?,basalt,sedimentary,igneous,metamorphic,B,Earth Sciences,Geology,B,B,1,1
What is the color of the powder of a mineral called?,dye,pigment,streak,hue,C,Earth Sciences,Geology,C,C,1,1
"When a glacier no longer moves, what is it called?",an iceberg,an ice sheet,a glacial lake,an ice cylinder,B,Earth Sciences,Geology,B,B,1,1
Varves form in lakes covered by what?,ice,bridges,coral reef,soot,A,Earth Sciences,Geology,A,A,1,1
Nearly all earthquakes occur where?,plate centers,in Asia,in large cities,plate boundaries,D,Earth Sciences,Geology,D,D,1,1
Beaches and deserts collect large deposits of what?,sand,plants,animals,water,A,Earth Sciences,Geology,A,A,1,1
Metamorphic rocks form when an existing rock is changed by heat or what?,chemical reaction,pressure,radiation,cold,B,Earth Sciences,Geology,B,B,1,1
Long-term storage of what element occurs when matter from living organisms is buried deep underground and becomes fossilized?,carbon,oxygen,Nitrogen,hydrogen,A,Earth Sciences,Geology,A,A,1,1
What are the 3 types of volcanoes?,"composite , atop , cinder cones","composite, shield, cinder cones","composite, seismic, fault","crude , shield , cinder cones",B,Earth Sciences,Geology,B,B,1,1
"What consists of four major components: inorganic mineral matter, organic matter, water and air, and living matter?",nitrogen,color,rocks,soil,D,Earth Sciences,Geology,D,D,1,1
"At transform plate boundaries, two plates move in which directions?",parallel,same,opposite,north and south,C,Earth Sciences,Geology,A,A,0,0
What changes from heat or pressure during metamorphism?,minerals,grains,carbohydrates,fossils,A,Earth Sciences,Geology,A,A,1,1
Sandblasting a surface exemplifies what form of erosion?,glacial,wind,abrasion,water,C,Earth Sciences,Geology,C,C,1,1
What type of rocks form from cooled magma or lava?,granite,sedementary,igneous,metamorphic,C,Earth Sciences,Geology,C,C,1,1
Where do plates move apart in oceans and on land?,divergent plate boundaries,volcanic ridges,coastal zones,unsettled plate boundaries,A,Earth Sciences,Geology,A,A,1,1
"Lava erupts through long cracks in the ground, also called what?",ridges,fissures,crevasses,faults,B,Earth Sciences,Geology,B,B,1,1
What type of waves radiate energy out from an earthquake's focus?,seismic,Microwaves,abnormal,volcanic,A,Earth Sciences,Geology,A,A,1,1
"What is the nickname of the best-known geyser in the world, which erupts reliably every 90 minutes?",old consistent,old energetic,victoria falls,old faithful,D,Earth Sciences,Geology,D,D,1,1
What forms in the ocean from the seafloor spreading?,tsunamis,new oceanic crust,underwater volcanoes,earthquakes,B,Earth Sciences,Geology,B,B,1,1
What is the term for the remains or traces of living organisms?,fossils,remains,ethings,deposits,A,Earth Sciences,Geology,A,A,1,1
What is the tectonic zone called where two plates come together?,lateral boundary,convergent boundary,precursors boundary,paralleled boundary,B,Earth Sciences,Geology,B,B,1,1
"By 180 million years ago, pangaea began to do what?",break up,combine,freeze,grow,A,Earth Sciences,Geology,A,A,1,1
What are the large segments of the earth’s crust that ordinarily move very slowly?,ocean plates,lava plates,tectonic plates,distinct plates,C,Earth Sciences,Geology,C,C,1,1
"What type of bond forms by unpaired electrons from two atoms ""matching up""?",covalent bond,reactive bond,accretion bond,magnetic bond,A,Chemistry,Inorganic Chemistry,A,A,1,1
Double-replacement reactions generally occur between substances in what kind of solution?,solid,reactive,aqueous,saline,C,Chemistry,Inorganic Chemistry,C,C,1,1
What is an ionic compound that produces negative hydroxide ions when dissolved in water,acid,base,catalyst,isomer,B,Chemistry,Inorganic Chemistry,B,B,1,1
Substances may be either elements or what?,fundamental compounds,pure compounds,pure chemicals,existent compounds,B,Chemistry,Inorganic Chemistry,B,B,1,1
"Potassium is a soft, silvery metal that ignites explosively in what?",air,cold,acid,water,D,Chemistry,Inorganic Chemistry,D,D,1,1
Atoms of different elements can combine in simple whole number ratios to form what?,mixtures,carbon compounds,combinations,chemical compounds,D,Chemistry,Inorganic Chemistry,D,D,1,1
What is the common term for the chemical formula h 2 0?,air,water,hydrogen,oxygen,B,Chemistry,Inorganic Chemistry,B,B,1,1
Urea and carbon dioxide are molecules with how many carbon atoms?,even number,four,two,one,D,Chemistry,Inorganic Chemistry,B,D,0,1
"Sucrose does not undergo reactions that are typical of aldehydes and ketones, therefore it is a nonreducing what?",wheat,juice,salt,sugar,D,Chemistry,Inorganic Chemistry,D,D,1,1
Solutions that are prepared in which a solute concentration exceeds its solubility are called what?,instantiated,solidified,supersaturated,mineralized,C,Chemistry,Inorganic Chemistry,C,C,1,1
What is sulfur trioxide dissolved in to form sulfuric acid?,water,silver,mercury,lead,A,Chemistry,Inorganic Chemistry,A,A,1,1
Bases are ionic compounds consisting of hydroxide ions and a what?,carbonate,cation,cinion,sulfate,B,Chemistry,Inorganic Chemistry,B,B,1,1
What is the atomic number of magnesium?,17,12,25,8,B,Chemistry,Inorganic Chemistry,B,B,1,1
Substances produced by a reaction are known as?,solutions,products,compounds,minerals,B,Chemistry,Inorganic Chemistry,B,B,1,1
What forms when nitrogen and oxygen combine at high temperatures?,ammonia oxide,oxygen oxide,nitrogen oxide,carbon dioxide,C,Chemistry,Inorganic Chemistry,C,C,1,1
Sulfur can combine with oxygen to produce what?,sulfur trioxide,sulfur bioxide,sulfur dioxide,sulfur oxide,A,Chemistry,Inorganic Chemistry,A,A,1,1
The name of a monatomic cation is simply the name of the element followed by this word?,laser,ion,amine,bond,B,Chemistry,Inorganic Chemistry,B,B,1,1
How many valence electrons do neutral phosphorus atoms have?,three,nine,four,five,D,Chemistry,Inorganic Chemistry,B,D,0,1
What is released during an enthalpy reaction?,heat,gold,precipitation,sound,A,Chemistry,Inorganic Chemistry,A,A,1,1
The formula unit of sodium chloride dissociates into one sodium ion and one?,chloride ion,magnesium ion,oxygen ion,electron,A,Chemistry,Inorganic Chemistry,A,A,1,1
What is the term for a solution that resists dramatic changes in ph?,neutral,inert,stable,buffer,D,Chemistry,Inorganic Chemistry,D,D,1,1
"Initial substances are called reactants, and the final substances are called what?",imports,products,exports,reactors,B,Chemistry,Inorganic Chemistry,B,B,1,1
A period is a horizontal row of the what?,phases table,cycles table,periodic table,species table,C,Chemistry,Inorganic Chemistry,C,C,1,1
Elements are pure substances that make up what?,some matter,Objects,all matter,Solids,C,Chemistry,Inorganic Chemistry,C,C,1,1
The term salt can refer to essentially any of what compounds?,metallic,absorption,ionic,solvent,C,Chemistry,Inorganic Chemistry,C,C,1,1
What process typically occurs to metal exposed to outside elements?,corrosion,extraction,shrinkage,explosion,A,Chemistry,Inorganic Chemistry,A,A,1,1
What is the name for substances with a ph above 7?,nutrient,bases,acid,protein,B,Chemistry,Inorganic Chemistry,B,B,1,1
Chemical reactions either require or release what?,electricity,energy,light,enzymes,B,Chemistry,Inorganic Chemistry,B,B,1,1
What molecule consists of two atoms of hydrogen and one atom of oxygen?,water,carbon monoxide,hydrogen peroxide,air,A,Chemistry,Inorganic Chemistry,A,A,1,1
What is the name of the two metalloids in the carbon group called?,titantium and copper,silicon and gold,silver and gold,silicon and germanium,D,Chemistry,Inorganic Chemistry,D,D,1,1
What is the scale on which acidity is measured?,hp,ph,μm,μg,B,Chemistry,Inorganic Chemistry,B,B,1,1
What is caused by atoms or ions when they share or transfer valance electrons?,loss of charge,gain of charge,force of attraction,force of repulsion,C,Chemistry,Inorganic Chemistry,B,C,0,1
What do you call a substance that is not an acid or a base?,equivalent,toxic,oxidic,neutral,D,Chemistry,Inorganic Chemistry,D,D,1,1
Acidity is measured by what physical property?,ph,ps,kω,amp,A,Chemistry,Inorganic Chemistry,A,A,1,1
What type of ionic compound is formed from acid and bases reacting with each other?,salt,common,isolated,dry,A,Chemistry,Inorganic Chemistry,A,A,1,1
What can be used to accelerate the rate at which chemical reactions occur?,protein,hormones,enzymes,components,C,Chemistry,Inorganic Chemistry,C,C,1,1
What process does water undergo to leave behind dissolved substances?,accumulation,evaporation,oxidation,ascension,B,Chemistry,Inorganic Chemistry,B,B,1,1
The concentration of hydronium ions in a solution is known as what?,akaline,base,acidity,pH value,C,Chemistry,Inorganic Chemistry,C,D,1,0
The actinides are all what type of elements?,large,nuclear,radioactive,multiple,C,Chemistry,Inorganic Chemistry,C,C,1,1
H2o is the chemical formula for what?,smog,water,glass,salt,B,Chemistry,Inorganic Chemistry,B,B,1,1
What refers to a substance made from two or more elements joined by chemical bonds?,component,compound,basic,contrast,B,Chemistry,Inorganic Chemistry,B,B,1,1
What is produced when hydrogen gas and oxygen gas are ignited?,liquid,Fire,water,air,C,Chemistry,Inorganic Chemistry,C,C,1,1
What type of shape does sodium chloride have?,round,trianguler,cubic,oblong,C,Chemistry,Inorganic Chemistry,C,C,1,1
What elements do water and hydrogen peroxide consist of?,carbon and oxygen,calcium and oxygen,hydrogen and helium,hydrogen and oxygen,D,Chemistry,Inorganic Chemistry,D,D,1,1
Liquids that mix with water in all proportions are usually polar substances or substances that form these?,hydrogen bonds,silicon bonds,atmospheric bonds,compressed bonds,A,Chemistry,Inorganic Chemistry,A,A,1,1
"The colorless, odorless gas released when we breath is carbon dioxide. the harmful colorless, odorless gas released when matter is burned is what?",carbon trioxide,methane,acid monoxide,carbon monoxide,D,Chemistry,Inorganic Chemistry,D,D,1,1
The limit to how much solute will dissolve in a given amount of solvent is called what?,potency,density,strength,solubility,D,Chemistry,Inorganic Chemistry,D,D,1,1
Boiling points increase with which kind of mass?,lipid mass,molar mass,universal mass,protons mass,B,Chemistry,Inorganic Chemistry,B,B,1,1
The electrolysis of what substance produces hydrogen and oxygen gases,carbon dioxide,cholesterol,water,hydrocarbon,C,Chemistry,Inorganic Chemistry,C,C,1,1
What kind of charge do iconic compounds have?,net positive charge,net negative charge,net neutral charge,white neutral charge,C,Chemistry,Inorganic Chemistry,C,C,1,1
"Polymers, ceramics, adhesives, coatings, and liquid crystals are examples of materials recently discovered or developed by what type of scientists?",material scientists,engineers,geologists,chemists,D,Chemistry,Inorganic Chemistry,A,A,0,0
"If two chlorine atoms share their unpaired electrons by making a covalent bond and forming cl2, they can each complete their what?",valence shell,hypothesized shell,radiative shell,electron shell,A,Chemistry,Inorganic Chemistry,A,A,1,1
What burns to produce the white light in fireworks displays?,magnesium in air,helium in air,nitrogen in air,oxygen in air,A,Chemistry,Inorganic Chemistry,A,A,1,1
"Because of their reactivity, we do not find most representative metals as free elements where?",in nature,in water,in the atomospher,underground,A,Chemistry,Inorganic Chemistry,A,A,1,1
Some atoms are more stable when they gain or lose an electron and form what?,electrons,ions,molecules,protons,B,Chemistry,Inorganic Chemistry,B,B,1,1
What chemical reaction is the opposite of oxidation?,condensation,reduction,mutation,evaporation,B,Chemistry,Inorganic Chemistry,B,B,1,1
What type of charge do electrons have?,neutral,positive,negative,bipolar,C,Chemistry,Inorganic Chemistry,C,C,1,1
What is a mixture of metal with one or more other elements?,an alloy,an alkali metal,a halloid,a metalloid,A,Chemistry,Inorganic Chemistry,A,A,1,1
What are metals and good electrical conductors that tend to lose their valence electrons in chemical reactions called?,conservants,stable metals,precious metals,reductants,D,Chemistry,Inorganic Chemistry,D,D,1,1
What elements have the highest attraction for electrons?,metals,gases,carbons,nonmetals,D,Chemistry,Inorganic Chemistry,D,D,1,1
What term means the minimum energy required in order for a collision between molecules to result in a chemical reaction?,maximum energy,solar energy,activation energy,depletion energy,C,Chemistry,Inorganic Chemistry,C,C,1,1
Which common oxidizing agent can be used to oxidize alcohols?,potassium chloride,potassium dichromate,hydrogen dichromate,hydrogen chloride,B,Chemistry,Inorganic Chemistry,B,B,1,1
How does uric acid react to water?,does not form,explodes,does not dissolve,mixes,C,Chemistry,Inorganic Chemistry,C,C,1,1
What type of reactions form compounds?,mineral reactions,consumption reactions,physical reactions,chemical reactions,D,Chemistry,Inorganic Chemistry,D,D,1,1
The number of electron pairs that hold two atoms together is called?,bond order,nuclear order,proton order,electron order,A,Chemistry,Inorganic Chemistry,A,A,1,1
What is a process in which some substances change into different substances?,a toxic reaction,a bio reaction,a chemical reaction,a thermodynamic reaction,C,Chemistry,Inorganic Chemistry,C,C,1,1
Which bonds are the strongest of the intermolecular forces?,carbon,complex,hydrogen,calcium,C,Chemistry,Inorganic Chemistry,C,C,1,1
The acidity of a solution is typically assessed experimentally by measurement of its what?,ph,mass,density,color,A,Chemistry,Inorganic Chemistry,A,A,1,1
The chemical symbol of which ion is written first in ionic compounds?,negative ion,good metal ion,last ion,positive metal ion,D,Chemistry,Inorganic Chemistry,D,D,1,1
A chemical property describes the ability of a substance to undergo a specific what?,weight Change,radiation change,liquid change,chemical change,D,Chemistry,Inorganic Chemistry,D,D,1,1
"When dissolved in water, what do strong acids transfer to the solvent completely?",acidic electrons,acidic protons,acidic neutrons,acidic proteins,B,Chemistry,Inorganic Chemistry,B,B,1,1
At what point during a chemical reaction is there no net change?,equilibrium,formation,bonding,ionization,A,Chemistry,Inorganic Chemistry,A,A,1,1
Mixture of metals is called what?,amalgm,alloy,fusion,compound,B,Chemistry,Inorganic Chemistry,B,B,1,1
What is the basic characteristic of monoprotic bases?,accepts one neutron,accepts one proton,accepts no neutrons,accepts no protons,B,Chemistry,Inorganic Chemistry,B,B,1,1
What occurs when two nonpolar liquids are mixed?,nonpolar-nonpolar interactions,refracted - nonpolar interactions,sediment - nonpolar interactions,polar-nonpolar interactions,A,Chemistry,Inorganic Chemistry,A,A,1,1
What is an alloy of both tin and copper?,silver,Cobalt,bronze,Aluminium,C,Chemistry,Inorganic Chemistry,C,C,1,1
"In this type of reaction, an element replaces another element in a compound, and the element is in any state of matter but is not an ion?",double-replacement reaction,replication reaction,polar reaction,single-replacement reaction,D,Chemistry,Inorganic Chemistry,D,D,1,1
What type of change has occurred when a copper penny changes color?,carbon change,contamination change,chemical change,reactive change,C,Chemistry,Inorganic Chemistry,C,C,1,1
"A catalyst can increase the rate of what, in general?",mechanicl reaction,chemical reaction,carbon reaction,consumption reaction,B,Chemistry,Inorganic Chemistry,B,B,1,1
This sharing of electrons produces what is known as a covalent bond. covalent bonds are ~20 to 50 times stronger than what?,van der waals interactions,Newton's third law,Mendelian systems,gravitational pull,A,Chemistry,Inorganic Chemistry,A,A,1,1
The separation of compounds on the basis of their solubilities in a given solvent is known as what?,nuclei crystallization,simplest crystallization,separate crystallization,fractional crystallization,D,Chemistry,Inorganic Chemistry,D,D,1,1
What substance is created when a copper turns from reddish brown to greenish brown?,rust,copper alloy,iron oxide,copper oxide,D,Chemistry,Inorganic Chemistry,D,D,1,1
"According to the octet rule, magnesium is unstable because its valence shell has just two of what?",electrons,quarks,neutrons,protons,A,Chemistry,Inorganic Chemistry,A,A,1,1
Hydrogen peroxide is commonly sold as a 3% by volume solution for use as a what?,detergent,antiseptic,surfactant,disinfectant,D,Chemistry,Inorganic Chemistry,B,B,0,0
"Water molecules are polar, so they form what type of bonds?",carbon,oxygen,hydrogen,helium,C,Chemistry,Inorganic Chemistry,C,C,1,1
"Unlike ammonia, oxygen cannot be liquefied at room temperature because its what is below room temperature?",relaxed temperature,critical temperature,leading temperature,particular temperature,B,Chemistry,Inorganic Chemistry,B,B,1,1
"Elements below the second period, such as silicon, do not form what as readily as second-period elements, and when they do form, they are weaker than those formed by second-period elements?",covalent bonds,magnetic bonds,k. bonds,n bonds,D,Chemistry,Inorganic Chemistry,A,A,0,0
What kind of change occurs whenever matter changes into an entirely different substance with different chemical properties?,physical change,chemical change,reversible change,carbon change,B,Chemistry,Inorganic Chemistry,B,B,1,1
The bond between the two nitrogen atoms is a what?,double bond,single bond,quadruple bond,triple bond,D,Chemistry,Inorganic Chemistry,D,D,1,1
Some reactions need extra help to occur quickly. they need another substance called what?,neurotransmitter,a catalyst,protein,hormone,B,Chemistry,Inorganic Chemistry,B,B,1,1
Nearly all fish reproduce sexually and have what?,modified sexes,flexible sexes,single sexes,separate sexes,D,Biology,Marine Biology,D,D,1,1
"Snails, scallops, and squids are examples of invertebrates called what?",mollusks,gastropods,orthopods,clams,A,Biology,Marine Biology,A,A,1,1
Lampreys use their sucker to feed on what part of other fish species?,brain,heart,blood,liver,C,Biology,Marine Biology,C,C,1,1
Dolphins are what type of animal?,mammal,fish,reptile,whale,A,Biology,Marine Biology,A,A,1,1
What are two ways cnidarians are able to reproduce?,asexually and sexually,spawning and sexual,mitosis and meiosis,internally and externally,A,Biology,Marine Biology,A,A,1,1
What are two types of lobe finned fish?,sharks and piranha,coelacanths and lungfish,piranha and pike,moles and lungfish,B,Biology,Marine Biology,B,B,1,1
Which stage has already been completed by the time sea urchin eggs are released from the female?,secondary,fetus,mitoses,meiosis,D,Biology,Marine Biology,D,D,1,1
What are living echinoderms divided into five of?,species,classifications,clades,sexes,C,Biology,Marine Biology,B,C,0,1
