Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch
What is the process resulting in living things with beneficial traits producing more offspring?,natural selection,fluid selection,Natural choice.,natural change,A,Biology,Evolutionary Biology
What type of structure between the esophagus and the stomach normally opens only when a bolus arrives?,intestine,sphincter,larynx,gland,B,Biology,Anatomy/Physiology
"Viroids are plant pathogens much simpler than what, but like them can reproduce only within a host cell?",pests,bacteria,viruses,parasites,C,Biology,Microbiology
"""crossing over"" occurs during what phase of mitosis?",Prophase ii,prophase VI,prophase iii,prophase i,D,Biology,Genetics
What is the preferred food for almost all primates except for humans?,fruit,grass,wheat,corn,A,Biology,Zoology
What property means that something can return to its original shape after being stretched or compressed?,homeostasis,viscosity,elasticity,friction,C,Chemistry,Physical Chemistry
Where does all igneous rock come from?,the moon,magma or lava,stratosphere,oceans,B,Earth Sciences,Geology
"Three ways that waves may interact with matter are reflection, refraction, and what?",absorption,diffraction,distortion,dispose,B,Physics,Optics
Sucrose consists of one molecule of glucose and one molecule of what else?,protein,lactose,alcohol,fructose,D,Biology,Biochemistry
What occurs when arterioles lose their normal muscular tone and dilate dramatically?,cardio  shock,respiration shock,vascular shock,congenital shock,C,Biology,Anatomy/Physiology
Budding in sponges is a form of what type of reproduction?,sexual,asexual,reasonable,competitive,B,Biology,Marine Biology
Behaviors that are closely controlled by genes and have little to no environmental influence are called what kinds of behaviors?,generalized behaviors,diverse behaviors,learned behaviors,innate behaviors,D,Biology,Genetics
Mutations which benefit the organism in which they occur are known as?,beneficial mutations,extraordinary mutations,helpful mutations,healthy mutations,A,Biology,Genetics
"When gas particles collide, what kinds of collisions are these considered?",inelastic,perfect,conservative,elastic,D,Chemistry,Physical Chemistry
Around 1200 species of what broad animal group are currently at risk of extinction due to human activity?,birds,mammals,reptiles,amphibians,A,Biology,Ecology
The galápagos islands are a group of 16 volcanic islands 600 miles off the west coast of what continent?,south america,europe,north america,asia,A,Earth Sciences,Geography
What structures on the gastrodermal cells keep the contents of the gastrovascular cavity agitated and help distribute nutrients?,sporangia,flagella,telomeres,nucleus,B,Biology,Cell Biology
What is the factor that affects the solubility of solutes in all three states?,oxygen,color,heat,temperature,D,Physics,Thermodynamics
What kind of ph would you find in water from bogs?,normal ph,lower ph,higher ph,regular ph,B,Chemistry,Inorganic Chemistry
Where do most of the digestion reactions occur?,small intestine,liver,large intestine,mouth,A,Biology,Anatomy/Physiology
What is the name of the process where light is produced without heat?,effervescence,radiation,luminescence,fluorescence,C,Physics,Optics
Meats and dairy products link to photosynthesis because the animals were fed what?,chloroplasts,carnivorous diets,plant-based foods,biofuel,C,Biology,Ecology
What type of map would show average temperatures and rainfall?,landscape map,climate map,rainfall map,carbon map,B,Earth Sciences,Geography
What is the name of the sugar that plants produce to be used as food?,glucose,glucosamine,chlorophyll,insulin,A,Biology,Biochemistry
"Just under their skin, marine mammals have a very thick layer of insulating fat called what?",lipisomes,tissue,cellulose,blubber,D,Biology,Marine Biology
"While in the lungs, blood gives up carbon dioxide and picks up what element before returning to the heart?",methane,nitrogen,hydrogen,oxygen,D,Biology,Anatomy/Physiology
White blood cells called what travel to areas of the body that are inflamed?,platelets,phagocytes,gametocytes,spirochetes,B,Biology,Cell Biology
How many valence electrons can be found in a carbon atom?,four,three,five,One,A,Chemistry,Inorganic Chemistry
"Diaphragm, lungs, and trachea take air deep into the body and provide oxygen gas to what?",molecules,heart,brain,bloodstream,D,Biology,Anatomy/Physiology
What gases move in and out of blood during gas exchange?,"nitrogen, carbon dioxide","oxygen, carbon dioxide","oxygen, carbon monoxide","oxygen, nitrogen",B,Biology,Anatomy/Physiology
What keeps various species from mating and reproducing outside their own species?,digestive system incompatibility,brain organ incompatibility,reproductive organ incompatibility,cancer organ incompatibility,C,Biology,Reproductive Biology
A refrigerator must do work to reverse the normal direction of what?,visible energy flow,coolant energy flow,thermal energy flow,spectral energy flow,C,Physics,Thermodynamics
The bone matrix consists of tough protein fibers—mainly what?,tissues,collagen,hemoglobin,tendons,B,Biology,Anatomy/Physiology
Alkynes are what type of compound?,proteins hydrocarbons,reversible hydrocarbons,Split Hydrocarbons,unsaturated hydrocarbons,D,Chemistry,Organic Chemistry
What type of invertebrate typically has a single spiraled shell?,bipod,arthropod,gastropod,anthropod,C,Biology,Zoology
What is observed when two perpendicular flagella moves?,pushing motion,spinning motion,turning motion,shaking motion,B,Biology,Microbiology
What is the name of a branch of the chemistry that deals with the interconversion of chemical energy and electrical energy?,Inorganic chemistry,Biochemistry,Theoretical Chemistry,electrochemistry,D,Chemistry,Physical Chemistry
Which system in the body exchanges gases with the outside air?,respiratory,immune,digestive,vascular,A,Biology,Anatomy/Physiology
What is a double membrane of the nucleus that encloses the genetic material?,the complex envelope,the cell wall,the nuclear envelope,the nuclear compression,C,Biology,Cell Biology
Animal-like protists are called what?,protozoa,bacteria,genus,larvae,A,Biology,Microbiology
Mating with no strong pair-bonds is called?,mutual,promiscuous,covalent,heterogeneous,B,Biology,Reproductive Biology
"Like other bryophytes, moss plants spend most of their life cycle as what?",zygotes,gametophytes,copepods,protozoa,B,Biology,Botany
What form because water erodes the outside of curves and deposits eroded material on the inside?,cascades,meanders,inlets,caverns,B,Earth Sciences,Geology
What term is used to describe modern seed plants that produce seeds in cones?,deciduous,angiosperms,gymnosperms,perennials,C,Biology,Botany
What kind of joints does the skull have that do not allow any movement?,fixed cells,fixed particles,fixed plates,fixed joints,D,Biology,Anatomy/Physiology
The shoulder and hip are examples of what type of joints?,lever,ball and socket,pivot,hinge,B,Biology,Anatomy/Physiology
"The tails of the hale-bopp comet point away from the sun, evidence that light has what property of motion?",momentum,velocity,inertia,acceleration,A,Physics,Astronomy
The flood of sodium ions through the symporter provides the energy that allows what to move through the symporter and into the cell?,glucose,sucrose,insulin,mitochondria,A,Biology,Biochemistry
Alternative current is produced when a magnet or coil does what?,moves at faster velocities,moves in circles at faster rates,moves back and forth repeatedly,moves up and down repeatedly,C,Physics,Electromagnetism
What are the chemical formulas for covalent compounds referred to as?,magnetic formulas,nucleus formulas,molecular formulas,Electron Formulas,C,Chemistry,Inorganic Chemistry
What do secondary spermatocytes form when completing meiosis?,spermatids,pores,semen,sporozoans,A,Biology,Cell Biology
What is the name of the muscle that contracts to cause the joint to straighten?,abductor,flexor,extensor,opposing,C,Biology,Anatomy/Physiology
What term means the percentage by mass of each element in a compound?,mass effect,elemental percent,percent composition,biomass,C,Chemistry,Inorganic Chemistry
Beaches and deserts collect large deposits of what?,sand,plants,animals,water,A,Earth Sciences,Geology
What is the name for animals that have a backbone?,mammals,vertebrates,skeletates,invertebrates,B,Biology,Zoology
The attractive force between water molecules is what kind of reaction?,aquatic reaction,symmetrical reaction,dipole reaction,diffusion reaction,C,Chemistry,Physical Chemistry
Which procedure helps modern nuclear physics convert lead into gold?,nuclear bombardment,nuclear fission,matter fusion,evaporation,A,Physics,Nuclear and Particle Physics
Alkanes are nonpolar and therefore do not attract what?,ions,molecules,eons,atoms,A,Chemistry,Organic Chemistry
What do we call the lowest layer of the atmosphere?,asthenosphere,stratosphere,mesosphere,troposphere,D,Earth Sciences,Atmospheric Science
Oxygenated blood is transported by what system?,nervous,skeletal,pulmonary,circulatory,D,Biology,Anatomy/Physiology
"Internal resistance, or (electrical) resistance in general, involves the resistance of the flow of what?",force,current,protons,water,B,Physics,Electromagnetism
What gas produced by fossil fuel use is a major cause of global warming?,carbon dioxide,hydrogen,helium,phosphorous,A,Environmental Science,Environmental Science
What supports most of earth's ecosystems?,oceans,moon,sun,crust,C,Biology,Ecology
"Because carbohydrates have a carbonyl functional group and several hydroxyl groups, they can undergo a variety of biochemically important reactions. the carbonyl group, for example, can be oxidized to form a carboxylic acid or reduced to form this?",glucose,sucrose,alcohol,caffeine,C,Biology,Biochemistry
What do earth and the other planets in the solar system make around the sun?,radial orbits,smooth orbits,elevated orbits,elliptical orbits,D,Physics,Astronomy
"What do anglerfish use their glow-in-the-dark, rod-like structure for?",for protection,to attract prey,to find a mate,to keep warm,B,Biology,Marine Biology
What kind of muscle is responsible for making the human heart beat?,cardiac muscle,deltoid,teres minor,respiratory muscle,A,Biology,Anatomy/Physiology
Channel proteins and carrier proteins help substances diffuse across what?,cell membrane,endoplasmic reticulum,ribosomes,cytoplasm,A,Biology,Biochemistry
When a lower energy level is ______ electrons are added to the next higher energy level.,ready,unbalanced,full,empty,C,Physics,Atomic Physics
The amount of force applied per given area is called?,strength,energy,power,pressure,D,Physics,Mechanics
What is the atomic number of magnesium?,17,12,25,8,B,Chemistry,Inorganic Chemistry
After the egg is fertilized the mrna is translated into what?,protein,mitochondria,factor,DNA,A,Biology,Reproductive Biology
What is the process that ventilates lungs called?,photosynthesis,breathing,reproduction,perspiration,B,Biology,Anatomy/Physiology
What are drilled to monitor groundwater pollution?,aquifers,sewers,draining wells,test wells,D,Environmental Science,Environmental Science
The two smallest carboxylic acids are formic acid and what else?,acetic acid,ethylene acid,carbonates acid,ascorbic acid,A,Chemistry,Organic Chemistry
"What incredibly successful species has quickly colonized almost all of earth’s terrestrial habitats, but also impacted earth, its climate, and its environment?",birds,humans,chimpanzees,fish,B,Biology,Ecology
What  prepares the body for fight or flight during emergencies?,metabolic response,sympathetic division,abnormal division,adrenal mechanism,B,Biology,Neuroscience
Gymnosperms have evolved to include what?,seeds,cells,stems,flowers,A,Biology,Botany
How do gametophyte plants form haploid gametes?,during after mitosis,during omniosis,through mitosis,during after omniosis,C,Biology,Botany
What french chemist discovered the radioactive elements polonium and radium?,margaret curie,louis pasteur,pascal curie,marie curie,D,Physics,Nuclear and Particle Physics
What is another term for the parabolic motion of a thrown object?,projectile motion,regular motion,newtonian motion,simple motion,A,Physics,Mechanics
At equilibrium reactants and what are equally abundant?,proactives,results,minerals,products,D,Chemistry,Inorganic Chemistry
Mitochondria are thought to have evolved from what kind of cells?,ancient phosphorylation,ancient  ribosome,ancient matrix,ancient prokaryotic,D,Biology,Cell Biology
"An acellular, external cuticle protects the _________.",lungs,epidermis,dermis,stomach,B,Biology,Zoology
The average number of individuals per unit of area or volume is referred to as a population's what?,density,increase,diameter,output,A,Biology,Ecology
"What is the medical term for a condition caused by abnormalities, such as mutations, in your genes or chromosomes?",nervous disorder,mutations disorder,genetic disorder,radiation disorder,C,Biology,Genetics
What is glucose used for the bacteria?,food,fuel,reproduction,energy,A,Biology,Microbiology
What do carnivores eat?,ice,plants,algae,animals,D,Biology,Zoology
What is algae easier to covert into that corn is currently used for?,fuel,food,oil,sugar,A,Biology,Botany
Dividing net force by total mass yields what?,transmission,energy,movement,acceleration,D,Physics,Mechanics
What ensures that seeds germinate only when conditions for seedling survival are optimal?,seed forcing,germination dormancy,survival dormancy,seed dormancy,D,Biology,Botany
The a in atp is short for what?,adenosine,acetic,amino,acid,A,Chemistry,Organic Chemistry
How many fingers do apes have on each hand?,five,six,seven,four,A,Biology,Zoology
Which atomic particle has a positive charge?,the proton,the electron,the nucleus,the neutron,A,Chemistry,Inorganic Chemistry
What does the presence of gill slits suggest about humans and fish?,Common Cells,Shared History,common ancestor,Same evolutionary chain,C,Biology,Evolutionary Biology
What was first discovered in songbirds that produce new neurons while learning songs?,proteins,Brain Cord,homeostasis,neurogenesis,D,Biology,Neuroscience
What do we call the center of a hurricane where the air is calm and clear?,epicenter,nose,eye,neck,C,Earth Sciences,Atmospheric Science
Name the organ located behind the nasal cavity in which both food and air pass through?,pharynx,medulla,sinus,diaphragm,A,Biology,Anatomy/Physiology
Both mitosis and meiosis result in eukaryotic cells doing what?,multiplication,friction,limiting,dividing,D,Biology,Cell Biology
"In resting neurons, the plasma membrane has many open potassium channels but few open of which other channels?",silicon,oxygen,sulfur,sodium,D,Biology,Neuroscience
The theory of evolution by what (and other processes) explains both the diversity of organisms and how populations of organisms change over time?,natural evolution,characteristic selection,natural selection,genocide,C,Biology,Evolutionary Biology
What is formed when a monomer of glucose and a monomer of fructose are joined in a dehydration reaction to form a glycosidic bond?,fructose,sulfate,chloride,sucrose,D,Biology,Biochemistry
What is another name for flatworms such as tapeworms and flukes?,trematodes,platyhelminthes,epiphytes,polychaetes,B,Biology,Zoology
The lithosphere-asthensophere divisions are based on what?,elemental properties,mechanical properties,mechanical compounds,constant properties,B,Earth Sciences,Geology
The second shell holds a maximum of how many electrons?,12,9,6,8,D,Physics,Atomic Physics
What is group 16 of the periodic table referred to?,oxygen group,sulfur group,dioxide group,acid group,A,Chemistry,Inorganic Chemistry
What is the term for evolution over geologic time above the level of the species?,speciation,mutation,microevolution,macroevolution,D,Biology,Evolutionary Biology
Is the heat of reaction positive or negative for an endothermic reaction?,Neither,positive,Both,Negative,B,Physics,Thermodynamics
The superior nasal concha and middle nasal concha are parts of which bone?,nostril bone,ethmoid bone,gastrulation bone,nasal bone,B,Biology,Anatomy/Physiology
The energy a chemical reaction needs to get started is called what kind of energy?,function,activation,conduction,fusion,B,Chemistry,Physical Chemistry
Crossing charges is one method for obtaining what?,subscripts,superscripts,notations,hybrids,A,Physics,Electromagnetism
Amphibian larvae go through what process to change into the adult form?,parthenogenesis,morphing,merging,metamorphosis,D,Biology,Zoology
"There are a series of rules for naming branched alkanes (and, ultimately, for all organic compounds). these rules make up the system of nomenclature for naming what?",non-organic molecules,organic molecules,typical molecules,oxygen molecules,B,Chemistry,Organic Chemistry
Which theory helps predict future events in weather?,expected change theory,future weather theory,climate change theory,carbon change theory,C,Earth Sciences,Geography
What is defined as a group of living and nonliving things and their environment?,degradation,ecosystem,habitat,degradation,B,Biology,Ecology
What is the term for a mutually beneficial relationship in which one organism lives inside the other?,parasite,symbiosis,endosymbiosis,parthenogenesis,C,Biology,Ecology
All new alleles are formed by what types of mutations?,systemic,chaotic,random,ordinary,C,Biology,Genetics
What are seeds plants that produce naked seeds in cones called?,cytoplasm,lipids,angiosperms,gymnosperms,D,Biology,Botany
Water is the solvent in solutions called acids and?,alkalines,bases,proteins,nutrients,B,Chemistry,Inorganic Chemistry
What two gases are the main components of air?,oxygen and helium,carbon and oxygen,nitrogen and oxygen,hydrogen and helium,C,Earth Sciences,Atmospheric Science
Anaerobic prokaryotes can live without what compound in their environment (it's a compound that people do need to live)?,Hydrogen,carbon,oxygen,nitrogen,C,Biology,Microbiology
What part of earth do many animals use for navigation?,oceans,magnetic field,atmosphere,molten core,B,Biology,Zoology
Endocytosis and exocytosis are types of vesicle transport that carry very large molecules across what structure?,cell substrate,the heart,cell membrane,dermis,C,Biology,Cell Biology
What are biochemical compounds that living things use to store energy and make cell membranes?,carbohydrates,proteins,nucleic acid,lipids,D,Biology,Biochemistry
What happens to the volume of a balloon when you add moles of gas to it by blowing up?,decreases,changes randomly,increases,stays the same,C,Chemistry,Physical Chemistry
The addition of starting materials and the removal of end products prevent metabolism from reaching what state?,inequality,constant,imbalance,equilibrium,D,Biology,Biochemistry
In what year was the hardy-weinberg theorem formulated?,1938,1908,1901,1928,B,Biology,Genetics
The regulation of gene expression is extremely important during the development of what?,cells,protein,tissues,organism,D,Biology,Genetics
What does a virus inject into the host cell?,Acetic acid,nucleic acid,cells acid,proteins acid,B,Biology,Microbiology
Mutations in regulatory genes that normally control the cell cycle cause what?,anxiety,cancer,tumors,illness,B,Biology,Genetics
"Blood is made up of red blood cells, white blood cells, platelets, and what else?",hemoglobin,plasma,pathogens,potassium,B,Biology,Anatomy/Physiology
What is the term for the study of how living things interact with each other and with their environment?,radiology,biology,ecology,anthropology,C,Biology,Ecology
"Because action potentials are so brief, a neuron can produce hundreds per what?",minute,day,lifetime,second,D,Biology,Neuroscience
Darwin coined what term to refer to an organism’s relative ability to survive and produce fertile offspring?,momentum,metabolism,strength,fitness,D,Biology,Evolutionary Biology
The number of possible isomers increases tremendously as carbon skeletons increase in what?,variation,mass,size,weight,C,Chemistry,Organic Chemistry
What are vascular plants that produce seeds in cones called?,deciduous,gymnosperms,evergreen,angiosperms,B,Biology,Botany
What does photosynthesis change light energy into?,carbon energy,chemical energy,electrical energy,radiation energy,B,Biology,Biochemistry
Addiction affects what type of chemical receptors within the brain?,mitochondria receptors,serotonin receptors,dopamine receptors,bind receptors,C,Biology,Neuroscience
"What is the ability of an atom to emit, or give off, charged particles and energy from the nucleus?",electrolysis,radioactivity,magnetism,electromagnetism,B,Physics,Nuclear and Particle Physics
What group of gases are unusually unreactive?,noble gases,volcanic gases,greenhouse gases,halogens,A,Chemistry,Inorganic Chemistry
A point defect can be an atom missing from a site in the crystal known as a what?,deficiency,void,vacancy,vacuum,C,Chemistry,Inorganic Chemistry
What is the place called where the axon of one neuron meets the dendrite of another?,uptake,synapse,neurotransmitter,apoptosis,B,Biology,Neuroscience
Organic chemistry is the study of the chemistry of what?,carbon compounds,hydrogen,metals,oxidation,A,Chemistry,Organic Chemistry
"Gastropods, cephalopods, and bivalves are examples of what class?",invertebrates,animals,cetaceans,mollusks,D,Biology,Zoology
The substances that comprise heterogeneous mixtures can also be separated by what means?,chemical,thermal,atmospheric,physical,D,Chemistry,Inorganic Chemistry
What type of organism has spores that are spread by water and wind?,Trees,Plants,yeast,fungi,D,Biology,Microbiology
Through which organ do hookworm larvae enter the human body?,through the skin,through the lungs,through the rectum,through the mouth,A,Biology,Anatomy/Physiology
"Inside a cylinder, thermal energy is converted to what type of energy of the moving piston?",residual energy,horsepower,electrochemical energy,kinetic energy,D,Physics,Thermodynamics
"To the extent that behaviors are controlled by what, they may evolve through natural selection?",dna,genes,rna,mutation,B,Biology,Genetics
What kind of muscle relationship generally produces back-and-forth movement of a body part?,antagonistic muscles,complementary muscles,cooperative muscles,synchronized muscles,A,Biology,Anatomy/Physiology
"Through a process called electromagnetic induction, generators change what energy form of a spinning turbine to electrical energy?",potential,seismic,electric,kinetic,D,Physics,Electromagnetism
"Footprints, burrows, and waste are considered what type of fossils?",movement fossils,crater fossils,trace fossils,morphology fossils,C,Earth Sciences,Geology
What process of allows multicellular organisms to grow and repair themselves?,atom split,cell division,proteins division,DNA division,B,Biology,Cell Biology
What is the process of a confined gas escaping through a tiny hole in its container called?,dissipation,effusion,effluent,dilution,B,Physics,Thermodynamics
What is a relationship between living things that depend on the same resources?,competition,symbiotic,parasitic,contention,A,Biology,Ecology
What is the measure of an individual’s weight-to-height ratio called?,body density index (bdi),body mass index (bmi),body matter index (bmi),density index (di),B,Biology,Anatomy/Physiology
"When you are walking on a sidewalk, what occurs between your shoes and the concrete each time you put down your foot?",static friction,progress,movement,grip,A,Physics,Mechanics
"Many important crops, such as corn, are planted and harvested as what?",cuttings,trees,seeds,berries,C,Biology,Botany
"Found in cord blood and other sources, what kind of cells hold the promise of renewing and repairing body tissues?",red blood cells,white blood cells,stem cells,neurons,C,Biology,Cell Biology
Which law explains why a ship weighing thousands of metric tons floats on water?,archimedes' law,hofstadter ' law,ganymede ' law,water pressure law,A,Physics,Mechanics
The urinary system can be considered a smaller part of what other body system?,extraneous,circulatory,excretory,sensory,C,Biology,Anatomy/Physiology
Essential minerals that the body needs in tiny quantities are called what?,trace minerals,draw minerals,flux minerals,byproduct minerals,A,Biology,Anatomy/Physiology
The process by which leaves collect sunlight and make food is called this?,glycolysis,budding,photosynthesis,pollination,C,Biology,Botany
What are the three types of rna involved in protein synthesis?,"messenger, transfer, and organic","messenger, organic and transfer","organic , transfer , and ribosomal","messenger, transfer, and ribosomal",D,Biology,Biochemistry
What is the term for chordates with a vertebral column and endoskeleton of cartilage and bone?,insect,am,vertebrate,mammel,C,Biology,Zoology
What is it called when an egg develops into an individual without being fertilized?,symbiosis,parthenogenesis,abiogenesis,metamorphosis,B,Biology,Reproductive Biology
Many adolescents experience frequent mood swings.  name one of the causes for this.,surging hormones,maturing nervous system,psychological changes,growing hormones,A,Biology,Reproductive Biology
Through what does the nerve impulses travel to the brain?,optic nerve,abducent nerve,trochlear nerve,oculomotor nerve,A,Biology,Neuroscience
The difference in electric potential energy which allows for an electric charge to move from one position to another is measured by what si unit?,volt,ohm,joule,meter,A,Physics,Electromagnetism
The properties of the alkali metals are similar to each other as expected for elements in the same what?,family,branch,class,farm,A,Chemistry,Inorganic Chemistry
Which division of the peripheral nervous system carries messages from sense organs and internal organs to the central nervous system?,sensory division,neural division,vascular division,extrasensory division,A,Biology,Neuroscience
An ether is an organic compound in which two hydrocarbon groups are bonded to the same atom of what?,hydrogen,sulfur,oxygen,nitrogen,C,Chemistry,Organic Chemistry
"Featuring a stalk-like filament that ends in an anther, what is the male reproductive organ in a flower?",stamen,cones,angiosperms,petals,A,Biology,Botany
What controls the movements of hands and arms?,somatic nervous system,autonomic nervous system,functional nervous system,voluntary nervous system,A,Biology,Neuroscience
Refraction happens when light bends from doing what in a new medium?,changing speed,changing color,changing brightness,changing trajectory,A,Physics,Optics
"What is the basic structure that holds plants upright, allowing plants to get the sunlight and air they need?",twig,stamen,stem,root,C,Biology,Botany
"The waves on the strings of musical instruments are transverse—so are electromagnetic waves, such as visible light. sound waves in air and water are this?",longitudinal,hydroelectric,symmetrical,horizontal,A,Physics,Acoustics
What is the name of the elongated bony structure that anchors the anterior thoracic cage?,collar bone,pelvis,tibia,sternum,D,Biology,Anatomy/Physiology
What is the most numerous species on the planet?,trees,viruses,bacteria,humans,C,Biology,Microbiology
What are the earth's two poles called?,north and south,southwest and south,east and west,west and south,A,Earth Sciences,Geography
Chloroplasts and chromoplasts are examples of which membrane bound organelle containing their own dna?,plastids,polymers,chromosomes,bacteria,A,Biology,Cell Biology
Birds are the most numerous  type of what vertebrates?,amphipod,tetrapod,arachnipod,ornithopod,B,Biology,Zoology
Viruses were assumed to exist before they were first seen with an electron microscope in which decade?,1890's,1960's,1930 ' s,1940's,C,Biology,Microbiology
Matter is always conserved in what type of reaction?,developed reaction,Quick reaction,chemical reaction,toxic reaction,C,Chemistry,Inorganic Chemistry
"Most flowers carry both stamens and carpels; however, a few species are capable of what and are nicknamed ""perfect"" flowers?",sexual reproduction,germination,self-pollination,cloning,C,Biology,Botany
The entry of food into the esophagus marks the beginning of the esophageal phase of deglutition and the initiation of this?,relaxation,digestion,propagation,peristalsis,D,Biology,Anatomy/Physiology
Where are the seeds in gymnosperms found?,in folds,in leaves,in roots,in cones,D,Biology,Botany
Oil is found in the porous rock layer and trapped by the what?,crust ,impermeable layer,crystalline layer,mantle,B,Earth Sciences,Geology
The number of valence electrons determines variation of what property in nonmetals?,reactivity,density,permeability,turbidity,A,Chemistry,Inorganic Chemistry
Hydrogen and helium are specifically involved as reactants in what nuclear reaction that is useful for making energy?,radioactive fusion,destructive fusion,nuclear fission,nuclear fusion,D,Physics,Nuclear and Particle Physics
What is the most widely used form of renewable energy in the world?,hydropower,fossil fuel,wind,solar,A,Environmental Science,Environmental Science
What energy is the energy of motion?,potential,optimal,thermal,kinetic,D,Physics,Mechanics
Where do stratus clouds occur in the troposphere?,mid to high region,low,high,mid-region,B,Earth Sciences,Atmospheric Science
What kind of movement do planets in the solar system make around the sun?,round orbits,optical orbits,elliptical orbits,spinning orbits,C,Physics,Astronomy
Which process breaks down glucose to extract energy for cell metabolism?,meiosis,photosynthesis,glycolysis,mitosis,C,Biology,Biochemistry
What does fluorine attract better than any other element?,shared electrons,electron shells,ionic bonds,magnets,A,Chemistry,Inorganic Chemistry
What term is used to describe the muscular canal (approximately 10 cm long) that serves as the entrance to the reproductive tract?,cervix,uterus,urethra,vagina,D,Biology,Anatomy/Physiology
What type of energy travels through space as electrical and magnetic waves?,sound energy,mechanical energy,solar energy,electromagnetic energy,D,Physics,Electromagnetism
What are subatomic particles of the nucleus called?,baryons,cores,isotopes,nucleons,D,Physics,Nuclear and Particle Physics
What holds ionic and covalent compounds together?,water,electrostatic attractions,gravity,magnetic force,B,Chemistry,Inorganic Chemistry
Amines are bases; they react with acids to form what?,salts,ions,oils,proteins,A,Chemistry,Inorganic Chemistry
"If water from a spring can't flow downwards, it can spread out to form one of 2 things.  what are they?",pond or lake,ocean or sea,lake or ocean,ocean or river,A,Earth Sciences,Geology
Energy is lost as heat between each trophic level due to the second law of what?,particles,reactions,thermodynamics,chemistry,C,Physics,Thermodynamics
What are electrons in the outer energy level of an atom called?,shell electrons,outer electrons,positive electrons,valence electrons,D,Physics,Atomic Physics
Halogens tend to form salts with what type of element?,nonmetals,metals,metalloids,man-made,B,Chemistry,Inorganic Chemistry
What is the vertical extent of ocean water called?,ocean column,water column,oceanic pillar,water row,B,Earth Sciences,Oceanography
"Echinoderms are found in many different ocean environments, but most are found where?",in beaches,in reefs,in tidepools,in waterfalls,B,Biology,Marine Biology
A convergent plate boundary is created when two plates do what?,move perpendicular to each other,come toward each other,move away from each other,stay stationary,B,Earth Sciences,Geology
"When volcanoes erupt, what from the mantle is released as carbon dioxide into the air?",hydrogen,lava,carbon,vapor,C,Earth Sciences,Geology
"Sepals, petals, pistils, and stamens are contained in all what, which are actually modified leaves or sporophylls organized around a central stalk?",roots,flowers,chlorophyll,stems,B,Biology,Botany
What do cells do in order to replace damaged or worn out cells?,divide,die,replicate,fold,A,Biology,Cell Biology
What kind of agriculture destroyed about 10% of madagascar's native plants?,crop rotation,hybridization,fertilizer use,slash-and-burn,D,Biology,Ecology
Chloroplasts are the little green particles in plants made up of what colorful pigment?,carbonate,verdigris,melanin,chlorophyll,D,Biology,Botany
What is the largest organ of the human body?,your skin,your lungs,your brain,your blood,A,Biology,Anatomy/Physiology
What kind of charge does a proton have?,ionic,positive,constant,negative,B,Physics,Nuclear and Particle Physics
What are boggy regions with thick layers of peat called?,tropics,wetlands,peatlands,meadows,C,Earth Sciences,Geography
What type of compounds make up the cells and tissues of living things?,hormonal,biochemical,microbial,proximal,B,Biology,Biochemistry
What will you see if you look at a star through a prism?,spectrum,rainbow,kaleidoscope,spots,A,Physics,Optics
Where is most digestion completed?,the cavity,the stomach,the esophagus,the duodenum,D,Biology,Anatomy/Physiology
Explosive eruptions associated with what can be tens of thousands of times as powerful as an atomic bomb?,volcanoes,hurricanes,forest fires,earthquakes,A,Earth Sciences,Geology
What gland secretes its products directly into the urethra through several small ducts,prostate,pituitary,adrenal,thyroid,A,Biology,Anatomy/Physiology
The complete combustion of alkanes to carbon dioxide is an extremely __________ reaction.,geothermal,hydrolic,reactive,exothermic,D,Chemistry,Organic Chemistry
"Because several genes, each with more than one allele, contribute to determining height in humans, height is considered what kind of trait?",maladaptive,adaptive,polygenic,epigenetic,C,Biology,Genetics
"A basidium is the fruiting body of a mushroomproducing fungus, and it forms four what?",schizonts,basidiocarps,tunnels,fossiliferous,B,Biology,Microbiology
Traditional classification of mammals are based on similarities in what two things?,density & function,structure & function,solution & function,Density and Structure,B,Biology,Zoology
The rest of the energy stored in glucose is lost as what?,mass,heat,volume,humidity,B,Biology,Biochemistry
What are the only innate behaviors in humans?,learned behaviors,reflex behaviors,inherited traits,insight behaviors,B,Biology,Neuroscience
"What occurs when a parent organism breaks into fragments, or pieces, and each fragment develops into a new organism?",absorption,erosion,fragmentation,sollution,C,Biology,Reproductive Biology
What does the triploid cell develop into during fertilization?,membrane,endosperm,tubers,zygote,B,Biology,Botany
"The law of conservation of matter, which says that matter cannot be created or this?",abandoned,destroyed,damaged,stopped,B,Chemistry,Inorganic Chemistry
Which particle of an atom has a positive electric charge?,electron,proton,nutron,nucleus,B,Physics,Atomic Physics
How is a reaction described when the given conditions favor formation of products?,instantaneous,spontaneous,fluctuations,planned,B,Chemistry,Inorganic Chemistry
What does an electric field surround?,negative particle,a charged particle,neutral particles,charged ions,B,Physics,Electromagnetism
What do we call the energy of motion?,harmonic energy,electromagnetic energy,kinetic energy,binary energy,C,Physics,Mechanics
Earthquakes and visible light are examples of what?,geological phenomena,currents,winds,waves,D,Earth Sciences,Geology
"There is always a slightly negative pressure within what cavity, helping keep the airways of the lungs open?",thoracic,anal,cervical,spinal,A,Biology,Anatomy/Physiology
