Question,A,B,C,D,E,Correct Option,Sub-Branch
"initially , the men and women in a room were in the ratio of 4 : 5 . then , 2 men entered the room and 3 women left the room . then , the number of women doubled . now there are 14 men in the room . how many e women are currently in the room ?", 12 , 14 , 15 , 24 , 36,D,Other
"if 12 ounces of a strong vinegar solution are diluted with 50 ounces of water to form a 7 - percent vinegar solution , what was the concentration of the original solution ?", 19.3 % , 17 % , 36.17 % , 15.5 % , 12.5 %,C,Other
"if the numbers 1 to 97 are written on 97 pieces of paper , ( one on each ) and one piece is picked at random , then what is the probability that the number drawn is neither prime nor composite ?", 1 / 50 , 1 / 25 , 1 / 97 , 1 , 2,C,Other
the ratio of 3 numbers is 5 : 1 : 4 and their sum is 1000 . the last number of the 3 numbers is ?, 24 , 26 , 27 , 400 , 30,D,Other
the hcf of two numbers is 50 and the other two factors of their lcm are 11 and 12 . what is the largest number ., 462 , 450 , 480 , 504 , 600,E,Other
"two assembly line inspectors , lauren and steven , inspect widgets as they come off the assembly line . if lauren inspects every fifth widget , starting with the fifth , and steven inspects every third , starting with the third , how many of the 98 widgets produced in the first hour of operation are not inspected by either inspector ?", 91 , 59 , 53 , 47 , 45,C,Other
"q - 1 ) of the 84 parents who attended a meeting at a school , 25 volunteered to supervise children during the school picnic and 11 volunteered both to supervise children during the picnic and to bring refreshments to the picnic . if the number of parents who volunteered to bring refreshments was 1.5 times the number of parents who neither volunteered to supervise children during the picnic nor volunteered to bring refreshments , how many of the parents volunteered to bring refreshments ?", 25 , 36 , 38 , 45 , 42,E,Other
"in a family 4 people eat only vegetarian , 3 people eat only non veg . , 2 people eat both veg and non veg . . how many people are in the family ?", 4 , 3 , 10 , 2 , 9,E,Other
"ratio between rahul and deepak is 4 : 3 , after 4 years rahul age will be 32 years . what is deepak present age .", 14 , 15 , 20 , 21 , 24,D,Other
"a certain business school has 500 students , and the law school at the same university has 800 students . among these students , there are 30 sibling pairs consisting of 1 business student and 1 law student . if 1 student is selected at random from both schools , what is the probability that a sibling pair is selected ?", 3 / 40000 , 3 / 20000 , 3 / 4000 , 9 / 400 , 6 / 130,A,Other
"if 60 % of a number is equal to one half of another number , what is the ratio of first number to the second number ?", 4 : 5 , 5 : 6 , 6 : 5 , 5 : 4 , 2 : 5,B,Other
"a jar contains a mixture of ab in the ratio 3 : 2 . when 10 l of mixture is replaced with liquid b , ratio becomes 2 : 3 . how many liters of liquid a was present in mixture initially .", 18 , 15 , 16 , 20 , 25,A,Other
"in a certain large company , the ratio of college graduates with a graduate degree to non - college graduates is 1 : 8 , and ratio of college graduates without a graduate degree to non - college graduates is 2 : 3 . if one picks a random college graduate at this large company , what is the probability e this college graduate has a graduate degree ?", 1 / 11 , 1 / 12 , 1 / 13 , 3 / 19 , 3 / 43,D,Other
how many consecutive zeros are there at the end of 100 ! ( 100 factorial ) ?, 21 , 22 , 23 , 24 , 25,D,Other
"the ratio of buses to cars on river road is 1 to 17 . if there are 80 fewer buses than cars on river road , how many cars are on river road ?", 40 , 85 , 60 , 30 , 20,B,Other
"a firm is comprised of partners and associates in a ratio of 2 : 61 . if 60 more associates were hired , the ratio of partners to associates would be 4 : 137 . how many partners are currently in the firm ?", 12 , 14 , 16 , 18 , 20,C,Other
"if x and y are both odd prime numbers and x < y , how many distinct positive integer w factors does 2 xy have ?", 3 , 4 , 6 , 8 , 12,D,Other
"at a certain organisation , the number of male members went up by 12 % in the year 2001 from year 2000 , and the number of females members went down by 5 % in the same time period . if the total membership at the organisation went up by 1.2 % from the year 2000 to 2001 , what was the ratio of male members to female members in the year 2000 ?", 1 : 2 , 1 : 3 , 2 : 3 , 3 : 2 , 4 : 7,E,Other
"the ratio between the present age of p and q is 6 : 7 . if q is 4 years old than p , what will be the ratio of the ages of p and q after 4 years ?", 8 : 7 , 7 : 8 , 8 : 6 , 6 : 7 , 6 : 8,A,Other
"water consists of hydrogen and oxygen , and the approximate ratio , by mass , of hydrogen to oxygen is 2 : 16 . approximately how many grams of oxygen are there in 153 grams of water ?", 16 , 72 , 112 , 136 , 142,D,Other
"if two dice are thrown together , the probability of getting a square number on both the dice is", 5 / 12 , 1 / 3 , 1 / 4 , 1 / 12 , 2 / 3,D,Other
"a grocery store bought some apples at a rate of 5 for a dollar . they were separated into two stacks , one of which was sold at a rate of 3 for a dollar and the other at a rate of 6 for a dollar . what was the ratio of the number of apples in the two stacks if the store broke even after having sold all of its apples ?", 1 : 7 , 1 : 5 , 1 : 4 , 1 : 2 , 2 : 5,C,Other
a student committee on academic integrity has 42 ways to select a president and vice president from a group of candidates . the same person can not be both president and vice president . how many candidates are there ?, 7 , 8 , 9 , 10 , 11,A,Other
how many even integers from 1 to 200 ( both inclusive ) have even number of factors ?, 13 , 14 , 5 , 6 , 7,E,Other
"at a certain organisation , the number of male members went up by 14 % in the year 2001 from year 2000 , and the number of females members went down by 6 % in the same time period . if the total membership at the organisation went up by 1.2 % from the year 2000 to 2001 , what was the ratio of male members to female members in the year 2000 ?", 1 : 2 , 1 : 3 , 2 : 3 , 3 : 2 , 4 : 7,E,Other
how many multiples of 10 are there between 100 and 10000 ( both are inclusive ) ?, 456 , 789 , 991 , 1020 , 1100,C,Other
"two vessels having volumes in the ratio 3 : 5 are filled with water and milk solutions . the ratio of milk and water in the two vessels are 1 : 2 and 3 : 2 respectively . if the contents of both the vessel are empties into a larger vessel , find the ratio of milk and water in the larger vessel .", 99 : 61', 1 : 1', 61 : 160', 61 : 99', 99 : 160'],B,Other
the simple form of the ratio 7 / 6 : 3 / 2 is ?, 5 : 8 , 7 : 9 , 5 : 9 , 5 : 3 , 5 : 1,B,Other
"in a group of 10 doctors , 3 doctors are only pediatricians ; the others are surgeons or general practitioners - but not both . a team of 3 doctors is to be chosen which must have at least 1 pediatrician , how many different teams can be chosen ?", 85 , 140 , 60 , 80 , 75,A,Other
"a marketing survey of anytown found that the ratio of trucks to sedans to motorcycles was 3 : 7 : 2 , respectively . given that there are 11,200 sedans in anytown , how many motorcycles are there ?", 1260 , 2100 , 3600 , 3200 , 5200,D,Other
"if the ratio of the sum of the first 6 terms of a g . p . to the sum of the first 3 terms of the g . p . is 28 , what is the common ratio of the g . p ?", 3 , 1 / 3 , 2 , 9 , 1 / 9,A,Other
"two vessels p and q contain 62.5 % and 87.5 % of alcohol respectively . if 4 litres from vessel p is mixed with 6 litres from vessel q , the ratio of alcohol and water in the resulting mixture is ?", 31 : 1 , 31 : 4 , 31 : 8 , 31 : 9 , 31 : 2,D,Other
two numbers are in respectively 10 % and 40 % more than a third number . the ratio of the two numbers is ?, 11 : 14 , 7 : 9 , 17 : 25 , 15 : 26 , 2 : 3,A,Other
"the fisherman sale , all of the prices of the fishes sold were different . if the price of a radio sold at the fisherman sale was both the 4 th highest price and the 13 th lowest price among the prices of the fishes sold , how many fishes were sold at the fisherman sale ?", 13 , 14 , 15 , 41 , 16,E,Other
"two numbers are in the ratio 3 : 5 . if 9 be subtracted from each , they are in the ratio of 9 : 17 . the first number is :", 36 , 77 , 88 , 55 , 221,A,Other
divide rs . 32000 in the ratio 3 : 7 ?, 12000 ,20000 , 9600 ,22400 , 12000 ,B,Other
x starts a business with rs . 45000 . y joins in the business after 5 months with rs . 30000 . what will be the ratio in which they should share the profit at the end of the year ?, 1 : 2 , 2 : 1 , 1 : 3 , 3 : 1 , 18 : 7,E,Other
"if n is the greatest positive integer for which 2 ^ n is a factor of 6 ! , then n = ?", 2 , 4 , 6 , 8 , 10,B,Other
"water consists of hydrogen and oxygen , and the approximate ratio , by mass , of hydrogen to oxygen is 2 : 16 . approximately how many grams of hydrogen are there in 171 grams of water ?", 11 , 13 , 15 , 17 , 19,E,Other
"in a certain alphabet , 16 letters contain a dot and a straight line . 30 letters contain a straight line but do not contain a dot . if that alphabet has 50 letters , all of which contain either a dot or a straight line or both , how many letters contain a dot but do not contain a straight line ?", 4 , 8 , 12 , 16 , 20,A,Other
"in a graduating class of 232 students , 144 took geometry and 119 took biology . what is the difference between the greatest possible number r and the smallest possible number of students that could have taken both geometry and biology ?", 144 , 119 , 113 , 88 , 31,D,Other
a 40 kg metal bar made of alloy of tin and silver lost 4 kg of its weight in the water . 10 kg of tin loses 1.375 kg in the water ; 5 kg of silver loses 0.375 kg . what is the ratio of tin to silver in the bar ?, 1 / 4 , 2 / 5 , 1 / 2 , 3 / 5 , 2 / 3,E,Other
"among 600 students , 56 % study sociology , 44 % study mathematics and 40 % study biology . if 30 % of students study both mathematics and sociology , what is the largest possible number of students who study biology but do not study either mathematics or sociology ?", 30 , 90 , 120 , 172 , 180,E,Other
"a certain fraction has the same ratio to 1 / 18 , as 2 / 5 does to 2 / 9 . what is this certain fraction ?", 1 / 5 , 1 / 7 , 1 / 10 , 1 / 12 , 1 / 15,C,Other
"if $ 935 are divided between worker a and worker b in the ratio 5 : 12 , what is the share that worker b will get ?", 62.15 % , 64.26 % , 66.37 % , 68.48 % , 70.59 %,E,Other
x starts a business with rs . 52000 . y joins in the business after 6 months with rs . 26000 . what will be the ratio in which they should share the profit at the end of the year ?, 1 : 2 , 2 : 3 , 1 : 3 , 4 : 1 , none of these,D,Other
how many of the positive factors of 42 are not factors of 56 ?, 1 , 2 , 3 , 4 , 5,C,Other
a number is said to be prime saturated if the product of all the different positive prime factors of g is less than the square root of g . what is the greatest two digit prime saturated integer ?, 99 , 98 , 97 , 96 , 95,D,Other
a number is said to be prime saturated if the product of all the different positive prime factors of r is less than the square root of r . what is the greatest two digit prime saturated integer ?, 99 , 98 , 97 , 96 , 95,D,Other
"in assembling a bluetooth device , a factory uses one of two kinds of modules . one module costs $ 10 and the other one , that is cheaper , costs $ 2.5 . the factory holds a $ 62.50 worth stock of 22 modules . how many of the modules in the stock are of the cheaper kind ?", 31 , 35 , 21 , 40 , 45,C,Other
"at a meeting , 25 attendants used a pencil and 15 attendants used a pen . if exactly 20 attendants used only one of the two types of writing tools , how many attendants wrote with both types of writing tools ?", 10 , 6 , 7 , 4 , 14,A,Other
"share rs . 4320 among john , jose & binoy in the ration 2 : 4 : 6 . find the amount received by john ?", 900 , 980 , 1200 , 1240 , 1440,E,Other
"the ratio of boys to girl in a school is 5 : 4 . if there are 1500 boys in the school , how many girls are there ?", 300 , 1200 , 1500 , 1800 , 2000,B,Other
"there are 399 doctors and nurses in a hospital . if the ratio of the doctors to the nurses is 8 : 11 , then how many nurses are there in the hospital ?", 152 , 209 , 57 , 231 , 181,D,Other
"a man can do a piece of work in 7 days , but with the help of his son , he can do it in 3 days . in what time can the son do it alone ?", 5 , 7 , 15 / 2 , 21 / 4 , 18 / 5,D,Physics
a train crosses a bridge of length 800 m in 45 seconds and a lamp post on the bridge in 15 seconds . what is the length of the train in metres ?, 375 m , 750 m , 400 m , 800 m , 300 m,C,Physics
"excluding stoppages , the speed of a train is 45 kmph and including stoppages it is 33 kmph . of how many minutes does the train stop per hour ?", 73 , 83 , 16 , 83 , 28,C,Physics
the radius of a wheel is 14.6 cm . what is the distance covered by the wheel in making 100 resolutions ?, 754 m , 704 m , 90.524 m , 706 m , 91.688 m,E,Physics
"to fill a tank , 25 buckets of water is required . how many buckets of water will be required to fill the same tank if the capacity of the bucket is reduced to 7 / 10 of its present ?", 61.5 , 60.5 , 63.5 , 35.71429 , 64.5,D,Physics
a river 8 m deep and 25 m wide is flowing at the rate of 8 kmph the amount of water that runs into the sea per minute is ?, 26666 , 26166 , 29666 , 22666 , 26699,A,Physics
convert 400 miles into meters ?, 784596 , 845796 , 804670 , 784596 , 643736,E,Physics
"walking at 5 / 6 of its usual speed , a train is 10 minutes too late . what is usual time to cover the journey ?", 70 minutes , 2 hours , 2 / 3 hours , 5 / 6 hours , 85 minutes,D,Physics
"henrikh lives x blocks from his office . it takes him 1 minute per block to walk to work and 20 seconds per block to ride his bicycle to work . if it takes him exactly 8 minutes more to walk to work than to ride his bicycle , then x equals", 4 , 7 , 12 , 15 , 20,C,Physics
a certain number of workers can do a work in 35 days . if there were 10 workers more it could be finished in 10 days less . how many workers are there ?, 25 , 30 , 28 , 24 , 32,A,Physics
"how many cuboids of length 5 m , width 6 m and height 3 m can be farmed from a cuboid of 18 m length , 15 m width and 2 m height .", 4 , 6 , 10 , 8 , 11,B,Physics
"a certain bacteria colony doubles in size every day for 20 days , at which point it reaches the limit of its habitat and can no longer grow . if two bacteria colonies start growing simultaneously , how many days will it take them to reach the habitat ’ s limit ?", 6.33 , 7.5 , 10 , 15 , 19,E,Physics
steve traveled the first 2 hours of his journey at 40 mph and the last 3 hours of his journey at 80 mph . what is his average speed of travel for the entire journey ?, 60 mph , 56.67 mph , 53.33 mph , 64 mph , 66.67 mph,D,Physics
"a take twice as much time as b or thrice as much time to finish a piece of work . working together , they can finish the work in 4 days . b can do the work alone in ?", 19 , 12 , 11 , 24 , 114,D,Physics
a person can row at 9 kmph and still water . he takes 3 1 / 2 hours to row from a to b and back . what is the distance between a and b if the speed of the stream is 1 kmph ?, 32 , 28 , 29 , 54 , 16,E,Physics
how long does a train 110 m long traveling at 60 kmph takes to cross a bridge of 240 m in length ?, 18.9 sec , 88.9 sec , 22.9 sec , 21.00 sec , 72.0 sec,D,Physics
"if 20 men can build a wall 66 metres long in 15 days , what length of a similar can be built by 86 men in 8 days ?", 151.36 mtrs , 378.4 mtrs , 478.4 mtrs , 488.4 mtrs , 578.4 mtrs,A,Physics
"a man ' s regular pay is $ 3 per hour up to 40 hours . overtime is twice the payment for regular time . if he was paid $ 192 , how many hours overtime did he work ?", 8 , 5 , 9 , 6 , 12,E,Physics
a train traveling at 100 kmph overtakes a motorbike traveling at 64 kmph in 80 seconds . what is the length of the train in meters ?, 400 meters , 1111 meters , 800 meters , 1822 meters , none of these,C,Physics
"two trains each 210 m in length each , are running on two parallel lines in opposite directions . if one goes at the speed of 90 km / h while the other travels at 85 km / h . how long will it take for them to pass each other completely .", 3 sec , 2.6 sec , 3.6 sec , 8.6 sec , 7.6 sec,D,Physics
the spherical ball of lead 3 cm in diameter is melted and recast into 3 spherical balls . the diameters of two of these are 1 ½ cm and 2 cm respectively . the diameter of third ball is ?, 2.66 cm , 2.5 cm , 3 cm , 3.5 cm , 4 cm,B,Physics
"a and b can together finish a work in 30 days . they worked together for 20 days and then b left . after another 20 days , a finished the remaining work . in how many days a alone can finish the job ?", 40 , 50 , 54 , 60 , none of these,D,Physics
"a boat can travel with a speed of 24 km / hr in still water . if the speed of the stream is 4 km / hr , find the time taken by the boat to go 168 km downstream", 3 hours , 4 hours , 5 hours , 6 hours , 7 hours,D,Physics
"a take twice as much time as b or thrice as much time to finish a piece of work . working together , they can finish the work in 3 days . b can do the work alone in ?", 18 , 12 , 11 , 19 , 114,A,Physics
"the figure above shows the dimensions of a semicircular cross section of a one - way tunnel . the single traffic lane is 12 feet wide and is equidistant from the sides of the tunnel . if vehicles must clear the top of the tunnel by at least ½ foot when they are inside the traffic lane , what should be the limit l on the height of vehicles that are allowed to use the tunnel ?", 5 ½ ft , 7 ½ ft , 8 ½ ft , 9 ½ ft , 10 ft,B,Physics
"angelina walked 100 meters from her home to the grocery at a constant speed . she then walked 180 meters to the gym at double the speed . she spent 40 seconds less on her way from the grocery to the gym than on her way from home to the grocery . what was angelina ' s speed , in meters per second , from the grocery to the gym ?", 2 , 3 , 0.5 , 6 , 12,C,Physics
"excluding stoppages , the speed of a bus is 50 km / hr and including stoppages , it is 36 km / hr . for how many minutes does the bus stop per hour ?", 118 min , 10 min , 18 min , 16 min , 15 min,D,Physics
a train travels 210 km in 3 hours and 270 km in 4 hours . find the average speed of train ., 80 kmph , 69 kmph , 70 kmph , 90 kmph , none of these,B,Physics
"johnny makes $ 7.35 per hour at his work . if he works 6 hours , how much money will he earn ?", $ 30 , $ 54 , $ 48.32 , $ 44.10 , $ 9.60,C,Physics
"find the l . c . m of 2 / 15 , 3 / 10 , 6 / 5", 6 / 5 , 2 / 3 , 7 / 5 , 8 / 5 , 9 / 5,A,Physics
a river boat leaves silver town and travels upstream to gold town at an average speed of 6 kilometers per hour . it returns by the same route at an average speed of 3 kilometers per hour . what is the average speed for the round - trip in kilometers per hour ?, 4.0 , 3.8 , 7.2 , 7.5 , 8.0,A,Physics
a train takes 10 sec to pass a signal post and covers a distance of 10 km in 15 min . find the length of train ?, 100.1 m , 223.1 m , 111.1 m , 120.3 m , 133.4 m,C,Physics
a train running at the speed of 30 km / hr crosses a pole in 24 seconds . what is the length of the train ?, 200 m , 250 m , 300 m , 350 m , 400 m,A,Physics
"two passenger trains start at the same hour in the day from two different stations and move towards each other at the rate of 17 kmph and 21 kmph respectively . when they meet , it is found that one train has traveled 60 km more than the other one . the distance between the two stations is ?", 11 , 444 , 2881 , 287 , 456,E,Physics
a train 110 m long is running with a speed of 40 km / hr . in what time will it pass a man who is running at 5 km / hr in the direction opposite to that in which the train is going ?, 5 , 6 , 7.5 , 8.8 , 9,D,Physics
"if the product of two numbers is 84942 and their h . c . f . is 33 , find their l . c . m .", 2574 , 2500 , 1365 , 1574 , none of these,A,Physics
"a man can row upstream at 25 kmph and downstream at 37 kmph , and then find the speed of the man in still water ?", 86 , 67 , 31 , 15 , 17,C,Physics
a train traveling at 72 kmph crosses a platform in 30 seconds and a man standing on the platform in 19 seconds . what is the length of the platform in meters ?, 220 meters , 360 meters , 420 meters , 600 meters , can not be determined,A,Physics
how long does a train 110 m long traveling at 60 kmph takes to cross a bridge of 390 m in length ?, 18.9 sec , 88.9 sec , 22.9 sec , 30.00 sec , 72.0 sec,D,Physics
a jeep takes 8 hours to cover a distance of 280 km . how much should the speed in kmph be maintained to cover the same direction in 3 / 2 th of the previous time ?, 28 kmph , 52 kmph , 20 kmph , 23 kmph , 65 kmph,D,Physics
"the length of the bridge , which a train 180 meters long and travelling at 48 km / hr can cross in 70 seconds , is :", 245 , 276 , 987 , 168 , 1981,A,Physics
the diameter of a garden roller is 1.2 m and it is 2 m long . how much area will it cover in 5 revolutions ? ( use ï € = 22 â  „ 7 ), 40 m 2', 44 m 2', 48 m 2', 37.7 m 2', none of these'],D,Physics
"the average wages of a worker during a fortnight comprising 15 consecutive working days was $ 90 per day . during the first 7 days , his average wages was $ 87 per day and the average wages during the last 7 days was $ 93 per day . what was his wage on the 8 th day ?", $ 83 , $ 90 , $ 92 , $ 97 , $ 104,B,Physics
a train passes a station platform in 48 sec and a man standing on the platform in 40 sec . if the speed of the train is 36 km / hr . what is the length of the platform ?, 80 , 120 , 60 , 90 , 50,A,Physics
a train passes a station platform in 20 sec and a man standing on the platform in 12 sec . if the speed of the train is 72 km / hr . what is the length of the platform ?, 227 , 140 , 160 , 120 , 171,C,Physics
"a tank with a volume of 30 cubic feet has one inlet pipe and 2 outlet pipes . the inlet pipe fills water into the tank at the rate of 5 cubic inches / min and the 2 outlet pipes empty it out at the rates of 9 cubic inches / min and 8 cubic inches / min respectively . if all 3 pipes are opened when the tank is full , how many minutes does it take to empty the tank ? ( 1 foot = 12 inches )", 1440 , 2340 , 3240 , 4320 , 5420,D,Physics
"a worker makes a toy in every 2 h . if he works for 100 h , then how many toys will he make ?", 40 , 54 , 50 , 39 , none,C,Physics
"the racing magic takes 50 seconds to circle the racing track once . the charging bull makes 40 rounds of the track in an hour . if they left the starting point together , how many minutes will it take for them to meet at the starting point for the second time ?", 3 , 6 , 9 , 12 , 15,E,Physics
find the cost of fencing around a circular field of diameter 18 m at the rate of rs . 2.50 a meter ?, 138 , 132 , 150 , 140 , 222,D,Physics
what is the speed of the stream if a canoe rows upstream at 3 km / hr and downstream at 12 km / hr, 1 kmph , 4 kmph , 3 kmph , 2 kmph , 4.5 kmph,E,Physics
how long does a train 130 m long running at the speed of 65 km / hr takes to cross a bridge 150 m length ?, 15.7 sec , 15.1 sec , 15.5 sec , 17.1 sec , 16.7 sec,C,Physics
a train 100 m long crosses a platform 125 m long in 2 sec ; find the speed of the train ?, 36 , 405 , 200 , 302 , 404,B,Physics
"annika hikes at a constant rate of 10 minutes per kilometer . she has hiked 2.75 kilometers east from the start of a hiking trail when she realizes that she has to be back at the start of the trail in 45 minutes . if annika continues east , then turns around and retraces her path to reach the start of the trail in exactly 45 minutes , for how many kilometers total did she hike east ?", 3.625 , 3.5 , 4 , 4.5 , 5,A,Physics
a can finish a piece of work in 5 days . b can do it in 15 days . they work together for two days and then a goes away . in how many days will b finish the work ?, 3 days , 5 days , 4 days , 6 days , 7 days,E,Physics
a is twice as good a workman as b and together they finish a piece of work in 18 days . in how many days will a alone finish the work ?, 31 days , 25 days , 27 days , 29 days , 19 days,C,Physics
"a 6000 liter tank , half - full of water is being filled from a pipe with a flow rate of 1 kiloliter every 2 minutes . at the same time , the tank is losing water from two drains at a rate of 1 kiloliter every 4 minutes and every 6 minutes . how many minutes does it take to fill the tank completely ?", 8 , 12 , 18 , 24 , 36,E,Physics
mary goes into labor at her local grocery store and is rushed to a hospital in an ambulance traveling 60 mph . her husband don drives after the ambulance at an average speed of 30 mph . mary reaches the hospital fifteen minutes later . how long does it take don to get there from the store ?, 25 minutes , 30 minutes , 10 minutes , 15 minutes , 7 minutes,B,Physics
"while driving from a - ville to b - town , harriet drove at a constant speed of 90 kilometers per hour . upon arriving in b - town , harriet immediately turned and drove back to a - ville at a constant speed of 160 kilometers per hour . if the entire trip took 5 hours , how many minutes did it take harriet to drive from a - ville to b - town ?", 138 , 148 , 150 , 162 , 192,E,Physics
"a train speeds past a pole in 15 sec and a platform 120 m long in 25 sec , its length is ?", 100 , 150 , 160 , 170 , 180,E,Physics
john began driving from home on a trip averaging 30 miles per hour . how many miles per hour must carla drive on average to catch up to him in exactly 3 hours if she leaves 30 minutes after john ?, 35 , 55 , 39 , 40 , 60,A,Physics
"buses a and b start from a common bus stop x . bus a begins to travel in a straight line away from bus b at a constant rate of 30 miles per hour . one hour later , bus b begins to travel in a straight line in the exact opposite direction at a constant rate of 70 miles per hour . if both buses travel indefinitely , what is the positive difference , in minutes , between the amount of time it takes bus b to cover the exact distance that bus a has covered and the amount of time it takes bus b to cover twice the distance that bus a has covered ?", 36 , 72 , 122 , 144 , 180,C,Physics
"a man can row upstream at 60 kmph and downstream at 90 kmph , and then find the speed of the man in still water ?", 75 kmph , 65 kmph , 30 kmph , 73 kmph , 65 kmph,A,Physics
"the length of the bridge , which a train 170 meters long and travelling at 45 km / hr can cross in 30 seconds , is ?", 388 , 267 , 205 , 288 , 261,C,Physics
a train 385 meters long is running with a speed of 60 kmph . in what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the train is going ?, 5 , 21 , 7 , 8 , 9,B,Physics
the speed of a boat in still water is 12 kmph . what is the speed of the stream if the boat can cover 32 km downstream or 16 km upstream in the same time ?, 5 kmph , 6 kmph , 7 kmph , 4 kmph , 10 kmph,D,Physics
a is twice as good a work man as b and together they finish the work in 8 days . in how many days a alone can finish the work ?, 23 , 12 , 77 , 92 , 61,B,Physics
find the cost of fencing around a circular field of diameter 32 m at the rate of rs . 1.50 a meter ?, 287 , 132 , 150.9 , 158 , 267,C,Physics
"maxwell leaves his home and walks toward brad ' s house at the same time that brad leaves his home and runs toward maxwell ' s house . if the distance between their homes is 60 kilometers , maxwell ' s walking speed is 4 km / h , and brad ' s running speed is 6 km / h , what is the distance traveled by brad ?", 16 , 36 , 20 , 24 , 30,B,Physics
a person is traveling at 100 km / hr and reached his destiny in 5 then find the distance ?, 250 km , 300 km , 500 km , 450 km , 350 km,C,Physics
"working at constant rate , pump x pumped out half of the water in a flooded basement in 3 hours . the pump y was started and the two pumps , working independently at their respective constant rates , pumped out rest of the water in 3 hours . how many hours would it have taken pump y , operating alone at its own constant rate , to pump out all of the water that was pumped out of the basement ?", a . 20 , b . 12 , c . 14 , d . 18 , e . 24,A,Physics
"shannon and maxine work in the same building and leave work at the same time . shannon lives due north of work and maxine lives due south . the distance between maxine ' s house and shannon ' s house is 50 miles . if they both drive home at the rate 2 r miles per hour , maxine arrives home 40 minutes after shannon . if maxine rider her bike home at the rate of r per hour and shannon still drives at a rate of 2 r miles per hour , shannon arrives home 2 hours before maxine . how far does maxine live from work ?", 20 , 34 , 38 , 40 , 46,E,Physics
"one pipe can fill a tank three times as fast as another pipe . if together the two pipes can fill the tank in 37 minutes , then the slower pipe alone will be able to fill the tank in", 148 mins , 140 mins , 136 mins , 132 minw , none of these,A,Physics
"if the perimeter of a rectangular garden is 680 m , its length when its breadth is 82 m is ?", 286 m , 899 m , 200 m , 166 m , 258 m,E,Physics
"nd the area of trapezium whose parallel sides are 20 cm and 18 cm long , and the distance between them is 15 cm ?", 766 cm 2', 535 cm 2', 285 cm 2', 324 cm 2', 235 cm 2'],C,Physics
"if 12 men or 20 women can do a piece of work in 27 days , then in how many days can 9 men and 12 women together do the work ?", 10 days , 30 days , 20 days , 80 days , 40 days,C,Physics
a and b together can do a piece of work in 10 days . b alone can finish it in 20 days . in how many days can a alone finish the work ?, 20 , 10 , 15 , 5 , 7,A,Physics
a cistern 6 m long and 4 m wide contains water up to a depth of 1 m 25 cm . the total area of the west surface is :, 49 m 2 , 50 m 2 , 53.5 m 2 , 55 m 2 , none of these,A,Physics
a space shuttle orbits the earth at about 6 kilometers per second . this speed is equal to how many kilometers per hour ?, 480 ," 2,880 "," 21,600 "," 28,800 "," 48,000",C,Physics
"a monkey ascends a greased pole 26 meters high . he ascends 2 meters in the first minute and then slips down 1 meter in the alternate minute . if this pattern continues until he climbs the pole , in how many minutes would he reach at the top of the pole ?", 50 th minute , 41 st minute , 45 th minute , 42 nd minute , 49 th minute,E,Physics
two numbers n and 16 have lcm = 52 and gcf = 8 . find n ., 35 , 26 , 76 , 87 , 24,B,Physics
a cube of side 1.5 meter length is cut into small cubes of side 10 cm each . how many such small cubes can be obtained ?, 2878 , 3375 , 1000 , 2997 , 2701,B,Physics
a train running at the speed of 60 km / hr crosses a pole in 42 seconds . what is the length of the train ?, 120 metres , 700 metres , 324 metres , 828 metres , 600 metres,B,Physics
"the inner circumference of a circular race track , 14 m wide , is 440 m . find radius of the outer circle .", 84', 86', 82', 80', none of them'],A,Physics
a car takes 6 hours to cover a distance of 469 km . how much should the speed in kmph be maintained to cover the same direction in 3 / 2 th of the previous time ?, 48 kmph , 50 kmph , 52 kmph , 56 kmph , 60 kmph,C,Physics
find the cost of fencing around a circular field of diameter 35 m at the rate of rs . 1.50 a meter ?, 287 , 132 , 156 , 115.5 , 267,D,Physics
"180 metres long yard , 11 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between 2 consecutive trees", 18 , 12 , 14 , 16 , 17,A,Physics
"two tains of equal lengths take 10 seconds and 16 seconds respectively to cross a telegraph post . if the length of each train be 120 metres , in what time ( in seconds ) will they cross each other travelling in opposite direction ?", 12 , 14 , 16 , 12.3 , 18,D,Physics
a train is 100 meter long and is running at the speed of 30 km per hour . find the time it will take to pass a man standing at a crossing ., 10 seconds , 12 seconds , 14 seconds , 16 seconds , none of these,B,Physics
a goods train runs at the speed of 72 km / hr and crosses a 260 m long platform in 26 sec . what is the length of the goods train ?, 278 , 166 , 151 , 260 , 109,D,Physics
"a beats b by 50 m in a race of 500 m , then b beats by c by 25 m in a race of 500 m . find the distance by which a beats c in a race of 400 ?", 55 m , 56 m , 57 m , 58 m , 59 m,D,Physics
two 6 faced dice are thrown together . the probability that all the three show the same number on them is ?, 1 / 32 , 1 / 6 , 1 / 33 , 1 / 38 , 1 / 34,B,Probability
"a certain junior class has 1,000 students and a certain senior class has 600 students . among these students , there are 60 siblings pairs , each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected at will be a sibling pair ?"," 3 / 40,000 "," 1 / 10,000 "," 9 / 2,000 ", 1 / 60 , 1 / 15,B,Probability
