Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
Caries sicca is seen in,Hip,Knee,Shoulder,Metatarsal,C,Orthopaedics,D,C,0,1
Which of the following inflammatory condition has association with HLA-B27 in 90% cases?,Ankylosing spondylitis,Reiter's arthritis,Psoriasis,Rheumatoid arthritis,A,Orthopaedics,A,A,1,1
which pa of Proximal humerus fracture has maximum chances of avascular necrosis?,One pa,Two pa,Three pa,Four pa,D,Orthopaedics,C,C,0,0
Loose body in joint most common site is -,Knee,Hip,Elbow,Ankle,A,Orthopaedics,A,A,1,1
The most probable diagnosis of the lesion depicted in the X-ray below is (GCT),Simple bone cyst,Osteoma,Ewings tumour,Osteoclastoma,D,Orthopaedics,D,A,1,0
Most common organism in drug abusers chronic osteomyelitis is,Staph.aureus,Pseudomonas,Granulmatous,klebsiella,B,Orthopaedics,A,A,0,0
Game keepers thumb is:,Thumb metacarpophalangeal joint ulnar collateral ligament rupture,Thumb metacarpophalangeal joint radial collateral ligament rupture,Thumb interphalangeal joint ulnar collateral ligament rupture,Thumb interphalangeal joint radial collateral ligament rupture,A,Orthopaedics,A,A,1,1
A 30 year biker sustained an compound fracture of the leg following RTA. The doctor has labeled it Gustilo Anderson type IIIB. Which of the following would represent the injury:,Fracture with open wound less than 1 cm,Fracture with open wound of 1-10 cm but soft tissue cover possible,Open wound more than 10 cm and soft tissue coverage not possible.,Open wound more than 10 cm with arterial injury,C,Orthopaedics,C,C,1,1
Pen test is done for elliciting which nerve injury -,Median nerve,Ulnar nerve,Radial nerve,Axillary nerve,A,Orthopaedics,B,A,0,1
A patient presents with pain in back. Lab investigation shows elevated ESR. X-ray skull shows multiple punched out lytic lesions. Most impoant investigation to be done is:,Serum acid phosphatase,CT head with contrast,Whole body scan,Serum electrophoresis,D,Orthopaedics,C,D,0,1
Which of the following is not a feature of rheumatoid ahritis?,Heberden nodes,Swan neck deformity,Ulnar detion of fingers at metacarpopalyngeal joint,Symmetric reduction of joint space,A,Orthopaedics,A,A,1,1
Sun burst appearance is seen in:,Osteosarcoma,Osteopetrosis,Osteomyelitis,Osteo-radionecrosis,A,Orthopaedics,A,A,1,1
Preferred treatment for Cubitus varus is,Medial closing wedge osteotomy,Lateral closing wedge osteotomy,Medial opening wedge osteotomy,Lateral opening wedge osteotomy,B,Orthopaedics,A,B,0,1
Heat therapy is used to treat musculoskeletal pain in many disorders. The methods of heat therapy are classified as superficial and deep heat therapies depending upon their tissue penetration. Which of the following is not a deep heat therapy?,Short wave diathermy,Infrared beam,Ultrasound therapy,Microwave diathermy,B,Orthopaedics,C,B,0,1
Late complication of elbow dislocation,Median nerve injury,Brachial aery injury,Myositis ossificans,paresthesia on medial elbow,C,Orthopaedics,C,C,1,1
The most common complication of Supracondylar fracture :,Osteosacrcoma,Gene valgum,Volkmanns ischemic contracture,Malunion with gun stock deformity,D,Orthopaedics,C,C,0,0
"&;Tennis elbow', is characterized by -",Tenderness over the medial epicondyle,Tendinitis of common extensor origin,Tendinitis of common flexor origin,Painful flexion and extension,B,Orthopaedics,A,B,0,1
Which is the investigation of choice for a sport injury of the knee?,Ultrasonography,Plain radiography,Arthrography,Arthroscopy,D,Orthopaedics,A,B,0,0
Nexus criteria is used for which of the following conditions:,Traumatic cervical spine injury,Traumatic ankle injury,Traumatic knee injury,Traumatic hip injury,A,Orthopaedics,A,A,1,1
Most common joint to undergoe recurrent dislocation ?,Shoulder joint,Patella,Knee joint,Hip joint,A,Orthopaedics,A,A,1,1
"40 yr old female presents with urine darkening on standing, joint pain and stiffness, and pigment deposition in joints. What is the probable diagnosis?",Phenylketonuria,Tyrosinemia,Alkaptonuria,Tyrosinemia,C,Orthopaedics,A,A,0,0
Sunderland classification is used for -,Nerve injury',Muscle injury,Tendon injury',Ligament injury,A,Orthopaedics,C,A,0,1
Most common dislocation of shoulder causing axillary nerve injury is -,Anterior dislocation,Posterior dislocation,Recurrent instability,Inferior dislocation,A,Orthopaedics,A,A,1,1
Brodies abscess common in:,Long bones of metaphysis,Long bones of diaphysis,Mandible,Vertebral bodies,A,Orthopaedics,A,A,1,1
Commonest site of occurrence of chondrosarcoma is -,Pelvis,Femur,Ribs,Proximal tibia,A,Orthopaedics,A,B,1,0
Scaphoid fracture is most common in -,Proximal pole,Waist,Distal pole,Tuberosity,B,Orthopaedics,B,B,1,1
Most common type of anterior shoulder dislocation?,Subglenoid,Subcoracoid,Posterior,Complete,B,Orthopaedics,C,B,0,1
Pulled elbow means,Fracture of head of radius,Subluxation of head of radius,Fracture dislocation of elbow,Fracture ulna,B,Orthopaedics,B,B,1,1
Ankylosing spondylitis is associated with -,HLA - B27,HLA - B-8,HLA - DW4/DR4,HLA - DR3,A,Orthopaedics,A,A,1,1
Pulled elbow means -,Fracture of head of radius,Subluxation of head of radius,Fracture dislocation of elbow,Fracture ulna,B,Orthopaedics,B,B,1,1
Saturday night palsy is which type of nerve injury-,Neuropraxia,Axonotemesis,Neurotemesis,Complete section,A,Orthopaedics,A,A,1,1
"Joint erosion, not a feature in",SLE,Gout,Rheumatoid ahritis,Posriasis,A,Orthopaedics,C,A,0,1
Klumpke's paralysis involves -,C1-2,C4-5,6-May,C8T1,D,Orthopaedics,C,C,0,0
Most common muscle involved in volkmamTs ischemic contracture is,Flexor- pollicis longus,Flexor-digitorum profunds,Flexor-indicis,Abductor pollicis,B,Orthopaedics,B,B,1,1
Tumour most sensitive to radiotherapy is-,Osteogenic sarcoma,Ewing's sarcoma,Chondrosarcoma,Osteoclastoma,B,Orthopaedics,B,B,1,1
Most vascular part of bone :(Repeat Kerala 2007),Epiphysis,Metaphysis,Diaphysis,Periosteum,B,Orthopaedics,C,B,0,1
Meyer pedicle graft is used for?,Fracture through neck of the talus,Non-union fracture neck of femur,Fracture through the waist of the scaphoid,Inter-trochanteric fracture femur,B,Orthopaedics,B,B,1,1
"15/F complains of anterior knee pain, increased on climbing stairs and getting up after prolonged sitting. Diagnosis is:",Chondromalacia patellae,Bipaite patellae,Plica syndrome,Patellofemoral ahritis,A,Orthopaedics,A,A,1,1
Inceased accumulation of fluid in the interstitial space is described as -,Edema,Effusion,Transudate,Exudate,A,Pathology,A,A,1,1
Birbeck granules are seen in the cytoplasm of,Mast cells,Langerhans cells,Thrombocytes,Myelocytes,B,Pathology,A,B,0,1
Role of P-selectin in inflammation,Rolling,Adhesion,Homing,Transmigration,A,Pathology,A,A,1,1
Squamous cell carcinoma spreads commonly,Implantation,Hematogenous spread,Lymphatic spread,Trancoelomic spread,C,Pathology,C,C,1,1
Koener's tumor are seen in?,Tuberous sclerosis,Neurofibromatosis,VHL,NF,A,Pathology,B,A,0,1
Best prognostic type of Hodgkins Disease,Lymphocyte predominant,Lymphocyte depletion,Mixed cellularuty,Nodular sclerosis,A,Pathology,D,A,0,1
Best prognosis in Carcinoma stomach is seen in,Superficial spreading type,Ulcerative type,Linitis plastic type,Polypoidal type,A,Pathology,A,A,1,1
Which among the following subtypes of Osteogenesis imperfecta is not associated with blue sclera?,Type I,Type II,Type III,Type IV,D,Pathology,A,C,0,0
"A 90-year-old woman with mild diabetes and Alzheimer disease dies in her sleep. At autopsy, hepatocytes are noted to contain golden cytoplasmic granules that do not stain with Prussian blue. Which of the following best accounts for pigment accumulation in the liver of this patient?",Advanced age,Alzheimer disease,Congestive heart failure,Diabetic ketoacidosis,A,Pathology,A,A,1,1
Reid's Index is? -,Increased in Chronic Bronchitis,Decreased in Chronic Bronchitis,Increased in Bronchial Asthma,Decreased in Bronchial Asthma,A,Pathology,A,A,1,1
Feature of Autosomal dominant disorder:,Present early in life,Complete penetrance common,New germ cell mutations in old fathers,Male to male transmission not possible,C,Pathology,B,C,0,1
Iron metabolism and regulation are important for RBC precursor cell. Which of the following helps in regulation of iron metabolism but is not specific for iron?,Hepcidin,DMT-1,Ferroportin,Ferritin,B,Pathology,A,A,0,0
Which does not cause microvesicular steatosis,Alcoholic fatty liver,Tetracycline toxicity,Acute fatty liver of pregnancy,Reyes syndrome,A,Pathology,B,A,0,1
"A 5-year-boy has developed features that suggest puberty over the past 6 months. On physical examination, the boy has secondary sex characteristics, including pubic hair and enlargement of the penis. Which of the following morphologic features is most likely to be seen in his adrenal glands?",Cortical atrophy,Cortical hyperplasia,Cortical nodule,Medullary atrophy,B,Pathology,B,B,1,1
The earliest change seen in apoptosis is -,Cell shrinkage,Pyknosis,Formation of apoptotic bodies,Fragmentation of cells,A,Pathology,A,A,1,1
"A 5-year-old boy presents with recurrent hemahroses and intramuscular hematomas. Laboratory tests reveal normal bleeding time, platelet count, and PT, but the PTT is prolonged. This boy's condition most likely results from an abnormality involving",Chromosome 5,Chromosome 14,X Chromosome,Y Chromosome,C,Pathology,C,C,1,1
Post streptococcal glomerulonephritis in children is diagnosed by:,"Heavy proteinuria, high cholesterol, high ASO titer","Heavy proteinuria, hematuria, low ASO titer","Mild proteinuria, hematuria, high ASO titer","Mild proteinuria, high cholesterol, normal ASO titer",C,Pathology,B,C,0,1
Adenoacanthoma is which type of uterine cancer,Poorly differentiated adenocarcinoma,Well differentiation Adenocarcinoma,Mucinous carcinoma,Papillary serous carcinoma,B,Pathology,A,A,0,0
"A 41-year-old G5, P5 woman has noticed lower abdominal pain with fever for the past 2 days. She delivered a normal term infant 1 week ago. On examination, she has a temperature of 37.4degC. There is a foul-smelling vaginal discharge. Which of the following pathologic findings is she most likely to have?",Cervical intraepithelial neoplasia,Endometrial neutrophilic infiltrates,Myometrial smooth muscle neoplasm,Ovarian endometrioma,B,Pathology,B,B,1,1
Cell injury occurs due to,Decreased cellular ATP generation,Cytosolic Ca++,Membrane damage,Intracellular K+,A,Pathology,A,A,1,1
AKT1 E17K somatic mutation is associated with,Gastric carcinoma,Breast carcinoma,Ovarian carcinoma,Pancreatic carcinoma,B,Pathology,B,B,1,1
In breast cancer Her-2/Neu helps by the following mechanism?,Overexpression,Suppression,Mutation,Translocation,A,Pathology,A,A,1,1
Which of the following receptor on the neuronal membrane that induces the development of glioma?,CD45,CD133,CD33,CD24,B,Pathology,B,B,1,1
Low complement levels are seen in -,PSGN,MPGN,Good pasture's syndrome,Wegner's granulomatosis,A,Pathology,C,B,0,0
"A 12-year-old boy has had multiple recurrent infections for the past 10 years, including Pneumocystis jiroveci pneumonia, Streptococcus pneumoniae otitis media, and Pseudomonas aeruginosa urinary tract infection. On physical examination, he has a temperature of 38.5deg C and pharyngeal erythema with exudate. Laboratory studies show hemoglobin, 9.1 g/ dL; hematocrit, 27.6%; platelet count, 130,900/mm3; and WBC count, 3440/mm3 with 47% segmented neutrophils, 3% bands, 40% lymphocytes, and 10% monocytes. Serum immunoglobulin levels show very low IgG, very high IgM, and undetectable IgA. A peripheral blood smear shows nucleated RBCs. Which of the following immunologic defects is most likely to produce this disease?",Absence of adenosine deaminase,Abnormal CD40-CD40L interaction,Deletion of chromosome 22q11,HIV infection,B,Pathology,C,A,0,0
Which of the following labels corresponds to the condenser of the microscope?,C,B,D,A,A,Pathology,C,,0,0
Gluten free diet is used in,Celiac disease,Tropical sprue,Ulcerative colitis,Irritable bowel syndrome,A,Pathology,A,A,1,1
A characteristic histologic feature of class IV lupus nephritis is,"""Holly leaf"" mesangial deposits","""Spike and dome"" appearance of the basement membrane","""Wire-loop"" appearance of the glomerular capillaries","""Tram-track"" splitting of the basement membrane",C,Pathology,C,C,1,1
Gene associated with medullary carcinoma of thyroid is?,RAS,RET,p53,MET,B,Pathology,B,B,1,1
Which is a serine protease:,Pepsin,Trypsinogen 1,HIV enzyme,Chymotrypsin,B,Pathology,B,C,1,0
"A 56-year-old woman with a history of hyperlipidemia and hypeension develops progressive, right renal aery stenosis. Over time, this patient's right kidney is likely to demonstrate which of the following morphologic adaptations to paial ischaemia?",Atrophy,Dysplasia,Hyperplasia,Hyperophy,A,Pathology,A,A,1,1
"A 29-year-old woman was found to have Hb of 7.8mg/dl with a reticulocyte count of 0.8%. The peripheral blood smear showed microcytic hypochromic anemia. On HPLC, Hb A2 and Hb F was 2.4% and 1.3% respectively. The serum iron and TIBC were 15mg/dl and 420 micro g/dl respectively. The most likely cause of anemia is:",Iron deficiency anemia,Beta thalassemia minor,Sideroblastic anemia,Anemia due to chronic infection,A,Pathology,B,A,0,1
CD marker specific for myeloid series-,CD34 b,CD45,CD99,CD117,C,Pathology,B,C,0,1
"A 50-year-old lady presented With a 3-month history of pain in the lower third of the right thigh. There was no local swelling; tenderness was present on deep pressure. Plain X-rays showed an ill-defined intra medullary lesion with blotchy calcification at the lower end of the right femoral diaphysis,possible enchondroma or chondrosarcoma.Sections showed a cailaginous tumor.Which of the following histological features (if seen)would be most helpful to differentiate the two tumours?",Focal necrosis and lobulation,Tumor permeation between bone trabeculea at periphery,Extensive myxoid change,High cellularity,B,Pathology,B,B,1,1
"A 40-year-old woman with a history of rheumatic fever presents with shoness of breath, weight loss, fatigue and abdominal distension. Physical examination shows rales in the lungs, hepatosplenomegaly and 2+ pitting edema of the legs. A chest X-ray reveals only left atrial enlargement and pulmonary edema. What is the most likely cause of pulmonary edema in this patient?",Aoic insufficiency,Aoic stenosis,Mitral stenosis,Tricuspid insufficiency,C,Pathology,C,C,1,1
Which of the following is not a variant of PSA,PSA density,PSA nodularity,PSA velocity,Ratio of free to bound PSA,B,Pathology,A,A,0,0
Hypersensitivity vasculities seen in,Capillaries,Aerioles,Post capillary venules,Medium sized vessels,C,Pathology,D,C,0,1
Mint Common extranodal site of Lymphoma in HIV is?,CNS,GIT,Retroperitoneum,Mediastinum,A,Pathology,A,B,1,0
Which of the following is not a carcinogenic virus,Hepatitis B,Hepatitis C,Molluscum contagiosum,HPV,C,Pathology,C,C,1,1
"A patient presents with bone pain. X ray reveals destructive lesions. Lab investigations show shypercalcemia. Serum electrophoresis shows M spike, while Bone marrow shows 35% plasma cells. What is your diagnosis?",MGUS,Smoldering myeloma,Multiple myeloma,Plasma cell leukemia,C,Pathology,C,C,1,1
Most common ovarian tumor -,Serous cystadenoma,Choriocarcinomac,Teratoma,Fibroma,A,Pathology,A,A,1,1
Commonest histological finding in benign hypertension is,Proliferative endarteritis,Necrotizing arteriolitis,Hyaline arteriosclerosis,Cystic medial necrosis,C,Pathology,C,C,1,1
Interleukin secreted by Th17 cells,IFN Gamma,IL22,IL6,1L16,B,Pathology,B,B,1,1
Which of the following disease is transmitted as an X-Iinked inheritance?,Phenylketonuria,Alpo's syndrome,Myotonic dystrophy,Spinal muscular atrophy,B,Pathology,A,A,0,0
Which of the following procedures as routine technique for karyotyping using light microscopy,C-banding,G-banding,Q-banding,Brd V-staining,B,Pathology,B,B,1,1
"A 39-year-old man has experienced chronic fatigue and weight loss for the past 3 months. There are no remarkable findings on physical examination. Laboratory studies show hemoglobin, 10.0 g/dL; hematocrit, 30.3%; MCV, 91 mm3; platelet count, 240,000/ mm3; WBC count, 7550/ mm3; serum iron 80 mg/dL; total iron-binding capacity, 145 mg/dL; and serum ferritin, 565 ng/mL. Serum erythropoietin levels are low for the level of Hb and hepcidin levels are elevated. Which of the following is the most likely diagnosis?",Anemia of chronic disease,Aplastic anemia,Iron deficiency anemia,Megaloblastic anemia,A,Pathology,A,A,1,1
Normal platelet count is/are seen in an-,DIC,Von willebrand's disease,Microangiopathic hemolytic anemia,Spleenomegaly,B,Pathology,B,D,1,0
"A 59-year-old woman with type II diabetes mellitus experiences an episode of chest pain with exercise. On examination, her BMI is 30. Angiography reveals proximal coronary arterial narrowing with up to 70% stenosis. Which of the following pharmacologic agents ingested in low doses daily is most appropriate for reducing her risk for myocardial infarction?",Acetaminophen,Aspirin,Ibuprofen,Paclitaxel,B,Pathology,A,A,0,0
"RBC's appear to have bite of cytoplasm (""Bite cells"") in",Sickle cell hemoglobinopathy,Hereditary spherocytosis,Thalassemia,G-6-P deficiency,D,Pathology,B,D,0,1
One of the following is apoptosis inhibitor gene,p53,BCL -2,Rb,C -myc,B,Pathology,B,B,1,1
The tumor suppressor gene P53 induces cell arrest at-,G2 - M phase,S G2 phase,G1 - S phase,Go - phase,C,Pathology,B,C,0,1
"A 20 years old girl presented with low-grade fever, malaise, night sweats, weight loss, arthralgia and fatigue for 1 month. On examination peripheral pulses are weak in upper extrimities and bruit is present on carotid and subclavian artery. On investigating the child there was dilatation of proximal aorta. Most likely diagnosis is?",Polyarteritis nodosa,Temporal arteritis,Takayasu's arteritis,Kawasaki's disease,C,Pathology,C,C,1,1
Acantholysis means,Diffuse epidermal hyperplasia,Loss of intercellular connections,Intercellular edema of the epidermis.,Abnormal keratinization,B,Pathology,B,B,1,1
RBC cast is seen in?,Minimal change disease,Renal vein thrombosis,Bladder schistomiasis,Rapidly progressive Glomerulo-nephritis,D,Pathology,D,D,1,1
Graft vs Host reaction can be reduced by?,Irradiation,Leuckoreduction/leuckofiltration,Immunosuppression,Buffy coat removal,A,Pathology,A,C,1,0
CNS involvement in DLBCL is not seen with which of the following organ involvement:,Ovary,Testis,Kidney,Adrenal,A,Pathology,C,C,0,0
"An 8-year-old boy presents with periorbital edema and throbbing headaches. His parents report that the boy had a ""strep throat"" 2 weeks ago. Urinalysis shows 3+ hematuria. A renal biopsy shows hypercellular glomeruli, and electron microscopic examination of glomeruli discloses subepithelial ""humps."" Which of the following best explains the pathogenesis of glomerulonephritis in this patient?",Antineutrophil cytoplasmic autoantibodies,Deposition of circulating immune complexes,Directly cytotoxic IgG and IgM antibodies,IgE-mediated mast cell degranulation,B,Pathology,B,B,1,1
Conjugated hyperbilirubinemia is seen in:,Gilbert' syndrome,Criggler Najjar syndrome,Breast milk jaundice,Dubin Johnson syndrome,D,Pathology,B,D,0,1
Which is not seen in Tumor lysis Syndrome?,Hypophosphatemia,Hypocalcemia,Hyperuricemia,Hyperkalemia,A,Pathology,B,A,0,1
"A 52-year-old man has a fever and cough productive of thick, gelatinous sputum that worsens over 4 days. On physical examination, his temperature is 38.2deg C. On auscultation of the chest, diffuse crackles are heard at the right lung base. Laboratory studies show WBC count, 13,240/mm3 with 71% segmented neutrophils, 8% bands, 15% lymphocytes, and 6% monocytes. A sputum gram stain shows gram-negative bacilli with mucoid capsules. His condition improves after a course of gentamicin therapy. Which of the following complications of this infection is he most likely to develop?",Abscess formation,Adenocarcinoma,Bullous emphysema,Cavitary granulomas,A,Pathology,A,A,1,1
Auto antibody specific for SLE -,ds DNA,Anti RO,Anti-topoisomerase,Antihistone,A,Pathology,A,A,1,1
Hematuria with dysmorphic RBC are seen in,Acute glomerulonephritis,Renal TB,Renal calculi,Chronic renal failure,A,Pathology,A,A,1,1
The following drug has anxiolytic action with least sedation,Buspirone,Triazolam,Alprazolam,Chlordiazepoxide,A,Pathology,A,A,1,1
Which disease is caused by anti - phospholipase 2 antibody:,MPGN,Membrabous glomerulopathy,FSGN,Minimal Change Disease,B,Pathology,B,B,1,1
Epithelial granuloma is caused by -,Neutrophil,Cytotoxic T cells,Helper T cells,NK cells,C,Pathology,C,,1,0
Mesangial deposits of monoclonal kappa/Lambda light chains in indicative of:,Mesangioproliferative glomerulonephritis,Focal and segmental glomerulosclerosis,Kimmelstiel-Wilson lesions,Amyloidosis,D,Pathology,A,A,0,0
Not seen in children is,Neuroblastoma,Retinoblastoma,Hepatoblastoma,Seminoma,D,Pathology,D,D,1,1
Normal platelet count is found in:,Wiskott Aldrich syndrome,Henoch Schonlein purpura,Immune thrombocytopenia,Dengue fever,B,Pathology,B,B,1,1
Patients with hemophilia A has bleeding disorder because of-,Lack of platelet aggregation,Lack of reaction accelerator during activation of factor X in coagulation cascade,Neutralization of antithrombin III,Release of Thromboxane A2,B,Pathology,B,B,1,1
The most common extranodal site for non-hodgkin lymphoma is,Stomach,Brain,Intestine,Tonsils,A,Pathology,C,A,0,1
Principle of Prussian blue stain:,Ferrous to ferricyanide,Ferrocyanide to ferroferric cyanide,Ferroferriccyanide to ferrocyanide,Ferrocyanide to ferricferrocyanide,B,Pathology,B,B,1,1
Which of the following brain tumor arises from arachnoid villi,Medulloblastoma,Ependymoma,Meningioma,Glioma,C,Pathology,C,C,1,1
Histopathology of mitral Valve prolapsed shows what kind of change?,Myxomatous,Fibrinoid,Granulomatous,Fibrous,A,Pathology,A,A,1,1
Commonest site of liquifactive necrosis is,Brain,Kidney,Liver,Spleen,A,Pathology,A,A,1,1
Stain used for melanin -,Oilred,Gomori methamine silver stain,Masson fontana stain,PAS stain,C,Pathology,C,C,1,1
A 28-year-old woman with cystic fibrosis presents with increasing shortness of breath and production of abundant foul-smelling sputum. The sputum in this patient is most likely associated with which of the following pulmonary conditions?,Atelectasis,Bronchiectasis,Empyema,Pneumothorax,B,Pathology,B,B,1,1
The most common infectious agent associated with chronic pyelonephritis is,Proteus vulgaris,Klebsiella pneumonia,Staphylococcus aureus,Escherichia coli,D,Pathology,D,D,1,1
Most common extranodal site for non-hodkin&;s lymphoma is -,Stomach,Brain,Intestines,Tonsils,A,Pathology,C,A,0,1
"A 35-year-old woman who underwent a modified radical mastectomy of her right breast for infiltrating ductal carcinoma 2 years ago presents with enlargement of her right breast. The breast has a swollen, red-discolored appearance. It is diffusely indurated and tender on palpation. Multiple axillary lymph nodes are palpable in the lower axilla. The working clinical diagnosis is inflammatory carcinoma. Microscopic sections from this red, indurated area are most likely to reveal",Duct ectasia with numerous plasma cells,Extensive invasion of dermal lymphatics,Infiltrating malignant ducts surrounded by numerous neutrophils,Malignant vascular tumor forming slitlike spaces,B,Pathology,B,B,1,1
"A 35 year old lady complains of dysphagia, Raynaud's phenomenon and her hands show the following appearance. Investigations show positive ANA. The likely diagnosis is",Systemic lupus erythematosus,Systemic sclerosis,Mixed connective tissue disorder,Rheumatoid ahritis,B,Pathology,B,B,1,1
Multiple myeloma on radionuclide scanning presents as,Cold nodule,Hot nodule,Diffuse increased uptake,Diffuse decreased uptake,A,Pathology,C,D,0,0
Which of the following is the indicator for body iron stores?,Ferretin,Transferrin,TIBC,Serumiron levels,A,Pathology,A,A,1,1
"A 34-year-old man is referred for evaluation of hypeension and persistent hypokalemia in spite of taking oral potassium supplements. Blood pressure is 180/110 mm Hg. Serum sodium is 149 mEq/L (normal 140 to 148 mEq/L); potassium, 3.3 mEq/L (normal 3.6 to 5.2 mEq/L); Bicarbonate, 29 mEq/L (normal 22 to 29 mEq/L); Chloride, 103 mEq/L (normal 98 to 107 mEq/L); and Urea nitrogen, 23 mg/dL (normal 7 to 18 mg/ dL). Computed tomography demonstrates a 3-cm mass in the right adrenal gland. The most likely diagnosis is",Conn syndrome,Addison disease.,Cushing syndrome.,Sipple syndrome.,A,Pathology,A,A,1,1
Which of the following is autosomal dominant in inheritance?,Sickle cell disease,Achondroplasia,Hemochromatosis,Wiskott Aldrich syndrome,B,Pathology,A,A,0,0
"A 65-year-old man who has a long history of hypeension presents to the emergency depament with tearing chest pain that radiates to the back. An electrocardiogram is normal, as are cardiac enzymes. A ""stat"" chest radiograph demonstrates widening of the mediastinum. Which of the following is the most likely?",Aeriovenous fistula,Atherosclerotic aneurysm,Syphilitic aneurysm,Dissecting aneurysm,D,Pathology,D,D,1,1
"A 34-year-old woman has a benign nevus removed from her back under local anesthesia. Which of the following families of cell adhesion molecules is the principal component of the ""provisional matrix"" that forms during early wound healing?",Cadherins,Fibronectins,Integrins,Laminins,B,Pathology,B,B,1,1
Trichomoniasis is transmitted through which stage,Cyst,Oocyst,Sporozoite,Trophozoite,D,Pathology,D,D,1,1
Koenon tumor is seen in -,NF,Tuberous sclerosis,Turners syndrome,Sturg weber syndrome,B,Pathology,B,B,1,1
The commonest site for extragonadal germ cell tumor,Pineal gland,Mediastinum,Retroperitoneum,Sacrococcyygeal region,B,Pathology,B,B,1,1
Which propey of haemoglobin is affected in sickle cell anaemia,Stability,Function,Affinity,Solubility,D,Pathology,B,B,0,0
Male pseudohermaphroditism is seen in,5- a redutase deficiency,21 hydroxylase deficiency,17 hydroxylase deficiency,Gonadal dysgenesis,A,Pediatrics,B,A,0,1
Breast milk at room temperature stored for,4 hrs,8 hrs,12 hrs,24 hrs,B,Pediatrics,B,A,1,0
Kleihaeur Bethke test is done for:,Cephalopelvic disproportion,Fetomaternal hemorrhage,Determining karyotype of normal fetus,Diagnosing fetal infections,B,Pediatrics,B,B,1,1
"In a child with acute liver failure, the most impoant abnormal serum biochemical test that indicates poor prognosis is ?",Increasing transaminase,Increasing bilirubin,Increasing prothrombin time,Reversal of serum albumin-globulin ratio,C,Pediatrics,C,C,1,1
Which of the following is best method for monitoring the treatment and resolution of vitamin D deficiency?,Serum calcium levels,Serum phosphate levels,Serum vitamin D levels,Serum parathormone levels,A,Pediatrics,C,C,0,0
What is this instrument used for?,Measure weight,Measure height,Measure length,Measure upper segment: lower segment ratio,C,Pediatrics,D,,0,0
"Which microorganism is responsible for classical presentation of hydrocephalus, chorioretinitis and intracerebral calcification?",Toxoplasmosis,Rubella,Measles,CMV,A,Pediatrics,B,A,0,1
An infant with severe dehydration secondary to diarrhea suddenly presents with flank mass and blood in urine. The most probable diagnosis is?,Renal vein thrombosis,Pyelonephritis,Acute glomerulonephritis,Lipoid nephrosis,A,Pediatrics,A,A,1,1
Which is a rich source of vitamin A -,Cod liver oil,Coriander,Egg,Milk,A,Pediatrics,A,A,1,1
The initial fluid of choice of the treatment of hypernatremic dehydration is,Normal saline,N/2 saline,N/4 saline,D/4 saline + 5% Dextrose,A,Pediatrics,D,A,0,1
Which of the following characterizes pathological jaundice?,Jaundice on 3rd day,Jaundice upto the trunk,High colored urine,Jaundice accompanied by yellow stools,C,Pediatrics,B,C,0,1
Which of the following is used as an antidote for organophosphorus poisoning?,Pralidoxime aldoxime methiodide(PAM),N- acetyl cysteine,Physostigmine,Flumazenil,A,Pediatrics,A,A,1,1
"A 4-year-old child presented with decreased urine output for last 20 hours & petechial spots over the body. There was a history of diarrhea 2 weeks prior to this. Blood investigations revealed a Hb level of 7 g/dl, TLC 11,800/mm3, Platelet count of 35,000/mm3. His peripheral smear findings are shown belowWhat is the diagnosis?",Malaria,Idiopathic thrombocytopenic purpura,Acute tubular necrosis,Hemolytic uremic syndrome,D,Pediatrics,D,D,1,1
Anterior fontanelle closes at:,2-3 months,4-7 months,12-20 months,24-30 months,C,Pediatrics,A,C,0,1
Intelligence quotient is calculated as:,Mental age/Chronological age x100,Chronological age/Mental Age x100,Mental age x Chronological age,Mental age + chronological age/2,A,Pediatrics,A,A,1,1
RET proto oncogene is located on which chromosome:,9,10,11,12,B,Pediatrics,B,B,1,1
A 6 year old boy presenting with palpable abdominal mass in the epigastrium. The clinical diagnosis is (There is no bile in vomitus).,Duodenal Atresia,Choledochal cyst,Pyloric stenosis,Oesophageal Atresia,C,Pediatrics,A,B,0,0
Cystic fibrosis is associated with:,Meconium ileus,Short bowel syndrome,Hirschprung disease,Congenital pyrolic stenosis,A,Pediatrics,A,A,1,1
Triangular facies is indicative of ________,Russell-Silver syndrome,Down's syndrome,Mobius syndrome,Nephrotic syndrome,A,Pediatrics,B,A,0,1
Ponderal index in malnourished babies is:,<1,<2,<4,<6,B,Pediatrics,A,A,0,0
Pedigree analysis chart-,Used for growth monitoring,To assess side effect during chemotherapy,Used to see gentic transmission,To assess developmental delay in infant,C,Pediatrics,C,C,1,1
Severe Hypothermia in a neonate is temperature?,< 35 C,< 34 C,< 33 C,< 32 C,D,Pediatrics,A,C,0,0
Early adolescent age is:,8-11 years,10-13 years,14-15 years,16-19 years,B,Pediatrics,B,B,1,1
Manifestations of endemic cretinism include:,Deafness and facial nerve involvement,Blindness and hypothyroidism,Strabismus and spastic diplegias,Multinodular goitre and mental retardation,C,Pediatrics,B,A,0,0
