Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4
Which of the following is not a carcinogenic virus,Hepatitis B,Hepatitis C,Molluscum contagiosum,HPV,C,Pathology,C,C
"A patient presents with bone pain. X ray reveals destructive lesions. Lab investigations show shypercalcemia. Serum electrophoresis shows M spike, while Bone marrow shows 35% plasma cells. What is your diagnosis?",MGUS,Smoldering myeloma,Multiple myeloma,Plasma cell leukemia,C,Pathology,C,C
Most common ovarian tumor -,Serous cystadenoma,Choriocarcinomac,Teratoma,Fibroma,A,Pathology,A,A
Commonest histological finding in benign hypertension is,Proliferative endarteritis,Necrotizing arteriolitis,Hyaline arteriosclerosis,Cystic medial necrosis,C,Pathology,C,C
Interleukin secreted by Th17 cells,IFN Gamma,IL22,IL6,1L16,B,Pathology,B,B
Which of the following disease is transmitted as an X-Iinked inheritance?,Phenylketonuria,Alpo's syndrome,Myotonic dystrophy,Spinal muscular atrophy,B,Pathology,A,A
Which of the following procedures as routine technique for karyotyping using light microscopy,C-banding,G-banding,Q-banding,Brd V-staining,B,Pathology,B,B
"A 39-year-old man has experienced chronic fatigue and weight loss for the past 3 months. There are no remarkable findings on physical examination. Laboratory studies show hemoglobin, 10.0 g/dL; hematocrit, 30.3%; MCV, 91 mm3; platelet count, 240,000/ mm3; WBC count, 7550/ mm3; serum iron 80 mg/dL; total iron-binding capacity, 145 mg/dL; and serum ferritin, 565 ng/mL. Serum erythropoietin levels are low for the level of Hb and hepcidin levels are elevated. Which of the following is the most likely diagnosis?",Anemia of chronic disease,Aplastic anemia,Iron deficiency anemia,Megaloblastic anemia,A,Pathology,A,A
Normal platelet count is/are seen in an-,DIC,Von willebrand's disease,Microangiopathic hemolytic anemia,Spleenomegaly,B,Pathology,B,D
"A 59-year-old woman with type II diabetes mellitus experiences an episode of chest pain with exercise. On examination, her BMI is 30. Angiography reveals proximal coronary arterial narrowing with up to 70% stenosis. Which of the following pharmacologic agents ingested in low doses daily is most appropriate for reducing her risk for myocardial infarction?",Acetaminophen,Aspirin,Ibuprofen,Paclitaxel,B,Pathology,A,A
"RBC's appear to have bite of cytoplasm (""Bite cells"") in",Sickle cell hemoglobinopathy,Hereditary spherocytosis,Thalassemia,G-6-P deficiency,D,Pathology,B,D
One of the following is apoptosis inhibitor gene,p53,BCL -2,Rb,C -myc,B,Pathology,B,B
The tumor suppressor gene P53 induces cell arrest at-,G2 - M phase,S G2 phase,G1 - S phase,Go - phase,C,Pathology,B,C
"A 20 years old girl presented with low-grade fever, malaise, night sweats, weight loss, arthralgia and fatigue for 1 month. On examination peripheral pulses are weak in upper extrimities and bruit is present on carotid and subclavian artery. On investigating the child there was dilatation of proximal aorta. Most likely diagnosis is?",Polyarteritis nodosa,Temporal arteritis,Takayasu's arteritis,Kawasaki's disease,C,Pathology,C,C
Acantholysis means,Diffuse epidermal hyperplasia,Loss of intercellular connections,Intercellular edema of the epidermis.,Abnormal keratinization,B,Pathology,B,B
RBC cast is seen in?,Minimal change disease,Renal vein thrombosis,Bladder schistomiasis,Rapidly progressive Glomerulo-nephritis,D,Pathology,D,D
Graft vs Host reaction can be reduced by?,Irradiation,Leuckoreduction/leuckofiltration,Immunosuppression,Buffy coat removal,A,Pathology,A,C
CNS involvement in DLBCL is not seen with which of the following organ involvement:,Ovary,Testis,Kidney,Adrenal,A,Pathology,C,C
"An 8-year-old boy presents with periorbital edema and throbbing headaches. His parents report that the boy had a ""strep throat"" 2 weeks ago. Urinalysis shows 3+ hematuria. A renal biopsy shows hypercellular glomeruli, and electron microscopic examination of glomeruli discloses subepithelial ""humps."" Which of the following best explains the pathogenesis of glomerulonephritis in this patient?",Antineutrophil cytoplasmic autoantibodies,Deposition of circulating immune complexes,Directly cytotoxic IgG and IgM antibodies,IgE-mediated mast cell degranulation,B,Pathology,B,B
Conjugated hyperbilirubinemia is seen in:,Gilbert' syndrome,Criggler Najjar syndrome,Breast milk jaundice,Dubin Johnson syndrome,D,Pathology,B,D
Which is not seen in Tumor lysis Syndrome?,Hypophosphatemia,Hypocalcemia,Hyperuricemia,Hyperkalemia,A,Pathology,B,A
"A 52-year-old man has a fever and cough productive of thick, gelatinous sputum that worsens over 4 days. On physical examination, his temperature is 38.2deg C. On auscultation of the chest, diffuse crackles are heard at the right lung base. Laboratory studies show WBC count, 13,240/mm3 with 71% segmented neutrophils, 8% bands, 15% lymphocytes, and 6% monocytes. A sputum gram stain shows gram-negative bacilli with mucoid capsules. His condition improves after a course of gentamicin therapy. Which of the following complications of this infection is he most likely to develop?",Abscess formation,Adenocarcinoma,Bullous emphysema,Cavitary granulomas,A,Pathology,A,A
Auto antibody specific for SLE -,ds DNA,Anti RO,Anti-topoisomerase,Antihistone,A,Pathology,A,A
Hematuria with dysmorphic RBC are seen in,Acute glomerulonephritis,Renal TB,Renal calculi,Chronic renal failure,A,Pathology,A,A
The following drug has anxiolytic action with least sedation,Buspirone,Triazolam,Alprazolam,Chlordiazepoxide,A,Pathology,A,A
Which disease is caused by anti - phospholipase 2 antibody:,MPGN,Membrabous glomerulopathy,FSGN,Minimal Change Disease,B,Pathology,B,B
Epithelial granuloma is caused by -,Neutrophil,Cytotoxic T cells,Helper T cells,NK cells,C,Pathology,C,
Mesangial deposits of monoclonal kappa/Lambda light chains in indicative of:,Mesangioproliferative glomerulonephritis,Focal and segmental glomerulosclerosis,Kimmelstiel-Wilson lesions,Amyloidosis,D,Pathology,A,A
Not seen in children is,Neuroblastoma,Retinoblastoma,Hepatoblastoma,Seminoma,D,Pathology,D,D
Normal platelet count is found in:,Wiskott Aldrich syndrome,Henoch Schonlein purpura,Immune thrombocytopenia,Dengue fever,B,Pathology,B,B
Patients with hemophilia A has bleeding disorder because of-,Lack of platelet aggregation,Lack of reaction accelerator during activation of factor X in coagulation cascade,Neutralization of antithrombin III,Release of Thromboxane A2,B,Pathology,B,B
The most common extranodal site for non-hodgkin lymphoma is,Stomach,Brain,Intestine,Tonsils,A,Pathology,C,A
Principle of Prussian blue stain:,Ferrous to ferricyanide,Ferrocyanide to ferroferric cyanide,Ferroferriccyanide to ferrocyanide,Ferrocyanide to ferricferrocyanide,B,Pathology,B,B
Which of the following brain tumor arises from arachnoid villi,Medulloblastoma,Ependymoma,Meningioma,Glioma,C,Pathology,C,C
Histopathology of mitral Valve prolapsed shows what kind of change?,Myxomatous,Fibrinoid,Granulomatous,Fibrous,A,Pathology,A,A
Commonest site of liquifactive necrosis is,Brain,Kidney,Liver,Spleen,A,Pathology,A,A
Stain used for melanin -,Oilred,Gomori methamine silver stain,Masson fontana stain,PAS stain,C,Pathology,C,C
A 28-year-old woman with cystic fibrosis presents with increasing shortness of breath and production of abundant foul-smelling sputum. The sputum in this patient is most likely associated with which of the following pulmonary conditions?,Atelectasis,Bronchiectasis,Empyema,Pneumothorax,B,Pathology,B,B
The most common infectious agent associated with chronic pyelonephritis is,Proteus vulgaris,Klebsiella pneumonia,Staphylococcus aureus,Escherichia coli,D,Pathology,D,D
Most common extranodal site for non-hodkin&;s lymphoma is -,Stomach,Brain,Intestines,Tonsils,A,Pathology,C,A
"A 35-year-old woman who underwent a modified radical mastectomy of her right breast for infiltrating ductal carcinoma 2 years ago presents with enlargement of her right breast. The breast has a swollen, red-discolored appearance. It is diffusely indurated and tender on palpation. Multiple axillary lymph nodes are palpable in the lower axilla. The working clinical diagnosis is inflammatory carcinoma. Microscopic sections from this red, indurated area are most likely to reveal",Duct ectasia with numerous plasma cells,Extensive invasion of dermal lymphatics,Infiltrating malignant ducts surrounded by numerous neutrophils,Malignant vascular tumor forming slitlike spaces,B,Pathology,B,B
"A 35 year old lady complains of dysphagia, Raynaud's phenomenon and her hands show the following appearance. Investigations show positive ANA. The likely diagnosis is",Systemic lupus erythematosus,Systemic sclerosis,Mixed connective tissue disorder,Rheumatoid ahritis,B,Pathology,B,B
Multiple myeloma on radionuclide scanning presents as,Cold nodule,Hot nodule,Diffuse increased uptake,Diffuse decreased uptake,A,Pathology,C,D
Which of the following is the indicator for body iron stores?,Ferretin,Transferrin,TIBC,Serumiron levels,A,Pathology,A,A
"A 34-year-old man is referred for evaluation of hypeension and persistent hypokalemia in spite of taking oral potassium supplements. Blood pressure is 180/110 mm Hg. Serum sodium is 149 mEq/L (normal 140 to 148 mEq/L); potassium, 3.3 mEq/L (normal 3.6 to 5.2 mEq/L); Bicarbonate, 29 mEq/L (normal 22 to 29 mEq/L); Chloride, 103 mEq/L (normal 98 to 107 mEq/L); and Urea nitrogen, 23 mg/dL (normal 7 to 18 mg/ dL). Computed tomography demonstrates a 3-cm mass in the right adrenal gland. The most likely diagnosis is",Conn syndrome,Addison disease.,Cushing syndrome.,Sipple syndrome.,A,Pathology,A,A
Which of the following is autosomal dominant in inheritance?,Sickle cell disease,Achondroplasia,Hemochromatosis,Wiskott Aldrich syndrome,B,Pathology,A,A
"A 65-year-old man who has a long history of hypeension presents to the emergency depament with tearing chest pain that radiates to the back. An electrocardiogram is normal, as are cardiac enzymes. A ""stat"" chest radiograph demonstrates widening of the mediastinum. Which of the following is the most likely?",Aeriovenous fistula,Atherosclerotic aneurysm,Syphilitic aneurysm,Dissecting aneurysm,D,Pathology,D,D
"A 34-year-old woman has a benign nevus removed from her back under local anesthesia. Which of the following families of cell adhesion molecules is the principal component of the ""provisional matrix"" that forms during early wound healing?",Cadherins,Fibronectins,Integrins,Laminins,B,Pathology,B,B
Trichomoniasis is transmitted through which stage,Cyst,Oocyst,Sporozoite,Trophozoite,D,Pathology,D,D
Koenon tumor is seen in -,NF,Tuberous sclerosis,Turners syndrome,Sturg weber syndrome,B,Pathology,B,B
The commonest site for extragonadal germ cell tumor,Pineal gland,Mediastinum,Retroperitoneum,Sacrococcyygeal region,B,Pathology,B,B
Which propey of haemoglobin is affected in sickle cell anaemia,Stability,Function,Affinity,Solubility,D,Pathology,B,B
Male pseudohermaphroditism is seen in,5- a redutase deficiency,21 hydroxylase deficiency,17 hydroxylase deficiency,Gonadal dysgenesis,A,Pediatrics,B,A
Breast milk at room temperature stored for,4 hrs,8 hrs,12 hrs,24 hrs,B,Pediatrics,B,A
Kleihaeur Bethke test is done for:,Cephalopelvic disproportion,Fetomaternal hemorrhage,Determining karyotype of normal fetus,Diagnosing fetal infections,B,Pediatrics,B,B
"In a child with acute liver failure, the most impoant abnormal serum biochemical test that indicates poor prognosis is ?",Increasing transaminase,Increasing bilirubin,Increasing prothrombin time,Reversal of serum albumin-globulin ratio,C,Pediatrics,C,C
Which of the following is best method for monitoring the treatment and resolution of vitamin D deficiency?,Serum calcium levels,Serum phosphate levels,Serum vitamin D levels,Serum parathormone levels,A,Pediatrics,C,C
What is this instrument used for?,Measure weight,Measure height,Measure length,Measure upper segment: lower segment ratio,C,Pediatrics,D,
"Which microorganism is responsible for classical presentation of hydrocephalus, chorioretinitis and intracerebral calcification?",Toxoplasmosis,Rubella,Measles,CMV,A,Pediatrics,B,A
An infant with severe dehydration secondary to diarrhea suddenly presents with flank mass and blood in urine. The most probable diagnosis is?,Renal vein thrombosis,Pyelonephritis,Acute glomerulonephritis,Lipoid nephrosis,A,Pediatrics,A,A
Which is a rich source of vitamin A -,Cod liver oil,Coriander,Egg,Milk,A,Pediatrics,A,A
The initial fluid of choice of the treatment of hypernatremic dehydration is,Normal saline,N/2 saline,N/4 saline,D/4 saline + 5% Dextrose,A,Pediatrics,D,A
Which of the following characterizes pathological jaundice?,Jaundice on 3rd day,Jaundice upto the trunk,High colored urine,Jaundice accompanied by yellow stools,C,Pediatrics,B,C
Which of the following is used as an antidote for organophosphorus poisoning?,Pralidoxime aldoxime methiodide(PAM),N- acetyl cysteine,Physostigmine,Flumazenil,A,Pediatrics,A,A
"A 4-year-old child presented with decreased urine output for last 20 hours & petechial spots over the body. There was a history of diarrhea 2 weeks prior to this. Blood investigations revealed a Hb level of 7 g/dl, TLC 11,800/mm3, Platelet count of 35,000/mm3. His peripheral smear findings are shown belowWhat is the diagnosis?",Malaria,Idiopathic thrombocytopenic purpura,Acute tubular necrosis,Hemolytic uremic syndrome,D,Pediatrics,D,D
Anterior fontanelle closes at:,2-3 months,4-7 months,12-20 months,24-30 months,C,Pediatrics,A,C
Intelligence quotient is calculated as:,Mental age/Chronological age x100,Chronological age/Mental Age x100,Mental age x Chronological age,Mental age + chronological age/2,A,Pediatrics,A,A
RET proto oncogene is located on which chromosome:,9,10,11,12,B,Pediatrics,B,B
A 6 year old boy presenting with palpable abdominal mass in the epigastrium. The clinical diagnosis is (There is no bile in vomitus).,Duodenal Atresia,Choledochal cyst,Pyloric stenosis,Oesophageal Atresia,C,Pediatrics,A,B
Cystic fibrosis is associated with:,Meconium ileus,Short bowel syndrome,Hirschprung disease,Congenital pyrolic stenosis,A,Pediatrics,A,A
Triangular facies is indicative of ________,Russell-Silver syndrome,Down's syndrome,Mobius syndrome,Nephrotic syndrome,A,Pediatrics,B,A
Ponderal index in malnourished babies is:,<1,<2,<4,<6,B,Pediatrics,A,A
Pedigree analysis chart-,Used for growth monitoring,To assess side effect during chemotherapy,Used to see gentic transmission,To assess developmental delay in infant,C,Pediatrics,C,C
Severe Hypothermia in a neonate is temperature?,< 35 C,< 34 C,< 33 C,< 32 C,D,Pediatrics,A,C
Early adolescent age is:,8-11 years,10-13 years,14-15 years,16-19 years,B,Pediatrics,B,B
Manifestations of endemic cretinism include:,Deafness and facial nerve involvement,Blindness and hypothyroidism,Strabismus and spastic diplegias,Multinodular goitre and mental retardation,C,Pediatrics,B,A
"A 6-year-old child presents with black spots on sclera and ear. His urine sample was collected for examination (A). After 30 minutes of collection, the colour of urine sample had changed to (B). What is the most probable enzyme deficiency, child is suffering from?",Phenylalanine hydroxylase,Epimerase,Multiple carboxylase,Homogentisic acid oxidase,D,Pediatrics,D,D
Microcephaly is defined as head circumference _________,< 1SD for age and sex,< 2SD for age and sex,< 3SD for age and sex,< 4SD for age and sex,C,Pediatrics,B,C
A3 year old girl has problems with writing and spelling. Other intelligence is normal -,Dyslexia,Mental retardation,Specific writing disorder,Dysphonia,A,Pediatrics,C,C
The most common presentation of a child with Wilms' tumor is:,As asymptomatic abdominal mass,Hematuria,Hypertension,Hemoptysis due to pulmonary secondary,A,Pediatrics,A,A
What is the approximate Total fetal cardiac output?,300 ml/kg/min,450 ml/kg/min,600 ml/kg/min,150 ml/kg/min,B,Pediatrics,C,A
Which of the following procedures is routine technique for karyotyping using light microscopy:,C-banding,G-banding,Q-banding,V-staining,B,Pediatrics,B,B
Treatment of multiple carboxylase deficiency,Biotin,Pyridoxine,Thiamine,Folic acid,A,Pediatrics,A,A
Investigation of choice for Hydrocephalus in infants ?,Cranial USG,CT Scan,MRI,X-ray skull,A,Pediatrics,A,A
In a fetus highest O2 concentration found in,svc,ivc,right ventricle,aoa,B,Pediatrics,C,D
Assessment of pre-ductal O2 saturation in PDA of a 3 minute born infant is done at?,Fetal left Upper limb,Fetal left lower limb,Fetal Right Upper limb,Fetal right lower limb,C,Pediatrics,A,C
Trisomy 13 is seen in -,Edward syndrome,Patau syndrome,Down syndrome,Tumer syndrome,B,Pediatrics,B,B
Horizontal line can be drawn by a child at the earliest by the age of:,1 yr,2 yrs,3 yrs,4 yrs,B,Pediatrics,B,B
Initial protein requirement of a Kwashiorkor child (g/kg/day):,0.5-1.0,1.0-1.5,1.5-2.0,3-Feb,B,Pediatrics,D,C
"A 15-year-old boy presented with 1 day history of bleeding gums, subconjunctival bleed and purpuric rash. Investigations revealed: Hb 6.4 gm/dL; TLC-26,500/mm3; prothrombin time-20 sec with a control of 13 sec; partial thromboplastin time-50 sec; and fibrinogen 10 mg/dL. Peripheral smear was suggestive of acute myeloblastic leukemia. Which of the following is the most likely?",Myeloblastic leukemia without maturation,Myeloblastic leukemia with maturation,Promyelocytic leukemia,Myelomonocytic leukemia,C,Pediatrics,C,C
A premature infant is born with a patent ductus aeriosus. Its closure can be stimulated by administration of,Prostaglandin analogue,Estrogen,Anti-estrogen compounds,Prostaglandin inhibitors,D,Pediatrics,D,D
When should folic acid supplementation start in order to be effective in preventing neural tube defects?,As soon as pregnancy is diagnosed,Before the beginning of 2nd trimester,At least one month before conception,At least 1 week before conception,C,Pediatrics,A,A
Turner syndrome is most commonly associated with which of the following?,Sacral agenesis,Coarctation of aoa,VSD,ASD,B,Pediatrics,B,B
"A child presents with growth retardation, hypogonadism, alopecia and immunodeficiency. The child has deficiency of -",Zinc,Vitamin A,Folic Acid,Cholecalciferol,A,Pediatrics,A,A
"A 14-year-old girl has a 9-month history of diarrhea, periumbilical and postprandial abdominal pain, fever, and weight loss. Her menses are now irregular. She has had several episodes of blood in her stools. Which of the following is the most likely diagnosis?",Chronic appendicitis,Chronic pancreatitis,Crohn disease,Bulimia,C,Pediatrics,C,C
Biotin may be used for treatment of which of the following conditions?,Maple syrup urine disease,Methylmalonic acidemia,Phenylketonuria,Multiple carboxylase deficiency,D,Pediatrics,D,D
Leukoreduced blood products have lower WBC&;s than normal by what fold,1 log reduction,2 log reduction,3 log reduction,4 log reduction,C,Pediatrics,B,B
Holt oram syndrome is characterised by,ASD,Pulmonary stenosis,TGA,TAPVC,A,Pediatrics,A,A
What is normal average IQ?,100,90,80,70,A,Pediatrics,A,A
K-F ring is seen in:,Wilson disease,Von Gierke disease,Phenylketonuria,Diabetes,A,Pediatrics,A,A
"A neonate born to infected hepatitis-B mother, should be treated with:",Isolation,Immunoglobulins,Hepatitis-B-vaccine,Immunoglobulins and hepatitis-B-vaccine,D,Pediatrics,B,B
Beta globin missense gene mutation seen in?,Thalassemia,Sickle cell anemia,Hb Ba,HbH,B,Pediatrics,B,B
Congenital Wilson's disease is characterized by:,KF ring is present at birth,May present as acute hepatitis,Decreased urinary copper excretion,Decreased hepatic copper concentration,B,Pediatrics,B,B
Bih length doubles by what age?,1 year,2 years,3 years,4 years,D,Pediatrics,C,B
Ligamentum teres of the liver is a remnant of ________,Umbilical aeries,Umbilical vein,Ductus venosus,Ductus aeriosus,B,Pediatrics,B,B
Most common endocrine abnormality in Down's syndrome is-,Hypothyroidism,Hypoparathyroidism,Congenital adrenal hyperplasia,Cushing's disease,A,Pediatrics,A,A
Risk of having a child with Down syndrome:,Is unaffected by maternal age,Decreases with increase in maternal age,Increases with increase in paternal age,Increases with increase in maternal age,D,Pediatrics,D,D
Cut off value for anemia at 6 months to 6 years is ________,10 gm/dl,11 gm/dl,12 gm/dl,13 gm/dl of venous blood,C,Pediatrics,A,A
"A 4-year-old girl always had to wear warm socks even in summer season. On physical examination, it was noticed that she had high blood pressure and her femoral pulse was weak as compared to radial and carotid pulse, a chest radiography showed remarkable notching of ribs along with their lower borders. This was due to:",Femoral artery thrombosis,Coarctation of aorta,Raynaud's disease,Takayasu arteritis,B,Pediatrics,B,B
"For the below set of immunologic abnormalities, select the most likely clinical presentation.Serum IgGSerum IgASerum IgMT-cell functionParathyroid functionNormalNormalNormalDecreasedDecreased","A 5-year-old boy who, after 3 months of age, developed recurrent otitis media, pneumonia, diarrhea, and sinusitis, often with simultaneous infections at two or more disparate sites","A distinctive-appearing 8-month-old boy with an interrupted aortic arch, hypocalcemia, and cleft palate","A 1-year-old boy with severe eczema, recurrent middle-ear infections, lymphopenia, and thrombocytopenia",A 9-year-old boy with an eczema-like rash and recurrent severe staphylococcal infections,D,Pediatrics,A,A
"A 3-month old male child with normal genitalia presents to the emergency department with severe dehydration, hyperkalemia and hyponatremia. The measurement blood levels of which of the following will be helpful ?",17-hydroxy progesterone,Renin,Cortisol,Aldosterone,A,Pediatrics,A,A
Auer rods are specific for:,Acute myeloid leukemia,Acute lymphocytic leukemia,Chronic lymphocytic leukemia,Hodgkin's lymphoma,A,Pediatrics,A,A
Recommended daily dose of Iodine in a child is:-,120-200 ug,90-120 ug,30-60 ug,500 ug,B,Pediatrics,A,B
"In a child with acute liver failure, the most important abnormal serum biochemical test that indicates poor prognosis:",Increasing transaminases,Increasing bilirubin,Increasing prothrombin time,Reversal of serum albumin-globulin ratio,C,Pediatrics,B,C
Most common viral cause of acquired aqueductal stenosis is:,Rubella,Mumps,Toxoplasma,Enterovirus,B,Pediatrics,A,A
Pathognomic of measls -,Koplik spot,Rash,Fever,Conjuctivitis,A,Pediatrics,A,A
Acute malnutrition is manifested by,Weight for age,Weight for height,Age for height,Brocas index,B,Pediatrics,B,B
"In which electrolyte abnormality, the following ECG finding is seen?",Hyponatremia,Hypernatremia,Hypokalemia,Hyperkalemia,C,Pediatrics,D,C
Apnea of prematurity -,> 10 sec,> 15 sec,> 20 sec,> 30 sec,C,Pediatrics,B,B
Which of the following does not establish a diagnosis of congenital CMV infection in a neonate?,Urine culture for CMV,IgG CMV antibodies in blood,Intra-nuclear inclusion bodies in hepatocytes,CMV viral DNA in blood by polymerase chain reaction,B,Pediatrics,B,B
Pseudo hermaphroditism in a female child is most commonly due to:,21-hydroxylase deficiency,17-hydroxylase deficiency,11-hydroxylase deficiency,3-hydroxylase deficiency,A,Pediatrics,A,A
Fast breathing in a 3 year old child is?,> 60,>50,>40,>30,C,Pediatrics,D,C
Most sensitive antibody for SLE:,Anti-nuclear,Anti-ds DNA,Anti-Smith,Anti-histone,A,Pediatrics,A,A
New born doubles his weight at _____________,3 months,6 months,9 months,12 months,B,Pediatrics,D,B
As per as latest resuscitation guidelines Umbilical cord clamping must be delayed for atleast ( in preterm ),20 seconds,30 seconds,40 seconds,60 seconds,B,Pediatrics,D,D
"A 5-year-old unimmunized child presented with sore throat & swelling of neck. On examination of throat, the following was seen. What is the most probable causative organism?",Streptococcus pyogenes,Mycobacterium tuberculosis,Staphylococcus aureus,Corynebacterium diphtheriae,D,Pediatrics,A,C
Anterior fontanelle is closed at,< 3 months,12 months,12-18 months,> 3 years,C,Pediatrics,B,C
A 6 month child presents with episosdes of vomitting after ingesting fruit juice. Which of following enzyme deficiency is likely ?,Aldolase B,Fructokinase,Glucose 6 phosphatase,Hexokinase,A,Pediatrics,B,A
Commonest cause of meningoencephalitis in children is:,HSV,Measles,Arbovirus,Enterovirus,D,Pediatrics,D,D
Most common cause of persistent hypertension in child with intrinsic renal disease is -,CGN,Chronic Pyelonephritis,Obstructive uropathy,Renal tumor,B,Pediatrics,A,A
"According to IAP classification of Grade IV malnutrition, Weight-for-age of the standard (%) is _________",71-80,61-70,51-60,< 50,D,Pediatrics,D,D
Clinical feature(s) seen in Kwashiorkar is/are _______,Loose wrinkled skin,Hunger pangs,Simian facies,Edema and apathy,D,Pediatrics,D,A
Testes are not palpable in,SRY deletion,DAX 1 deletion,WNT4 gene mutation,RSPO1 gene mutation,A,Pediatrics,C,A
The neonatal feature of cystic fibrosis is,Bronchitis,Bronchiolitis,Meconeum ileus,Bronchiectasis,C,Pediatrics,C,C
The abdominal mass in congenital hyperophic pyloric stenosis is a new born child can be best palpated:-,In the midepigastric area,In the right hypochondriac quadrant,In the umbilical area,During feeding,A,Pediatrics,A,A
The most common type of total anomalous pulmonary venous connection is:,Supracardiac,Infracardiac,Mixed,Cardiac,A,Pediatrics,A,A
Which of the following is post-chemotherapy based staging system in Wilms' tumor?,National Wilms' tumor staging system (NWTS),International society of pediatric oncology (ISPO),AJCCTNM,Chadwick,A,Pediatrics,A,A
Puff of smoke appearance on contrast CT angiography is seen -,Moya Moya Disease,Acrodermatitis Enterohepatica,Neuromyelitis Optica,Kasbach Meritt Syndrome,A,Pediatrics,A,A
Which of the following is the major site of erythropoietin production during the fetal stage?,Liver,Yolk sac,Bone,Spleen,A,Pediatrics,B,A
Age at which child can tell gender?,2 years,3 years,4 years,5 years,B,Pediatrics,B,B
The most common cause of diarrhea in children is-,Vibrio cholera,E. coli,Rotavirus,Pneumococcus,C,Pediatrics,C,C
Diabetic ketoacidosis is said to be present if:,"Hyperglycemia, heavy glycosuria, ketonemia, ketonuria, acidosis are present","Hyperglycemia, glycosuria, hyperkalemia and hypocalcemia are present","Hypoglycemia, hypokalemia, hypercalcemia, ketonemia are present","Hypoglycemia, ketonemia, ketonuria hypokalemia are present",A,Pediatrics,A,A
"Roopmati, A 56-year-old female with lymph-node-positive breast cancer was treated with systemic chemotherapy. Four weeks later, she developed frequent urination, suprapubic pain, dysuria, and hematuria. Which of the following could have prevented this patient's condition?",Folinic acid,Mesna,Dexrazoxane,Amifostine,B,Pharmacology,B,B
Which of the following is a long acting bronchodilator?,Salbutamol,Terbutaline,Adrenaline,Formoterol,D,Pharmacology,D,D
Latanoprost (PGF0 alf,Maintenance of ductus arteriosus,Pulmonary hypertension,Gastric mucosal protection,Glaucoma,D,Pharmacology,D,D
Alkaline diuresis is done for treatment of poisoning due to,Morphine,Amphetamine,phenobarbitone,Atropine,C,Pharmacology,A,C
"A patient presented in emergency with tachycardia,hypehermia,bronchial dilation and constipation.The person is likely to be suffering from overdose of",Atropine,organophosphorus compound,Mushroom,Paracetamol,A,Pharmacology,B,A
Signs and symptoms of uncomplicated pituitary diabetes insipidus can be controlled using -,Mannitol,Glycerol,Desmopressin,Ethyleneglycol,C,Pharmacology,C,C
Methicilline resistance staph aureus NOT responds to,Aminoglycosides,Lincosamide,Oxacilli,Vancomycin,C,Pharmacology,D,C
Which of the following treatment would be least effective for asystole?,External pacemaker,"Intravenous epinephrine, 10 ml. of 1:10,000","Intravenous calcium gluconate, 10 ml. of 10% solution","Intravenous atropine, 0.5 mg",C,Pharmacology,A,A
Organophosphate sacked by inhibiting the enzyme acetylcholinesterase. Which type of enzyme inhibitors are they,Competitive and reversible,Non competitive and Irreversible,Uncompetitive and reversible,Competitive and Irreversible,B,Pharmacology,B,C
Enzyme inactivation is the main mode of resistance to:,Aminoglycosides,Quinolones,Rifamycins,Glycopeptides,A,Pharmacology,A,A
Rofecoxib was withdrawn due to:,lschemic hea disease,Renal complication,Liver adenoma,Gastric ulcer,A,Pharmacology,A,A
"A patient of schizophrenia was staed on haloperidol 5 mg. Next day, he presented with uprolling of eyes. Complete neurological examination revealed no spasticity or any other abnormality. Visual acuity and ophthalmoscopic findings are normal. Most likely diagnosis is :",Akathisia,Acute dystonia,Seizure,Tardive dyskinesia,B,Pharmacology,A,A
Which of the following is not an early adverse effect of methotrexate?,Hepatic fibrosis,Myelosupression,Nausea,Stomatitis,A,Pharmacology,A,A
"Which of the following will you like to give to a pregnant patient to decrease the risk of neural tube defects in the offspring, if your patient is receiving antiepileptic drugs?",Folic acid,Vitamin A,Vitamin E,Pyridoxine,A,Pharmacology,A,A
"Calculate the loading dose of a drug whose systemic bioavailability will be 20%, Vd-200L and target concentration is 5gm/L",1g,5g,12.5g,25g,B,Pharmacology,C,D
Drug directly acting on blood vessels is:,Hydralazine,Verapamil,Propranolol,Methyaldopa,A,Pharmacology,A,A
Plasma half life of carbimazole is:,4 hours,8 hours,16 hours,24 hours,B,Pharmacology,C,A
Which of the following is a guanylate cyclase agonist used in irritable bowel syndrome?,Lubiprostine,Linaclotide,Tegaserod,Methyl naltrexone,B,Pharmacology,B,B
Which of the following are the most common type of receptors?,M2,M3,M1,M4,B,Pharmacology,B,
Which of the following agents is used for day care surgery,Propofol,Thiopentone,Diazepam,Ketamine,A,Pharmacology,A,A
Which of the following antifungal agents binds to ergosterol,Flucytosine,Terbinafine,Amphotericin B,Fluconazole,C,Pharmacology,A,A
Warfarin embryopathy is due to action of:,Osteophysin,Osteotensin,Osteocalcin,Osteogenin,C,Pharmacology,C,
The following laxative lowers blood ammonia level in hepatic encephalopathy,Bisacodyl,Lactulose,Magnesium sulfate,Liquid paraffin,B,Pharmacology,B,B
Which of the following is not a prodrug?,Levodopa,Lisinopril,Carbimazole,Prednisolone,B,Pharmacology,B,D
A patient came to casualty for acute bronchial asthma after treatment for glaucoma. The probable drug may be,Timolol,Betoxalol,Lantanoprost,Anticholinesterase,A,Pharmacology,A,A
